NAME,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,posneg
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT,20,-0.7436389,-1.8897756,0,0.2660324,0.263,3702,neg
GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT,25,-0.6953685,-1.866784,0,0.2125525,0.377,2255,neg
GOBP_REPLICATION_FORK_PROCESSING,46,-0.6195337,-1.8645312,0,0.14663455,0.384,3073,neg
GOBP_SMOOTH_MUSCLE_CONTRACTION,104,-0.5337956,-1.8460413,0,0.15174043,0.497,4831,neg
GOBP_SPERM_AXONEME_ASSEMBLY,27,-0.6828439,-1.8454783,0,0.12209257,0.5,3950,neg
GOBP_DENDRITIC_SPINE_MORPHOGENESIS,55,-0.59097826,-1.8296064,0,0.13055749,0.577,3238,neg
GOBP_SPERM_FLAGELLUM_ASSEMBLY,37,-0.6385287,-1.8291076,0,0.11279127,0.578,5829,neg
GOBP_INTEGRIN_ACTIVATION,23,-0.69131935,-1.8259035,0,0.10506499,0.604,1689,neg
GOBP_SECONDARY_METABOLIC_PROCESS,57,-0.56175077,-1.7906845,0.001636661,0.16058737,0.797,6512,neg
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION,24,-0.67715573,-1.7898859,0,0.14663032,0.802,5297,neg
GOBP_FORELIMB_MORPHOGENESIS,37,-0.62503844,-1.786454,0,0.14040072,0.815,5523,neg
GOBP_MELANOCYTE_DIFFERENTIATION,25,-0.66934866,-1.7840204,0.001709402,0.13316388,0.825,5779,neg
GOBP_NEPHRON_TUBULE_FORMATION,19,-0.705845,-1.7817028,0.001712329,0.12678233,0.836,3756,neg
GOBP_REGULATION_OF_HEART_RATE,96,-0.52589875,-1.7751299,0,0.13183546,0.864,5949,neg
GOBP_HOMOLOGOUS_RECOMBINATION,63,-0.55603033,-1.7729573,0,0.12649858,0.875,3108,neg
GOBP_CENTROMERE_COMPLEX_ASSEMBLY,29,-0.6468874,-1.7703029,0.001658375,0.12374895,0.883,1203,neg
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY,105,-0.50956833,-1.7631798,0,0.13051634,0.91,4910,neg
GOBP_MOTILE_CILIUM_ASSEMBLY,62,-0.5615417,-1.760864,0,0.12735574,0.921,5283,neg
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS,23,-0.66859245,-1.7595059,0.001805054,0.12264123,0.922,4073,neg
GOBP_ECTOPIC_GERM_CELL_PROGRAMMED_CELL_DEATH,18,-0.7057074,-1.7576007,0.001779359,0.11967115,0.929,3846,neg
GOBP_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,50,-0.57776207,-1.7542994,0.003389831,0.1195733,0.938,5315,neg
GOBP_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS,20,-0.6935546,-1.7508221,0.003508772,0.119846724,0.946,4222,neg
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT,132,-0.49415863,-1.744359,0,0.12627342,0.961,4715,neg
GOBP_POSITIVE_REGULATION_OF_HEART_RATE,26,-0.65813804,-1.7357802,0.006557377,0.13709724,0.973,4133,neg
GOBP_REGULATION_OF_INTEGRIN_ACTIVATION,16,-0.70883816,-1.7161907,0.003418803,0.17212826,0.99,1598,neg
GOBP_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS,41,-0.59309685,-1.715226,0.001760563,0.16830593,0.991,5204,neg
GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,121,-0.4878912,-1.7135853,0,0.16557963,0.993,5348,neg
GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,25,-0.65451485,-1.7124718,0.001724138,0.16195342,0.993,5297,neg
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,39,-0.59066665,-1.7094405,0.005272408,0.16321288,0.995,6178,neg
GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT,104,-0.49776295,-1.7087269,0,0.15911672,0.997,4715,neg
GOBP_KINETOCHORE_ORGANIZATION,22,-0.6552757,-1.706243,0.003546099,0.15934104,0.999,2182,neg
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,55,-0.5555374,-1.7004529,0.003257329,0.16629036,0.999,3073,neg
GOBP_RELAXATION_OF_CARDIAC_MUSCLE,17,-0.7131632,-1.6985683,0,0.16542636,0.999,1514,neg
GOBP_ARTERY_MORPHOGENESIS,66,-0.52844685,-1.69279,0.001628664,0.17440169,0.999,3702,neg
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE,20,-0.66292024,-1.6900926,0.005033557,0.17604212,0.999,5436,neg
GOBP_NEPHRON_DEVELOPMENT,139,-0.47407535,-1.6857855,0,0.18104431,1,4715,neg
GOBP_KINETOCHORE_ASSEMBLY,17,-0.674939,-1.6856028,0.006825938,0.17645857,1,1203,neg
GOBP_NEPHRON_MORPHOGENESIS,73,-0.5236542,-1.684735,0,0.17398869,1,4218,neg
GOBP_MESONEPHROS_DEVELOPMENT,93,-0.50444555,-1.684094,0,0.17097008,1,4218,neg
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY,36,-0.5914342,-1.6839097,0.003490401,0.1669154,1,4410,neg
GOBP_DENDRITIC_SPINE_DEVELOPMENT,87,-0.50364196,-1.683674,0.001517451,0.16322815,1,5315,neg
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING,35,-0.5961143,-1.6816777,0.006568145,0.16379152,1,4638,neg
GOBP_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS,26,-0.6245857,-1.6794405,0.015517241,0.16442916,1,4649,neg
GOBP_MOLTING_CYCLE_PROCESS,91,-0.49674225,-1.6792729,0,0.16101226,1,6257,neg
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT,40,-0.57045835,-1.6771818,0.001626016,0.16163087,1,3702,neg
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY,34,-0.59948725,-1.6768749,0.001628664,0.15876621,1,4218,neg
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,154,-0.46395943,-1.6757036,0,0.15764801,1,5135,neg
GOBP_MESONEPHRIC_TUBULE_MORPHOGENESIS,60,-0.52452755,-1.6722802,0.001652893,0.16068715,1,4218,neg
GOBP_RETINAL_METABOLIC_PROCESS,17,-0.69247925,-1.6713735,0.008802817,0.15934023,1,673,neg
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION,59,-0.5390637,-1.6705813,0.001618123,0.15763,1,5559,neg
GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,24,-0.62999755,-1.6661488,0.005272408,0.16339105,1,1928,neg
GOBP_METANEPHROS_DEVELOPMENT,81,-0.5077935,-1.6656363,0,0.16105929,1,7715,neg
