NAME,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,posneg
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,68,0.76816887,2.6299806,0,0,0,1841,pos
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING,32,0.8310255,2.5223176,0,0,0,1841,pos
GOBP_DE_NOVO_PROTEIN_FOLDING,41,0.79330975,2.4988658,0,0,0,1841,pos
GOBP_PROTEIN_FOLDING,214,0.6031382,2.44127,0,0,0,2266,pos
GOBP_PROTEIN_REFOLDING,22,0.8313873,2.3138423,0,0,0,2181,pos
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,22,0.8141132,2.2839441,0,0,0,33,pos
GOBP_CELLULAR_RESPONSE_TO_HEAT,63,0.6733043,2.2604513,0,3.43E-04,0.002,2350,pos
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,228,0.55140954,2.2376363,0,4.54E-04,0.003,4079,pos
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,64,0.6429958,2.2109275,0,5.40E-04,0.004,2539,pos
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,62,0.65670204,2.2063231,0,4.86E-04,0.004,3894,pos
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,15,0.8706245,2.1920393,0,6.66E-04,0.006,738,pos
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,18,0.82089424,2.126348,0,0.001827845,0.018,3273,pos
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,160,0.54092294,2.123805,0,0.002062839,0.022,2947,pos
GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,60,0.6195364,2.112018,0,0.002607942,0.03,3468,pos
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,461,0.4880653,2.1084301,0,0.002517588,0.031,3757,pos
GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION,37,0.68998647,2.0999649,0,0.002515853,0.033,2539,pos
GOBP_INCLUSION_BODY_ASSEMBLY,25,0.7509177,2.0837576,0,0.003083433,0.043,1113,pos
GOBP_TELOMERASE_RNA_LOCALIZATION,19,0.7735554,2.0543706,0,0.004601187,0.066,738,pos
GOBP_RESPONSE_TO_HEAT,106,0.5631048,2.0509584,0,0.004936065,0.075,1841,pos
GOBP_RNA_LOCALIZATION,195,0.512629,2.043266,0,0.005599363,0.088,3777,pos
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY,51,0.6226835,2.0392337,0,0.005680246,0.093,4792,pos
GOBP_REGULATION_OF_SPINDLE_ORGANIZATION,46,0.63298005,2.0156238,0,0.008192883,0.136,951,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,112,0.5425606,2.0028014,0,0.009373225,0.158,3292,pos
GOBP_REGULATION_OF_INCLUSION_BODY_ASSEMBLY,18,0.7732116,1.9921032,0,0.011111206,0.19,1113,pos
GOBP_RNA_EXPORT_FROM_NUCLEUS,89,0.55476546,1.9900063,0,0.011107098,0.199,3082,pos
GOBP_REGULATION_OF_MITOTIC_SPINDLE_ASSEMBLY,23,0.71480733,1.9882178,0,0.011008783,0.204,610,pos
GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION,20,0.75389636,1.9798073,0,0.012229141,0.233,3292,pos
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,19,0.74860233,1.9714926,0,0.013532491,0.264,2269,pos
GOBP_INTERLEUKIN_8_PRODUCTION,94,0.5380858,1.9630532,0,0.015037563,0.292,3854,pos
GOBP_NUCLEAR_EXPORT,165,0.5008895,1.9589872,0,0.015548103,0.309,3369,pos
