"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",275.857002690346,-0.56874692283737,0.313027432188452,-1.81692358034284,0.0692288155067872,0.576989302045181
"WASH7P",827.987770782168,-0.138223507670771,0.137252313459013,-1.00707597698926,0.313898264545591,0.817864864951689
"MIR6859-1",110.691894917176,-0.261351719649445,0.225287160874884,-1.16008261915374,0.246015169922915,0.784648345159176
"MIR6859-2",110.691894917176,-0.261351719649445,0.225287160874884,-1.16008261915374,0.246015169922915,0.784648345159176
"MIR6859-3",110.691894917176,-0.261351719649445,0.225287160874884,-1.16008261915374,0.246015169922915,0.784648345159176
"MIR6859-4",110.691894917176,-0.261351719649445,0.225287160874884,-1.16008261915374,0.246015169922915,0.784648345159176
"MIR1302-2",2.66085138376511,-3.21319828538791,1.86018139108138,-1.72735750437756,0.084103477612486,NA
"MIR1302-9",2.66085138376511,-3.21319828538791,1.86018139108138,-1.72735750437756,0.084103477612486,NA
"MIR1302-10",2.66085138376511,-3.21319828538791,1.86018139108138,-1.72735750437756,0.084103477612486,NA
"MIR1302-11",2.66085138376511,-3.21319828538791,1.86018139108138,-1.72735750437756,0.084103477612486,NA
"FAM138A",11.278239135613,-1.49089367862458,0.841815973561378,-1.77104465280841,0.0765532766258905,NA
"FAM138F",11.278239135613,-1.49089367862458,0.841815973561378,-1.77104465280841,0.0765532766258905,NA
"FAM138C",11.278239135613,-1.49089367862458,0.841815973561378,-1.77104465280841,0.0765532766258905,NA
"LOC729737",2046.62919103886,0.227748346244246,0.191390042983311,1.18996966976023,0.234058313289053,0.775956464537026
"LOC102725121",320.057535390836,-0.624429437585197,0.396858047720573,-1.57343272026792,0.115618655570515,0.642357562459373
"FAM138D",1.46478537125815,-1.00832992637137,1.53997691254302,-0.654769508658593,0.512616164980674,NA
"TGIF1",369.416647645949,0.249715292146238,0.169886487316756,1.46989496392753,0.141590203742285,0.68098237386125
"PRDX6",5582.90859830977,-0.644767064663511,0.238380026017376,-2.70478645143076,0.00683483122977,0.28819465864711
"LOC100132287",2256.59096872277,0.343995229537671,0.185082976208328,1.8586000537968,0.0630838494824772,0.5608766100817
"LOC100132062",2256.59096872277,0.343995229537671,0.185082976208328,1.8586000537968,0.0630838494824772,0.5608766100817
"LOC101928626",0.719594734284269,-0.304652063037882,1.48551888137405,-0.20508124592539,0.837508648605668,NA
"CIC",1414.53888221392,0.0960630870778029,0.150900321329094,0.636599619084322,0.524385673382462,0.915689031351993
"LOC100133331",1033.37084466577,0.425972719879524,0.233366271203677,1.82533970175898,0.0679497824862235,0.573776967327521
"LOC100288069",1366.18044810747,0.0414734264886515,0.206201319185807,0.201130752472442,0.84059633631412,0.977181011883589
"FAM87B",23.0263842314917,0.623489080839025,0.348897840735274,1.78702476210535,0.0739334864809457,0.57981676258871
"LINC00115",27.5291668867757,-0.272266907380349,0.262153502575237,-1.03857817921853,0.299000958487491,0.812078186107583
"LINC01128",183.277862575141,0.0266512123157993,0.183055976820086,0.145590506132411,0.88424466313183,0.983693515619141
"FAM41C",15.6638588457889,-0.300641579671086,0.456771695223062,-0.658187849236737,0.510417431586602,NA
"LINC02593",0.941710709128099,-0.259641242544574,2.3368254955501,-0.111108528659498,0.911530285727993,NA
"LILRA4",164.660525998429,-0.166335699727411,0.310036583716093,-0.536503459474731,0.591610645640384,0.931967902441088
"PLEC",6315.09055316517,0.381816418003069,0.146976815159972,2.59780032372789,0.00938230347330749,0.303768890855982
"PLEKHN1",8.82901073249653,-0.427820326108024,0.6229952339734,-0.686715247208922,0.492262186811815,NA
"MPP2",14.8664854972764,-0.239475172639315,0.438756612974699,-0.545804132764432,0.585200582139995,NA
"CFTR",0.665566484940162,-0.891406268994188,1.85845970758627,-0.479647885480351,0.631477790518126,NA
"C1QB",8.0141348174888,-1.47931134011536,0.621999715261807,-2.37831514037381,0.0173919549619337,NA
"ELN",3.05260221724523,-1.79403215072947,1.15981841191215,-1.54682158198516,0.121906274520541,NA
"SEPTIN12",1.4823618993423,-3.19546845857268,1.90461966846972,-1.67774622486184,0.0933966512883853,NA
"RBM19",340.761701137165,0.219120583494197,0.11188777248791,1.95839615555735,0.050183545536576,0.534589234213839
"CCDC120",66.3697406902389,0.0636132648612941,0.221315366547292,0.287432661607349,0.773781055470571,0.967879060195509
"GUCA2A",0.308194084729385,-1.84653119711312,3.10709808515918,-0.594294465930425,0.552315179399536,NA
"INO80D",2937.79409869854,0.0167275470434598,0.0696574250204371,0.240140186614018,0.810221581111333,0.973104426839933
"CCDC34",31.180649220788,-0.20518489868716,0.256725202185427,-0.799239408287466,0.424151605209119,0.87548943051605
"C12orf43",90.1560476252516,-0.0389189800747986,0.157985324385018,-0.24634554017151,0.805414759927789,0.972309108081638
"LOC100288175",10.188265175899,0.0535560029701268,0.538762149475751,0.0994056524242472,0.920816195009313,NA
"LILRB5",99.1709276516572,0.596998939930011,0.343668375045762,1.73713667965671,0.0823630483616843,0.597231381056591
"CCDC169",9.61711201853573,-0.480553660405291,0.496068888962905,-0.968723641206263,0.332683093762795,NA
"CLRN1",10.5170814807581,-0.565694788278772,0.563907806535856,-1.00316892534951,0.315779363424593,NA
"SPDYE17",356.683413318395,0.171968019460452,0.197812648477442,0.869347945058544,0.384656846037881,0.85739651809155
"LINC01342",4.35352408307899,-0.69441294823306,0.725219151449565,-0.957521525521038,0.338304086963806,NA
"RAD17",660.900951352371,-0.167880587599216,0.104029500975934,-1.61377864955878,0.106575447191412,0.629807659767009
"SH2D3C",2030.57072619244,0.137563208452014,0.118898908494152,1.15697620940549,0.247282080373599,0.785805345101442
"ZNF41",490.172448559595,0.00365435947176243,0.0986841394063735,0.0370308693346766,0.97046039244385,0.996509563827524
"VPREB1",0.96529052046537,0.417457495456847,1.3121352629265,0.318151266299921,0.750370197396709,NA
"VIL1",360.483373736726,0.0439787438094155,0.109248402763764,0.402557316142314,0.687273915528283,0.954666961156677
"MDK",18.7317672743528,-0.716487275476413,0.45965320447525,-1.55875618509909,0.11905409807199,NA
"AMELX",0.812321997904507,1.19869233737768,1.53082612515495,0.783036242771433,0.433605829446028,NA
"ALOX15B",8.32023723134948,0.1075274013814,0.633264765348048,0.169798490718653,0.86516861392538,NA
"SLC25A1",367.579309187031,-0.0234130607053895,0.122817453966125,-0.19063300817038,0.848813127629729,0.978449386244613
"DUSP9",2.4132512655262,-1.27430084492798,1.33442734957153,-0.954942092079525,0.339606982034706,NA
"UQCC3",50.5514140621663,0.109333870519421,0.230933768053177,0.473442543466593,0.635897483677674,0.946763910209736
"MORC4",119.906556734038,0.188558281498189,0.180809809992484,1.04285426496509,0.29701579429142,0.811400917611335
"SCNN1D",34.1204611070608,-0.0933465507351707,0.333414438794845,-0.279971530544927,0.77949934709966,0.968367028364275
"MRTFB",283.628843819051,-0.0301664969365447,0.121709832250729,-0.247855874736563,0.804245921602922,0.972309108081638
"MIR6726",1.5689463672145,-0.656875163674575,1.15372802285133,-0.569350098692386,0.569118574385697,NA
"SNORD167",9.53162006496051,0.0645849232326661,0.375955971742778,0.171788528676049,0.863603784243964,NA
"PUSL1",104.450241021022,0.103996907036701,0.170564067609406,0.609723422373205,0.542045036160119,0.920656777543444
"MSRB3",216.735778510543,-0.284850448785793,0.147477160249637,-1.93148856611845,0.0534226619506751,0.543220698496418
"FGFR3",8.01938374683464,-1.40996143027483,1.05163441488957,-1.34073344340189,NA,NA
"EWSR1",777.954135204665,0.0620708400587393,0.0773050274304603,0.802934066798891,0.422012844412984,0.874620074168673
"TMA7",1384.6416315433,-0.0190715035479139,0.115875379055392,-0.164586331482869,0.869269590385866,0.981306368320041
"MIR6727",9.14127922613743,0.680342934251648,0.479096575113413,1.42005384632649,0.155592005465058,NA
"SMR3A",0.104402460638981,-0.63070327183944,3.12043766892774,-0.202120131454561,0.839822810026816,NA
"NUPR1",5.97568324438053,0.418825742794209,0.655677135840793,0.638768259407334,0.522973699672617,NA
"OSTF1",1452.99331025191,-0.0659114236405117,0.113955225194776,-0.578397555073529,0.562995744246514,0.92696441840632
"ORC3",507.902497285431,-0.205094015542753,0.109539975656553,-1.87232117145795,0.0611621834527213,0.560341657614684
"MIR6808",0.795400777542678,-2.5624341168828,1.99095338002032,-1.28703873360241,0.19808078790922,NA
"MXRA8",58.4175548474313,-0.197474883028133,0.244373222472829,-0.808087240614464,0.419040362240972,0.872550847537643
"SERPINC1",9.98534120468359,0.0139642098997138,0.422330464033476,0.0330646521833834,0.973623030799012,NA
"SPRED2",57.6846875847085,0.331528556493339,0.175659879085143,1.88733225947768,0.0591156500776291,0.559498133298711
"AK8",5.32881318766068,-0.402802617255737,0.685712576184469,-0.587421947978647,0.556920356877472,NA
"GALNS",276.184888326637,0.159516490450012,0.142976993048352,1.11567943239698,0.264559377553957,0.794565028508614
"FBXW8",171.290979053237,0.0162900388607419,0.133384423717174,0.122128494518094,0.90279725542679,0.986172182909465
"IKBKG",704.481693630926,-0.102694232754003,0.187280364115758,-0.548344901179966,0.583455101848612,0.931266716294327
"PSME1",3182.78825216278,0.0961701188624038,0.143405123223379,0.670618431899407,0.502463637451939,0.909879668108333
"SETDB1",999.564257766946,-0.0109478934530666,0.0761913108377986,-0.143689527489208,0.88574564123088,0.983951004466776
"VSTM1",128.914030581774,0.113772896614456,0.298183471210318,0.381553330748533,0.702792706384483,0.957114109202565
"MRPL20-AS1",86.5305399556351,0.201415547193503,0.183635336437211,1.09682347145845,0.272718567715521,0.794972790026236
"PAQR3",1845.72247720785,-0.176534876565391,0.131303119976771,-1.34448348673377,0.178792092785582,0.725985719646826
"LINC01770",1.87218063403848,-3.68585602895341,2.0452029015979,-1.8021957753305,0.0715146091566537,NA
"KIR2DL4",6.23565956285474,0.541579819794709,0.585689535467749,0.924687546896646,0.355128458972169,NA
"CARD8",3190.31210721331,-0.0665206019633093,0.120502566677814,-0.552026432276455,0.580930243796627,0.931266716294327
"PPIP5K2",2686.03844334649,-0.170570136096202,0.100441151472354,-1.69820968393767,0.0894681934682521,0.607076731333279
"ST18",8.41961693377598,-0.837296695635263,0.559531874359816,-1.49642358908194,0.134543306224805,NA
"LOC105378586",11.5158246459473,-0.332665832582257,0.411354051203482,-0.80870926543446,0.418682397400898,NA
"IFT81",66.5311880790066,-0.213603268180287,0.213644827489484,-0.99980547477004,0.317404655840763,0.819221030447792
"ASAP3",21.163072125558,-0.528412105361174,0.375191880629492,-1.40837830625389,0.159019079456591,0.702571419915679
"CRELD1",137.987504620324,0.221982916466172,0.17957160126553,1.23618052577216,0.216391467787215,0.760972027942164
"NLRP2",96.0819458449864,0.228350433345546,0.382580110089882,0.596869589723048,0.550594452012458,0.923574347366984
"ZNF232",50.8251440842902,-0.108475436784873,0.200071211672142,-0.542184134730149,0.587691663598739,0.931967902441088
"MMP23A",132.07253019794,-0.0995459561338068,0.315205082699359,-0.315813296160434,0.752144225366594,0.965554293364058
"CAST",5189.79277596266,0.0206993426463424,0.101303306868314,0.204330374656474,0.838095335110966,0.976990074395209
"SCN1A",1.46709204473079,-1.41386177431726,1.60488697577239,-0.880972800989181,0.378332541663041,NA
"AASDH",382.785038228185,-0.0261348864501619,0.0808847040760105,-0.32311284004454,0.746609786441754,0.964876220529135
"SUMO3",746.283623468262,-0.176905970281618,0.0939702730886594,-1.88257375941336,0.0597581552821772,0.559498133298711
"CYP21A2",17.2032049633514,0.49650219637834,0.407939901324402,1.21709642711197,0.223567529944507,NA
"AFP",0.192364682357237,0.584185763593575,3.12043766892774,0.187212764866512,0.851493816865094,NA
"AFM",0.0571043713876977,0.14547677063251,3.12043766892774,0.0466206302023331,0.962815589382711,NA
"CASP3",1044.81940904162,-0.0740984316146272,0.115947573830879,-0.639068409682352,0.522778429599247,0.915551008973313
"CALD1",177.98366975428,-0.69555095854115,0.287010224623662,-2.42343616661455,0.0153744549764917,0.360712056772946
"TARM1",3.43889979879023,0.27982616465958,0.837838616668626,0.333985757033032,0.738390306416574,NA
"IDE",884.634836013598,-0.149581433391459,0.097054257331493,-1.54121454848248,0.123264577837321,0.655971686516446
"DAXX",871.897131996665,0.163638120929693,0.0921057776333137,1.77663253201292,0.0756287194748686,0.58327195496541
"SGCE",32.3678761147996,0.0621930446843584,0.281800219553092,0.220699063978696,0.825326760329361,0.974508551381462
"HLA-C",50506.503059514,0.441829075669053,0.241977883799297,1.82590685037777,0.0678642941550422,0.573776967327521
"CNTD1",374.827517488103,-0.11041472008687,0.111971744900401,-0.986094484685252,0.324086749853325,0.825112685126824
"EBAG9",281.387284138072,-0.00828599683913647,0.128775233221582,-0.0643446463411084,0.948695804445958,0.994222115846619
"ZNF208",121.915168625398,0.521558568490768,0.329271143837164,1.5839789737199,0.113198504022675,0.638383193072488
"IGF1",8.7614709294596,-0.201210048296433,0.894178628526757,-0.225022206835725,0.821961998684918,NA
"SLC11A2",446.702180061212,-0.155026682787509,0.108547513051143,-1.42819193576979,0.153236621114315,0.696384038155615
"CD4",3302.01524074265,0.101602930150874,0.104382426735998,0.973371987296732,0.330368456132586,0.829251942188218
"RMDN2",175.438139087774,-0.366184482207603,0.118445456113304,-3.09158742111065,0.00199089349523381,0.182567361431837
"CENPX",61.9875063588328,0.245540101539124,0.207751490025537,1.18189333568169,0.23724802663899,0.777327375362082
"OGFOD3",143.355531974812,0.0676060345244806,0.169763287546858,0.398237071756871,0.690455441697988,0.955252833839021
"SLC25A39",27391.0483002861,-0.160529073785252,0.243652212900349,-0.658845129598336,0.509995223912721,0.913399806171658
"ELP4",310.655651231025,-0.112115902718753,0.112385227871824,-0.997603553792869,0.318471637138448,0.819557657584722
"C2",44.2956441298876,0.435654201288853,0.260183001676504,1.6744145408489,0.0940491570204808,0.614919247083842
"TSNARE1",145.062415404579,0.0405071006840003,0.209472726903177,0.193376490022606,0.846664126171683,0.978449386244613
"TDRP",122.3304613151,-0.628164694717814,0.24403133260461,-2.57411492210139,0.0100496886366686,0.311623231766719
"ZKSCAN7",72.5920974564366,-0.254963395921907,0.227660052452779,-1.11993032231595,0.262743455573427,0.794102677425482
"RAB5C",1506.66763816906,0.150442888095553,0.0985836548375584,1.52604291597269,0.126999176918484,0.661560205546889
"LOC105378591",0.915770198545043,-0.0932583729891476,2.26407910431334,-0.0411904216648082,0.967144089597942,NA
"RRAGB",120.543427814179,-0.0964703339877967,0.129249570367083,-0.746388043796281,0.455433039639606,0.892760360159025
"ELF3-AS1",8.54282893153292,1.0840080542667,0.465862526271697,2.32688399073871,0.0199714404977513,NA
"MIR411",0,NA,NA,NA,NA,NA
"RDH13",109.100001451454,-0.0548787234169985,0.223153938361213,-0.245923167746957,0.805741709199917,0.972309108081638
"ULK3",267.862454286464,-0.0647089613545702,0.115760215185296,-0.558991370662114,0.576167609489914,0.929932349569669
"GTF2IP20",101.679339845609,0.15164451336107,0.204642234035701,0.741022565921634,0.458679758048191,0.893650068828442
"LINC01611",0.0522012303194906,-0.377601565063122,3.12043766892774,-0.12100916766361,0.903683773813773,NA
"PRKCZ-AS1",15.0470942021454,0.0829208909284289,0.456390083904041,0.181688634027955,0.855827086242356,NA
"MGST2",119.443529869838,0.0812264041604319,0.194078105844764,0.41852430394906,0.67556382081958,0.954507246210476
"YJEFN3",23.1047804168235,-0.00790814769629054,0.375273926491873,-0.0210730006483992,0.983187422472746,0.997057442030588
"FBXO11",2098.03665959216,-0.0473008922415032,0.0820360066119549,-0.576586967052711,0.564218505429815,0.927224681848317
"FAAP20",234.446742179935,0.253873970850291,0.144261804703199,1.75981418901978,0.0784393164843913,0.591599238018436
"ATG16L1",450.161111748329,0.190192173932365,0.0947366657403875,2.00758779555911,0.0446871125287518,0.523894222595486
"NFIC",484.977393213778,0.0518204450373688,0.162268004653699,0.319350972164602,0.749460384337982,0.965554293364058
"PBRM1",2025.49112631039,0.0321294218215472,0.0773047790649702,0.415620123492549,0.677687998974691,0.954507246210476
"LOC100129534",11.4417017441484,-0.0195777385225505,0.495428675288942,-0.0395167649735503,0.968478387440344,NA
"PRDM15",170.625893439822,0.291601623816646,0.166544289001438,1.75089536582145,0.0799639352020657,0.59405043802527
"ZNF311",7.14399639447146,-0.40259911484744,0.67011225327615,-0.60079354299097,0.54797750534058,NA
"KIR2DS1",38.7205950976529,-0.806235867040574,0.404622923911432,-1.9925610226104,0.0463095368537948,0.527956560205514
