NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLK	28	8.587422370910645	0.09234548	Yes	
row_1	PIK3CD	292	4.502767086029053	0.13140818	Yes	
row_2	RFTN1	415	3.86690616607666	0.1688687	Yes	
row_3	CD79A	515	3.5500996112823486	0.20375027	Yes	
row_4	LAT2	724	3.080191135406494	0.22941312	Yes	
row_5	CD19	786	2.9802024364471436	0.2595283	Yes	
row_6	MIR18A	816	2.9332358837127686	0.2903386	Yes	
row_7	NFKB1	835	2.9047133922576904	0.32125324	Yes	
row_8	CD79B	875	2.85227370262146	0.3508061	Yes	
row_9	MS4A1	980	2.7184767723083496	0.37645411	Yes	
row_10	SH2B2	1020	2.6799638271331787	0.40413287	Yes	
row_11	NFKBIA	1097	2.583254098892212	0.42936537	Yes	
row_12	LCK	1132	2.536022186279297	0.45566696	Yes	
row_13	LIME1	1175	2.491743803024292	0.4811855	Yes	
row_14	NFAM1	1180	2.4875102043151855	0.50809	Yes	
row_15	CD22	1239	2.4259095191955566	0.5322895	Yes	
row_16	BLNK	1485	2.2028634548187256	0.5470158	Yes	
row_17	FCRL3	1516	2.1706767082214355	0.5694945	Yes	
row_18	CD81	1601	2.09883451461792	0.5891567	Yes	
row_19	GRB2	2225	1.6913881301879883	0.58407456	Yes	
row_20	LPXN	2247	1.6842973232269287	0.6016024	Yes	
row_21	PTPN6	2350	1.6258435249328613	0.6154418	Yes	
row_22	BANK1	2893	1.3623391389846802	0.60983336	Yes	
row_23	SYK	3036	1.3065519332885742	0.6186926	Yes	
row_24	FCGR2B	3236	1.23434317111969	0.62461835	Yes	
row_25	CD300A	3353	1.1935639381408691	0.6332285	Yes	
row_26	FOXP1	3542	1.121588110923767	0.6383424	Yes	
row_27	GCSAM	3550	1.1195037364959717	0.65025485	Yes	
row_28	PLCG2	3900	1.0109202861785889	0.64809763	Yes	
row_29	ABL1	3926	1.003286600112915	0.65806764	Yes	
row_30	STAP1	4304	0.8925743699073792	0.653568	No	
row_31	NCKAP1L	4811	0.7631309032440186	0.6427991	No	
row_32	ITK	5146	0.6920320987701416	0.63773876	No	
row_33	MIR19A	5253	0.6723458170890808	0.6410568	No	
row_34	BTK	5491	0.6247804760932922	0.63892055	No	
row_35	NFATC2	5659	0.5915693044662476	0.63906115	No	
row_36	CMTM3	5942	0.5444666147232056	0.63435555	No	
row_37	KLHL6	6264	0.4850785434246063	0.6275343	No	
row_38	VAV3	6407	0.4615741968154907	0.62720317	No	
row_39	PRKCB	6647	0.42501819133758545	0.6228189	No	
row_40	GPS2	6775	0.40749847888946533	0.62246484	No	
row_41	SOS1	7144	0.3566708266735077	0.6124757	No	
row_42	BCL2	9123	0.13771548867225647	0.5394305	No	
row_43	TEC	9163	0.13267283141613007	0.53940374	No	
row_44	CTLA4	10091	0.05806027725338936	0.50510025	No	
row_45	BAX	10197	0.049528416246175766	0.5016819	No	
row_46	PRKCH	11281	-0.026726968586444855	0.4611586	No	
row_47	PTPN22	11885	-0.07134702801704407	0.43920988	No	
row_48	MEF2C	12655	-0.10409346222877502	0.41136146	No	
row_49	TMIGD2	14130	-0.20113714039325714	0.35799986	No	
row_50	PLEKHA1	14389	-0.22353506088256836	0.35070813	No	
row_51	SLC39A10	14697	-0.24629120528697968	0.34181726	No	
row_52	NFKBIZ	15269	-0.28014108538627625	0.32334545	No	
row_53	GCSAML	17471	-0.47141021490097046	0.24552569	No	
row_54	MNDA	18560	-0.5942887663841248	0.21098699	No	
row_55	LYN	18714	-0.6143608689308167	0.21190308	No	
row_56	BMX	19094	-0.6674896478652954	0.20487998	No	
row_57	PTPRC	19489	-0.7245032787322998	0.1979117	No	
row_58	PLCL2	19767	-0.7672953009605408	0.19581811	No	
row_59	MAPK1	21999	-1.2130351066589355	0.124933995	No	
row_60	CD38	22374	-1.3083226680755615	0.1250693	No	
row_61	BCAR1	25713	-3.1263697147369385	0.033277012	No	
