NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.13315596	Yes	
row_1	HSPA1B	1	18.653751373291016	0.2565488	Yes	
row_2	HSP90AB1	5	14.628531455993652	0.3532021	Yes	
row_3	HSP90AA1	11	11.889311790466309	0.43166035	Yes	
row_4	IRAK1	228	4.877813339233398	0.45578614	Yes	
row_5	CREBBP	336	4.244154453277588	0.47982827	Yes	
row_6	HSF1	371	4.084196090698242	0.50556344	Yes	
row_7	CHORDC1	378	4.034318447113037	0.53202397	Yes	
row_8	POLR2D	490	3.623598575592041	0.55181044	Yes	
row_9	MTOR	581	3.417304754257202	0.5710237	Yes	
row_10	DNAJB6	836	2.904623031616211	0.5806649	Yes	
row_11	HTRA2	950	2.753519058227539	0.59462047	Yes	
row_12	BAG3	973	2.723470687866211	0.61180687	Yes	
row_13	DAXX	1059	2.634953260421753	0.62603337	Yes	
row_14	HMOX1	1137	2.533263921737671	0.63988876	Yes	
row_15	DNAJB1	1197	2.471668243408203	0.65401506	Yes	
row_16	HIKESHI	1311	2.3625597953796387	0.6653845	Yes	
row_17	STUB1	1435	2.2526211738586426	0.6756498	Yes	
row_18	HSPA6	1787	1.9670826196670532	0.6754336	Yes	
row_19	EP300	2204	1.6992278099060059	0.6709958	Yes	
row_20	CLPB	2256	1.6796685457229614	0.6801846	Yes	
row_21	DNAJC7	2931	1.3463761806488037	0.6636894	No	
row_22	GSK3B	3305	1.2121528387069702	0.65765023	No	
row_23	TRPV1	3417	1.1692185401916504	0.6612012	No	
row_24	PRKACA	3659	1.0866284370422363	0.6593064	No	
row_25	IER5	3803	1.0423458814620972	0.66081214	No	
row_26	MAPT	4759	0.7756415605545044	0.62995136	No	
row_27	TRPV4	4786	0.7687113285064697	0.63405645	No	
row_28	VCP	4988	0.7239571213722229	0.6312702	No	
row_29	HDAC2	6176	0.49925753474235535	0.5898377	No	
row_30	STAC	7168	0.3526758551597595	0.55482227	No	
row_31	MAPKAPK2	7171	0.35189151763916016	0.5570746	No	
row_32	RBBP7	7336	0.3292955160140991	0.55307215	No	
row_33	TFEC	7909	0.262641042470932	0.53325224	No	
row_34	IL1A	8822	0.16870947182178497	0.49999723	No	
row_35	HSBP1	8878	0.1629304587841034	0.4990022	No	
row_36	HSP90AB4P	9270	0.12300586700439453	0.48508006	No	
row_37	NF1	9869	0.0781613364815712	0.46305996	No	
row_38	PDCD6	10034	0.06383373588323593	0.45730147	No	
row_39	CETN1	10280	0.043393269181251526	0.44835508	No	
row_40	PTGS2	10487	0.034501779824495316	0.44081968	No	
row_41	SUMO1	11182	-0.019800100475549698	0.41479552	No	
row_42	TCIM	13071	-0.13881376385688782	0.34455976	No	
row_43	SIRT1	14692	-0.2461545467376709	0.28513432	No	
row_44	SLU7	16414	-0.3679383397102356	0.22270802	No	
row_45	ATXN3	16873	-0.4096701741218567	0.20815708	No	
row_46	ATR	16944	-0.4162769615650177	0.20827258	No	
row_47	HSBP1L1	17440	-0.4664701223373413	0.19270292	No	
row_48	YWHAE	17627	-0.486133337020874	0.18890877	No	
row_49	LYN	18714	-0.6143608689308167	0.1520441	No	
row_50	ATM	18767	-0.6222957372665405	0.15420078	No	
row_51	FGF1	19456	-0.720008134841919	0.13303457	No	
row_52	ST8SIA1	19641	-0.7475807070732117	0.13104524	No	
row_53	TPR	19682	-0.7562417984008789	0.13454022	No	
row_54	EIF2S1	20099	-0.8233895897865295	0.12430886	No	
row_55	SLC52A3	20881	-0.9643071293830872	0.101253726	No	
row_56	SCARA5	21852	-1.178597331047058	0.072493166	No	
row_57	CD34	21883	-1.1836172342300415	0.079192065	No	
row_58	THBS1	24219	-1.98590886592865	0.004328361	No	
row_59	CXCL10	24570	-2.1860063076019287	0.0055979653	No	
row_60	DNAJC2	24609	-2.208601236343384	0.018775532	No	
row_61	DHX36	25433	-2.812452554702759	0.006362836	No	
row_62	ZFAND1	26483	-5.658451557159424	0.0042587826	No	
