NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIRT6	1051	2.6402950286865234	0.016014032	No	
row_1	CENPX	2681	1.4562193155288696	-0.014649842	No	
row_2	POGZ	2713	1.4369688034057617	0.014428643	No	
row_3	RNF4	3430	1.164670467376709	0.011992902	No	
row_4	TRAPPC12	3974	0.9870498180389404	0.012330194	No	
row_5	OIP5	4718	0.7854961156845093	8.9733355E-4	No	
row_6	MIS18A	7047	0.3699985444545746	-0.07893915	No	
row_7	CENPO	7910	0.26260513067245483	-0.10585688	No	
row_8	NASP	9101	0.14056015014648438	-0.1476891	No	
row_9	CENPV	9168	0.13177284598350525	-0.14739974	No	
row_10	CENPW	9367	0.1171116977930069	-0.15238735	No	
row_11	CENPP	9474	0.1110692024230957	-0.15403932	No	
row_12	CENPT	11151	-0.018115531653165817	-0.21674143	No	
row_13	RB1	11416	-0.033288583159446716	-0.22597754	No	
row_14	MIS12	13363	-0.16019432246685028	-0.29585177	No	
row_15	CENPN	15002	-0.25877949595451355	-0.3520581	No	
row_16	SENP6	15917	-0.326504647731781	-0.37958813	No	
row_17	HJURP	18971	-0.650072455406189	-0.4808181	No	
row_18	HELLS	20757	-0.9406620264053345	-0.5282051	No	
row_19	CENPA	22439	-1.3233084678649902	-0.5636237	No	
row_20	CENPF	22451	-1.326621651649475	-0.53611505	No	
row_21	KNTC1	25395	-2.7744810581207275	-0.5884902	Yes	
row_22	CENPE	25864	-3.3419928550720215	-0.53576314	Yes	
row_23	CENPK	26065	-3.7877724170684814	-0.46356598	Yes	
row_24	CENPC	26101	-3.872460126876831	-0.38337585	Yes	
row_25	CENPH	26149	-4.0408759117126465	-0.30009258	Yes	
row_26	CENPI	26195	-4.152002811431885	-0.21439505	Yes	
row_27	DLGAP5	26212	-4.226731300354004	-0.12603308	Yes	
row_28	ITGB3BP	26540	-6.672800540924072	0.0021079092	Yes	
