NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.20151384	Yes	
row_1	HSPA1B	1	18.653751373291016	0.3882525	Yes	
row_2	HSPH1	3	16.15424346923828	0.54993147	Yes	
row_3	HSPA8	43	7.646491050720215	0.6250107	Yes	
row_4	HSPE1	160	5.432236194610596	0.67502505	Yes	
row_5	GAK	261	4.642898082733154	0.7177397	Yes	
row_6	HSPA5	517	3.545794725418091	0.7436368	Yes	
row_7	CD74	548	3.475870132446289	0.7773037	Yes	
row_8	DNAJB1	1197	2.471668243408203	0.777654	Yes	
row_9	HSPA7	1602	2.0985188484191895	0.7834539	Yes	
row_10	HSPA6	1787	1.9670826196670532	0.79621947	Yes	
row_11	HSPA9	1790	1.961193561553955	0.8157773	Yes	
row_12	SDF2	1883	1.8955318927764893	0.8312898	Yes	
row_13	DNAJC7	2931	1.3463761806488037	0.80535537	No	
row_14	SDF2L1	4288	0.8967242240905762	0.76328766	No	
row_15	TOR1A	6512	0.4457258880138397	0.6840682	No	
row_16	TOR1B	7340	0.3289935886859894	0.6562305	No	
row_17	DNAJB12	8393	0.20940634608268738	0.61872584	No	
row_18	DNAJB5	8516	0.19976770877838135	0.61613315	No	
row_19	ST13	10728	0.013429688289761543	0.5330378	No	
row_20	DNAJB13	10870	0.004429682623594999	0.5277744	No	
row_21	HSPA14	10996	-0.005222576670348644	0.52312124	No	
row_22	PTGES3	12080	-0.08989638835191727	0.48325324	No	
row_23	DNAJB4	13937	-0.18250320851802826	0.41521385	No	
row_24	BAG1	14274	-0.21452903747558594	0.40471324	No	
row_25	TOR2A	15091	-0.2669358253479004	0.37666836	No	
row_26	ERO1A	16488	-0.3759680986404419	0.32788175	No	
row_27	HSPA2	19607	-0.7437921762466431	0.21795522	No	
row_28	DNAJC18	19848	-0.7818867564201355	0.21674807	No	
row_29	DNAJB14	20818	-0.9532451629638672	0.18981424	No	
row_30	HSPA1L	22477	-1.3311570882797241	0.1407272	No	
row_31	HSPA13	22783	-1.427341103553772	0.14353473	No	
