NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.23753282	Yes	
row_1	HSP90AB1	5	14.628531455993652	0.4100009	Yes	
row_2	HSPA4	7	13.905517578125	0.5740502	Yes	
row_3	HSP90AA1	11	11.889311790466309	0.71423274	Yes	
row_4	HSPD1	34	8.059305191040039	0.8085057	Yes	
row_5	STUB1	1435	2.2526211738586426	0.78240585	No	
row_6	LONP1	1798	1.9559675455093384	0.7918647	No	
row_7	NDUFAF1	5509	0.6211547255516052	0.6595895	No	
row_8	PFDN6	5627	0.597223699092865	0.6622342	No	
row_9	TMEM35A	6918	0.3868052661418915	0.6182567	No	
row_10	PSMG3	10455	0.03681955114006996	0.4856338	No	
row_11	BBS12	11497	-0.040760912001132965	0.44694263	No	
row_12	PTGES3	12080	-0.08989638835191727	0.42610314	No	
row_13	HOPX	12239	-0.09827668219804764	0.42131737	No	
row_14	APCS	12450	-0.10030876845121384	0.41459888	No	
row_15	CCT2	14941	-0.25306570529937744	0.323888	No	
row_16	BBS10	14971	-0.25592073798179626	0.32581663	No	
row_17	MKKS	22339	-1.3007011413574219	0.06394966	No	
row_18	PTGES3L	22846	-1.4427965879440308	0.061934397	No	
row_19	PSMG2	23846	-1.806890606880188	0.04566422	No	
row_20	PSMG1	24714	-2.2660200595855713	0.039778907	No	
row_21	CLU	25214	-2.627246618270874	0.05200371	No	
