NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.09705465	Yes	
row_1	HSPA1B	1	18.653751373291016	0.18699315	Yes	
row_2	HSPH1	3	16.15424346923828	0.26484266	Yes	
row_3	FKBP4	4	15.160653114318848	0.33793932	Yes	
row_4	CCT3	26	8.759869575500488	0.37938318	Yes	
row_5	DFFA	30	8.44981575012207	0.42001063	Yes	
row_6	HSPA8	43	7.646491050720215	0.45642564	Yes	
row_7	CCT6A	70	6.753059387207031	0.48800525	Yes	
row_8	DNAJC5	71	6.724453926086426	0.520427	Yes	
row_9	HSPB1	102	6.114035129547119	0.5487748	Yes	
row_10	HSPE1	160	5.432236194610596	0.57281756	Yes	
row_11	CCT5	177	5.282976150512695	0.5976862	Yes	
row_12	CCT7	218	4.897830486297607	0.6197931	Yes	
row_13	PPID	254	4.6893439292907715	0.64108336	Yes	
row_14	GAK	261	4.642898082733154	0.66324276	Yes	
row_15	CHORDC1	378	4.034318447113037	0.67832154	Yes	
row_16	HSPA5	517	3.545794725418091	0.69021565	Yes	
row_17	TCP1	528	3.5155766010284424	0.70678896	Yes	
row_18	CD74	548	3.475870132446289	0.72283155	Yes	
row_19	FKBP5	630	3.2908716201782227	0.7356451	Yes	
row_20	DNAJB6	836	2.904623031616211	0.7419223	Yes	
row_21	CCT4	837	2.903169870376587	0.7559198	Yes	
row_22	DNAJB1	1197	2.471668243408203	0.7543045	Yes	
row_23	HSPA7	1602	2.0985188484191895	0.7491939	Yes	
row_24	HSPA6	1787	1.9670826196670532	0.7517423	Yes	
row_25	HSPA9	1790	1.961193561553955	0.76112276	Yes	
row_26	SDF2	1883	1.8955318927764893	0.7667941	Yes	
row_27	TRAP1	2235	1.6888059377670288	0.7617058	No	
row_28	FKBP11	2588	1.4994964599609375	0.7556671	No	
row_29	UNC45A	2667	1.464458703994751	0.7597878	No	
row_30	DNAJC7	2931	1.3463761806488037	0.7563656	No	
row_31	SDF2L1	4288	0.8967242240905762	0.70957524	No	
row_32	PDIA4	6220	0.49305421113967896	0.63916427	No	
row_33	TOR1A	6512	0.4457258880138397	0.63034415	No	
row_34	CRTAP	6762	0.4095343351364136	0.6229328	No	
row_35	CCT8	7156	0.3551923334598541	0.60983133	No	
row_36	PPIB	7264	0.33851322531700134	0.60743016	No	
row_37	TOR1B	7340	0.3289935886859894	0.6061893	No	
row_38	PDCL3	7927	0.2595897614955902	0.5853519	No	
row_39	DNAJB2	8104	0.24054276943206787	0.5798774	No	
row_40	DNAJB12	8393	0.20940634608268738	0.570031	No	
row_41	DNAJB5	8516	0.19976770877838135	0.5663954	No	
row_42	DNAJB7	8750	0.17587973177433014	0.5584606	No	
row_43	ST13	10728	0.013429688289761543	0.4840031	No	
row_44	DNAJB13	10870	0.004429682623594999	0.47870952	No	
row_45	HSPA14	10996	-0.005222576670348644	0.4740229	No	
row_46	PTGES3	12080	-0.08989638835191727	0.43363306	No	
row_47	DNAJB4	13937	-0.18250320851802826	0.36455184	No	
row_48	BAG1	14274	-0.21452903747558594	0.3529208	No	
row_49	CCT2	14941	-0.25306570529937744	0.32903633	No	
row_50	TOR2A	15091	-0.2669358253479004	0.32470685	No	
row_51	ERO1A	16488	-0.3759680986404419	0.27389792	No	
row_52	CSNK2A1	16872	-0.4096432030200958	0.261436	No	
row_53	DNAJB8	17557	-0.4801534414291382	0.23796792	No	
row_54	P3H1	17576	-0.48082101345062256	0.23960768	No	
row_55	UNC45B	19006	-0.6546080708503723	0.18889828	No	
row_56	HSPA2	19607	-0.7437921762466431	0.1698677	No	
row_57	DNAJC18	19848	-0.7818867564201355	0.16459082	No	
row_58	DNAJB14	20818	-0.9532451629638672	0.1326608	No	
row_59	UMOD	22002	-1.2136939764022827	0.09391989	No	
row_60	HSPA1L	22477	-1.3311570882797241	0.08247078	No	
row_61	PEX19	22522	-1.3472875356674194	0.08730813	No	
row_62	HSPA13	22783	-1.427341103553772	0.08438942	No	
row_63	DNAJC24	22919	-1.4649592638015747	0.086363904	No	
row_64	PDCD5	24216	-1.984798789024353	0.04708135	No	
row_65	CLU	25214	-2.627246618270874	0.02216703	No	
row_66	FKBP2	25245	-2.6514973640441895	0.03382031	No	
row_67	HSPB6	25957	-3.539855718612671	0.02408676	No	
