NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAIAP2	1007	2.690481662750244	-0.0022942708	No	
row_1	TANC2	3503	1.1386722326278687	-0.08121021	No	
row_2	ARHGAP44	3737	1.0582664012908936	-0.07596801	No	
row_3	DOCK10	4196	0.9202496409416199	-0.081031494	No	
row_4	DVL1	4442	0.8537483215332031	-0.07895102	No	
row_5	DIP2A	5074	0.705512523651123	-0.093377486	No	
row_6	CDK5	5158	0.6900418400764465	-0.087362394	No	
row_7	DLG4	5506	0.6220361590385437	-0.092194796	No	
row_8	WNT7A	6031	0.5286091566085815	-0.104933664	No	
row_9	ZNF365	6126	0.5093424916267395	-0.10172705	No	
row_10	RELN	6293	0.48074835538864136	-0.101611964	No	
row_11	HDAC6	6524	0.4430816173553467	-0.104407184	No	
row_12	CFL1	6770	0.4078984260559082	-0.10823368	No	
row_13	PAK3	7789	0.2764807939529419	-0.14292495	No	
row_14	ABI3	7926	0.2599852979183197	-0.14460441	No	
row_15	DTNBP1	8319	0.21761760115623474	-0.1564903	No	
row_16	EFNA1	8753	0.17557403445243835	-0.17047793	No	
row_17	PAFAH1B1	9493	0.10948148369789124	-0.19687009	No	
row_18	SIPA1L1	9598	0.09627395123243332	-0.1995129	No	
row_19	CDK5R1	9935	0.07249840348958969	-0.21121156	No	
row_20	EEF2K	9952	0.07092929631471634	-0.21087465	No	
row_21	CAPRIN1	10321	0.041604675352573395	-0.22418825	No	
row_22	LRRK2	10636	0.020075153559446335	-0.2357526	No	
row_23	LZTS3	11474	-0.03867330029606819	-0.26677513	No	
row_24	WASL	12980	-0.1318581998348236	-0.32173076	No	
row_25	EPHB1	14232	-0.21052859723567963	-0.36607435	No	
row_26	ARHGAP33	15199	-0.2753762900829315	-0.39882112	No	
row_27	DBN1	16117	-0.346874862909317	-0.42877445	No	
row_28	NGEF	16216	-0.35504812002182007	-0.42776278	No	
row_29	PDLIM5	16486	-0.3758215606212616	-0.43291846	No	
row_30	ABI2	18678	-0.6102510690689087	-0.5073818	No	
row_31	CDC42	18812	-0.6284380555152893	-0.5040667	No	
row_32	UBE3A	19545	-0.7338619232177734	-0.5219228	No	
row_33	ARMCX5-GPRASP2	20373	-0.8711045384407043	-0.5415399	No	
row_34	LRP8	21394	-1.0732502937316895	-0.56575036	No	
row_35	EPHB2	21735	-1.1533557176589966	-0.5632797	No	
row_36	EPHA4	21954	-1.20388925075531	-0.555543	No	
row_37	PPFIA2	22423	-1.3180108070373535	-0.5557134	No	
row_38	SRCIN1	23360	-1.6165518760681152	-0.56956095	Yes	
row_39	PTEN	23837	-1.8019766807556152	-0.56362075	Yes	
row_40	ZDHHC15	24055	-1.9000334739685059	-0.54662335	Yes	
row_41	NLGN1	24475	-2.1237611770629883	-0.53427243	Yes	
row_42	PRMT3	24553	-2.176281213760376	-0.5083404	Yes	
row_43	ARC	24656	-2.231992483139038	-0.4826122	Yes	
row_44	STAU2	25092	-2.5328662395477295	-0.46544394	Yes	
row_45	KIF1A	25250	-2.6531097888946533	-0.43620864	Yes	
row_46	DHX36	25433	-2.812452554702759	-0.40580413	Yes	
row_47	CUX2	25691	-3.1059322357177734	-0.37433708	Yes	
row_48	CAPRIN2	25706	-3.1200082302093506	-0.33352825	Yes	
row_49	SHANK1	26021	-3.690722942352295	-0.296461	Yes	
row_50	DNM3	26258	-4.383569717407227	-0.2472756	Yes	
row_51	SHANK3	26301	-4.537720203399658	-0.18873875	Yes	
row_52	CTNND2	26389	-4.894810199737549	-0.12716632	Yes	
row_53	ITPKA	26394	-4.953074932098389	-0.061694823	Yes	
row_54	EPHB3	26440	-5.228224754333496	0.005877346	Yes	
