NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.17754532	Yes	
row_1	HSPA1B	1	18.653751373291016	0.34207284	Yes	
row_2	HSPH1	3	16.15424346923828	0.4845169	Yes	
row_3	HSPD1	34	8.059305191040039	0.5544709	Yes	
row_4	HSPA8	43	7.646491050720215	0.6216123	Yes	
row_5	HSPE1	160	5.432236194610596	0.6651569	Yes	
row_6	GAK	261	4.642898082733154	0.70234203	Yes	
row_7	HSPA5	517	3.545794725418091	0.72401386	Yes	
row_8	CD74	548	3.475870132446289	0.7535416	Yes	
row_9	DNAJB1	1197	2.471668243408203	0.7509406	Yes	
row_10	HSPA7	1602	2.0985188484191895	0.7542366	Yes	
row_11	HSPA6	1787	1.9670826196670532	0.7646577	Yes	
row_12	HSPA9	1790	1.961193561553955	0.78188026	Yes	
row_13	SDF2	1883	1.8955318927764893	0.7951346	Yes	
row_14	DNAJC7	2931	1.3463761806488037	0.7675836	No	
row_15	SDF2L1	4288	0.8967242240905762	0.72443086	No	
row_16	FKBP1A	4361	0.8774681687355042	0.729459	No	
row_17	TOR1A	6512	0.4457258880138397	0.65242934	No	
row_18	TOR1B	7340	0.3289935886859894	0.6241893	No	
row_19	DNAJB12	8393	0.20940634608268738	0.5864219	No	
row_20	DNAJB5	8516	0.19976770877838135	0.5835898	No	
row_21	FKBP1B	10591	0.023938290774822235	0.50570184	No	
row_22	UGGT1	10613	0.022038033232092857	0.50510544	No	
row_23	ST13	10728	0.013429688289761543	0.5009311	No	
row_24	DNAJB13	10870	0.004429682623594999	0.4956606	No	
row_25	HSPA14	10996	-0.005222576670348644	0.49099964	No	
row_26	PTGES3	12080	-0.08989638835191727	0.45101076	No	
row_27	SELENOF	12993	-0.13286538422107697	0.41784012	No	
row_28	DNAJB4	13937	-0.18250320851802826	0.38393995	No	
row_29	BAG1	14274	-0.21452903747558594	0.3731796	No	
row_30	CCT2	14941	-0.25306570529937744	0.3503326	No	
row_31	TOR2A	15091	-0.2669358253479004	0.3470762	No	
row_32	ERO1A	16488	-0.3759680986404419	0.2978241	No	
row_33	ENTPD5	17493	-0.4742741882801056	0.26420036	No	
row_34	HSPA2	19607	-0.7437921762466431	0.19119294	No	
row_35	DNAJC18	19848	-0.7818867564201355	0.18905175	No	
row_36	DNAJB14	20818	-0.9532451629638672	0.16097051	No	
row_37	HSPA1L	22477	-1.3311570882797241	0.11027731	No	
row_38	HSPA13	22783	-1.427341103553772	0.11138141	No	
row_39	CHCHD4	22811	-1.4338477849960327	0.123011336	No	
row_40	DNAJC2	24609	-2.208601236343384	0.074823044	No	
