NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	4296	0.8942879438400269	-0.122956604	No	
row_1	PRKDC	7778	0.27815985679626465	-0.24189524	No	
row_2	IL1A	8822	0.16870947182178497	-0.27384067	No	
row_3	BCL2L1	9309	0.12043522298336029	-0.2869174	No	
row_4	BAX	10197	0.049528416246175766	-0.3181477	No	
row_5	DDB1	10879	0.0037961790803819895	-0.34360525	No	
row_6	SOD1	11903	-0.07302534580230713	-0.37893617	No	
row_7	YBX3	14242	-0.2114182710647583	-0.4577573	No	
row_8	SYCP2	15581	-0.3062104284763336	-0.49485528	No	
row_9	CASP2	17206	-0.4454806447029114	-0.5366907	No	
row_10	TEX11	20623	-0.9149666428565979	-0.62564415	No	
row_11	UNC5C	22752	-1.4212969541549683	-0.64424133	Yes	
row_12	UBE2B	24343	-2.0530893802642822	-0.6152742	Yes	
row_13	SYCE3	24421	-2.0892555713653564	-0.5278184	Yes	
row_14	KIT	25007	-2.4667201042175293	-0.44315138	Yes	
row_15	TOPAZ1	25879	-3.3671934604644775	-0.3303025	Yes	
row_16	MAEL	26180	-4.11484432220459	-0.16363727	Yes	
row_17	KITLG	26191	-4.144876480102539	0.015237625	Yes	
