NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNB1	5953	0.5415513515472412	-0.21240161	No	
row_1	RPGRIP1L	5958	0.5403425097465515	-0.20084599	No	
row_2	TP63	6025	0.5293818116188049	-0.19186217	No	
row_3	WNT7A	6031	0.5286091566085815	-0.18059838	No	
row_4	CACNA1C	7190	0.34881749749183655	-0.21664083	No	
row_5	ATRX	8223	0.22689121961593628	-0.2505808	No	
row_6	NIPBL	10472	0.0356111116707325	-0.33444783	No	
row_7	HOXA11	10481	0.03489133343100548	-0.33399314	No	
row_8	RDH10	12042	-0.08564670383930206	-0.3908726	No	
row_9	WNT3	13877	-0.17711345851421356	-0.45608672	No	
row_10	ALDH1A2	14950	-0.25403738021850586	-0.4909446	No	
row_11	HOXD10	16255	-0.3574165403842926	-0.53229773	No	
row_12	RSPO2	16663	-0.39136308431625366	-0.53914285	No	
row_13	HOXA9	16706	-0.3968615233898163	-0.5321264	No	
row_14	FMN1	17005	-0.4216358959674835	-0.53421175	No	
row_15	CRABP2	18809	-0.628157377243042	-0.5884871	No	
row_16	TFAP2A	19507	-0.7280800342559814	-0.5989561	No	
row_17	SHOX2	19591	-0.741654098033905	-0.58601356	No	
row_18	OSR1	19802	-0.7742308974266052	-0.5771469	No	
row_19	SHH	21075	-1.0005288124084473	-0.60336256	Yes	
row_20	OSR2	21364	-1.0659643411636353	-0.5911124	Yes	
row_21	RECK	21972	-1.2082276344299316	-0.58779067	Yes	
row_22	ALX3	22160	-1.25728178024292	-0.56759304	Yes	
row_23	MSX2	22525	-1.3477126359939575	-0.55210036	Yes	
row_24	TFAP2B	22896	-1.4582338333129883	-0.53443927	Yes	
row_25	HOXD9	23015	-1.4948214292526245	-0.5064975	Yes	
row_26	MSX1	23547	-1.6773972511291504	-0.49015006	Yes	
row_27	RUNX2	23902	-1.8309905529022217	-0.46381095	Yes	
row_28	ALX4	23922	-1.8382824659347534	-0.42470092	Yes	
row_29	TWIST1	23946	-1.8483556509017944	-0.38552323	Yes	
row_30	EN1	24372	-2.065983295440674	-0.3567663	Yes	
row_31	ZNF358	24900	-2.385918617248535	-0.32491854	Yes	
row_32	HOXA13	25277	-2.6764702796936035	-0.2810909	Yes	
row_33	VPS54	25359	-2.7466537952423096	-0.2246358	Yes	
row_34	LNPK	25547	-2.9307503700256348	-0.16818333	Yes	
row_35	ZBTB16	26282	-4.480554580688477	-0.09875005	Yes	
row_36	RNF165	26419	-5.102121353149414	0.006664195	Yes	
