NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC4	185	5.201663017272949	0.04289072	No	
row_1	CENPX	2681	1.4562193155288696	-0.03718033	No	
row_2	RMI1	2936	1.3453000783920288	-0.03385697	No	
row_3	KLHDC3	2953	1.3416502475738525	-0.02159897	No	
row_4	RAD51D	3623	1.0972027778625488	-0.03629417	No	
row_5	HDAC10	3958	0.9936798214912415	-0.03935642	No	
row_6	C11orf80	4157	0.9304306507110596	-0.037899483	No	
row_7	RAD54L	5148	0.6915077567100525	-0.06858134	No	
row_8	MUS81	5397	0.6434209942817688	-0.071760036	No	
row_9	MLH1	5516	0.619493842124939	-0.07026872	No	
row_10	SLX4	5731	0.5787811875343323	-0.072785676	No	
row_11	SHOC1	5999	0.5336047410964966	-0.07773312	No	
row_12	CENPS	7161	0.35455381870269775	-0.11808957	No	
row_13	REC8	7490	0.312857985496521	-0.12745203	No	
row_14	FANCD2	9945	0.07156159728765488	-0.21925116	No	
row_15	MSH4	10273	0.044041771441698074	-0.23115279	No	
row_16	EME2	11582	-0.04911555349826813	-0.2799772	No	
row_17	RAD51C	12705	-0.10925524681806564	-0.32121527	No	
row_18	EME1	13347	-0.15894216299057007	-0.34384933	No	
row_19	MSH5	16107	-0.3456156551837921	-0.4445161	No	
row_20	HSF2BP	16604	-0.38599687814712524	-0.45950893	No	
row_21	ANKLE1	16618	-0.387043297290802	-0.4562887	No	
row_22	PSMC3IP	16935	-0.41531902551651	-0.4642167	No	
row_23	RNF212	17059	-0.42744794487953186	-0.46475476	No	
row_24	C14orf39	17269	-0.4481734037399292	-0.4683353	No	
row_25	MEIOB	18291	-0.5594190955162048	-0.5014517	No	
row_26	RAD51B	18395	-0.5724176168441772	-0.4998463	No	
row_27	RAD21	18425	-0.5757841467857361	-0.4954198	No	
row_28	CCNB1IP1	18533	-0.5897973775863647	-0.49379858	No	
row_29	ATM	18767	-0.6222957372665405	-0.4966145	No	
row_30	TEX19	18873	-0.6361317038536072	-0.49447373	No	
row_31	PRDM9	19009	-0.6550386548042297	-0.49328238	No	
row_32	UBR2	19032	-0.6584437489509583	-0.48779967	No	
row_33	SPO11	19073	-0.6639044880867004	-0.48294303	No	
row_34	RAD51	19442	-0.718582272529602	-0.48992372	No	
row_35	TOP2B	19711	-0.7601422667503357	-0.4927373	No	
row_36	TEX11	20623	-0.9149666428565979	-0.51829976	No	
row_37	SYCP1	21245	-1.0388480424880981	-0.5317454	No	
row_38	CNTD1	21514	-1.1003926992416382	-0.53129727	No	
row_39	ANKRD31	21647	-1.1327011585235596	-0.525414	No	
row_40	NBN	21960	-1.2048561573028564	-0.52562284	No	
row_41	RAD54B	22554	-1.3590320348739624	-0.5349439	No	
row_42	TOPBP1	22942	-1.4723262786865234	-0.5354153	No	
row_43	TRIP13	23490	-1.6576310396194458	-0.5401404	Yes	
row_44	RAD50	23525	-1.66914701461792	-0.5254214	Yes	
row_45	RNF212B	23880	-1.821831464767456	-0.52129877	Yes	
row_46	UBE2B	24343	-2.0530893802642822	-0.51902956	Yes	
row_47	RAD51AP1	24366	-2.062325954437256	-0.50008935	Yes	
row_48	SYCE3	24421	-2.0892555713653564	-0.48209694	Yes	
row_49	BRCA1	24529	-2.1581039428710938	-0.465442	Yes	
row_50	MRE11	24872	-2.369847297668457	-0.45561388	Yes	
row_51	TOP2A	25435	-2.8150815963745117	-0.449809	Yes	
row_52	DMC1	25595	-2.99006986618042	-0.42713866	Yes	
row_53	BARD1	25629	-3.0308175086975098	-0.39932907	Yes	
row_54	RBBP8	26047	-3.7382678985595703	-0.37920988	Yes	
row_55	MND1	26100	-3.8686225414276123	-0.3440852	Yes	
row_56	C1orf146	26151	-4.044631004333496	-0.3071979	Yes	
row_57	BRIP1	26259	-4.386015892028809	-0.26918632	Yes	
row_58	FANCM	26359	-4.774150848388672	-0.22715259	Yes	
row_59	MLH3	26436	-5.202462673187256	-0.18014626	Yes	
row_60	PRDM7	26473	-5.559092998504639	-0.12821381	Yes	
row_61	HFM1	26496	-5.860236644744873	-0.07286697	Yes	
row_62	NUCKS1	26575	-7.990660667419434	7.9152524E-4	Yes	
