NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.3132064	Yes	
row_1	HSPA1B	1	18.653751373291016	0.6034482	Yes	
row_2	HSF1	371	4.084196090698242	0.6531092	Yes	
row_3	DNAJB6	836	2.904623031616211	0.6808415	Yes	
row_4	BAG3	973	2.723470687866211	0.718099	Yes	
row_5	DNAJB1	1197	2.471668243408203	0.7481645	Yes	
row_6	BAG5	3868	1.0202348232269287	0.663557	No	
row_7	MAPT	4759	0.7756415605545044	0.6421316	No	
row_8	VCP	4988	0.7239571213722229	0.64481556	No	
row_9	PSMC5	6088	0.5167369842529297	0.6114964	No	
row_10	HDAC6	6524	0.4430816173553467	0.60201985	No	
row_11	TRIM37	7498	0.3117665946483612	0.57025325	No	
row_12	UBD	8093	0.24154232442378998	0.5516572	No	
row_13	DNAJB2	8104	0.24054276943206787	0.55502355	No	
row_14	IFNB1	10356	0.03892005980014801	0.47091588	No	
row_15	PRKN	10993	-0.005112285725772381	0.44706047	No	
row_16	SORL1	11481	-0.03959483653306961	0.42934898	No	
row_17	DNAJB8	17557	-0.4801534414291382	0.20819578	No	
row_18	CDC34	17867	-0.5107994079589844	0.20451474	No	
row_19	HSPA2	19607	-0.7437921762466431	0.1506429	No	
row_20	SACS	19956	-0.7974680066108704	0.14995456	No	
row_21	DNAJA4	20027	-0.8092142939567566	0.15991111	No	
row_22	PSMC6	21679	-1.1411645412445068	0.11553392	No	
row_23	SNCAIP	23915	-1.8353294134140015	0.05997951	No	
row_24	CLU	25214	-2.627246618270874	0.052009568	No	
