NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIEZO1	2749	1.4188134670257568	-0.0638124	No	
row_1	TLN1	4169	0.9273203611373901	-0.09130575	No	
row_2	MZB1	6035	0.5278777480125427	-0.14674085	No	
row_3	FERMT3	6140	0.5057460069656372	-0.13652644	No	
row_4	PTGER4	6635	0.4267131984233856	-0.1431958	No	
row_5	CX3CL1	8725	0.17850278317928314	-0.21681997	No	
row_6	JAM3	8783	0.17208439111709595	-0.21415775	No	
row_7	FARP2	11127	-0.016265487298369408	-0.30187225	No	
row_8	ITGB1BP1	11409	-0.03272024169564247	-0.31153247	No	
row_9	PLEK	16104	-0.34547683596611023	-0.47852036	No	
row_10	SKAP1	18526	-0.5896062254905701	-0.5531538	No	
row_11	CDH17	20858	-0.9602159857749939	-0.61404747	No	
row_12	CXCL13	21566	-1.114591121673584	-0.6095163	No	
row_13	SRC	23237	-1.572267770767212	-0.62843835	Yes	
row_14	CXCL12	24909	-2.3899905681610107	-0.62455493	Yes	
row_15	RAP1B	25000	-2.462104320526123	-0.5591628	Yes	
row_16	FBLIM1	25019	-2.4753873348236084	-0.49069014	Yes	
row_17	FERMT2	25211	-2.6252543926239014	-0.42454112	Yes	
row_18	KRIT1	25225	-2.6370298862457275	-0.35136482	Yes	
row_19	P2RY12	25253	-2.655355453491211	-0.27820346	Yes	
row_20	KIF14	25870	-3.347952127456665	-0.20785892	Yes	
row_21	FERMT1	25975	-3.5755765438079834	-0.11188874	Yes	
row_22	SELP	26375	-4.840513706207275	0.008316414	Yes	
