NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR51E2	6297	0.4797074794769287	-0.22230172	No	
row_1	LRMDA	6340	0.47251319885253906	-0.20942539	No	
row_2	GLI3	8638	0.1871536523103714	-0.29014364	No	
row_3	TYRP1	8687	0.18199320137500763	-0.2863818	No	
row_4	RAB27A	8830	0.16785036027431488	-0.28659028	No	
row_5	BCL2	9123	0.13771548867225647	-0.29336578	No	
row_6	MEF2C	12655	-0.10409346222877502	-0.4230652	No	
row_7	ENPP1	14076	-0.19646921753883362	-0.47049373	No	
row_8	SLC24A5	14081	-0.19657060503959656	-0.46463004	No	
row_9	USP13	14765	-0.25126051902770996	-0.48264626	No	
row_10	GNA11	16270	-0.35902151465415955	-0.5282626	No	
row_11	EDN3	17021	-0.423159122467041	-0.5435409	No	
row_12	MREG	18277	-0.557245671749115	-0.5737217	No	
row_13	HPS4	20819	-0.9533042907714844	-0.64018154	Yes	
row_14	ADAMTS9	21391	-1.0723822116851807	-0.6288599	Yes	
row_15	OCA2	21949	-1.2013524770736694	-0.61306536	Yes	
row_16	ZEB2	21990	-1.2114012241363525	-0.5775069	Yes	
row_17	CITED1	22802	-1.4315519332885742	-0.56422824	Yes	
row_18	EDNRB	23757	-1.7639156579971313	-0.5461622	Yes	
row_19	BLOC1S6	24201	-1.9774951934814453	-0.5023307	Yes	
row_20	SOX10	24654	-2.231754779815674	-0.45105872	Yes	
row_21	KIT	25007	-2.4667201042175293	-0.38883436	Yes	
row_22	ADAMTS20	25175	-2.6004245281219482	-0.315557	Yes	
row_23	KITLG	26191	-4.144876480102539	-0.22693913	Yes	
row_24	MITF	26574	-7.914249897003174	8.279578E-4	Yes	
