NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F4	1595	2.102034091949463	-0.028730158	No	
row_1	AHI1	3984	0.9835841059684753	-0.10404158	No	
row_2	CFAP157	4769	0.7729077339172363	-0.1220495	No	
row_3	ENKD1	4807	0.7633084654808044	-0.11204923	No	
row_4	DNHD1	4838	0.7562883496284485	-0.10188995	No	
row_5	IFT57	5712	0.582059919834137	-0.12610091	No	
row_6	DNAH1	5918	0.5471896529197693	-0.12565812	No	
row_7	CENPJ	6782	0.40695855021476746	-0.15210612	No	
row_8	CFAP47	7008	0.374845951795578	-0.1549898	No	
row_9	ZMYND10	7138	0.35733136534690857	-0.15451707	No	
row_10	CFAP44	7693	0.28823500871658325	-0.17109239	No	
row_11	TPGS1	7799	0.27570027112960815	-0.17093377	No	
row_12	RSPH9	8688	0.18196168541908264	-0.20168269	No	
row_13	BBS5	9034	0.14837099611759186	-0.2124695	No	
row_14	MNS1	9185	0.1300733983516693	-0.21618068	No	
row_15	TBC1D21	9695	0.08845507353544235	-0.23404244	No	
row_16	AKAP4	10416	0.0388074591755867	-0.26059708	No	
row_17	IQCG	10521	0.0312342531979084	-0.2640502	No	
row_18	DYNLL1	10614	0.022019531577825546	-0.26718858	No	
row_19	CC2D2A	10906	0.0019772702362388372	-0.2781257	No	
row_20	CFAP97D1	11122	-0.015584209002554417	-0.28599557	No	
row_21	BBS2	12063	-0.088065505027771	-0.32010585	No	
row_22	GK2	12426	-0.10030876845121384	-0.3322508	No	
row_23	CFAP65	12648	-0.10374423116445541	-0.33903074	No	
row_24	KLC3	12751	-0.11373527348041534	-0.34117687	No	
row_25	RSPH6A	12888	-0.12295328825712204	-0.34446675	No	
row_26	TTLL1	13382	-0.1616872251033783	-0.3606323	No	
row_27	SPAG17	14030	-0.19216622412204742	-0.38214654	No	
row_28	MEIG1	14615	-0.23921357095241547	-0.40058422	No	
row_29	ATMIN	15323	-0.28487691283226013	-0.42297566	No	
row_30	CFAP43	15365	-0.28911900520324707	-0.42020482	No	
row_31	DNAAF3	15383	-0.29125258326530457	-0.41649765	No	
row_32	JHY	17536	-0.478802353143692	-0.49045053	No	
row_33	CFAP206	18174	-0.5479174852371216	-0.50627726	No	
row_34	CFAP69	18394	-0.5722450017929077	-0.50598806	No	
row_35	CCDC40	18406	-0.5741545557975769	-0.4978316	No	
row_36	ARMC12	18712	-0.6141355037689209	-0.5001581	No	
row_37	BBOF1	19200	-0.6840164661407471	-0.5083002	No	
row_38	FOXJ1	20091	-0.822204053401947	-0.52956694	No	
row_39	PFN4	20769	-0.9430403113365173	-0.54100275	No	
row_40	CFAP54	21315	-1.0557811260223389	-0.54578096	Yes	
row_41	CCDC39	21355	-1.0637885332107544	-0.5313705	Yes	
row_42	FSIP2	21359	-1.0648958683013916	-0.5155868	Yes	
row_43	NOTO	21617	-1.1277514696121216	-0.5084371	Yes	
row_44	IFT81	21628	-1.1298028230667114	-0.49194828	Yes	
row_45	CEP131	22648	-1.3885560035705566	-0.50962204	Yes	
row_46	SPAG6	22889	-1.4566352367401123	-0.49692205	Yes	
row_47	CFAP221	23395	-1.6298142671585083	-0.4916237	Yes	
row_48	SPAG16	23441	-1.6446799039840698	-0.4687678	Yes	
row_49	DNAAF1	23485	-1.6566808223724365	-0.4456574	Yes	
row_50	MKS1	23690	-1.7387244701385498	-0.4273897	Yes	
row_51	NEURL1	23887	-1.8235622644424438	-0.40755406	Yes	
row_52	ARMC2	23978	-1.8645528554916382	-0.3831118	Yes	
row_53	UBE2B	24343	-2.0530893802642822	-0.36618105	Yes	
row_54	MCIDAS	24568	-2.1851706504821777	-0.34200254	Yes	
row_55	SPEF2	24619	-2.2138912677764893	-0.3108379	Yes	
row_56	INTU	25505	-2.88911771774292	-0.30106136	Yes	
row_57	DZIP1	26001	-3.626568555831909	-0.26557863	Yes	
row_58	DRC7	26018	-3.6826629638671875	-0.21120687	Yes	
row_59	SPATA6	26209	-4.216848850250244	-0.15541817	Yes	
row_60	CFAP58	26328	-4.645781517028809	-0.090512976	Yes	
row_61	TTC12	26543	-6.7373528480529785	0.001997302	Yes	
