NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX8	4024	0.9688234925270081	-0.11596371	No	
row_1	CTNNB1	5953	0.5415513515472412	-0.16869488	No	
row_2	NOG	7088	0.3644578754901886	-0.19802983	No	
row_3	SIX1	10031	0.06409522891044617	-0.30637828	No	
row_4	HNF1B	10698	0.01591169275343418	-0.33085454	No	
row_5	WNT6	16631	-0.38865792751312256	-0.5398295	No	
row_6	HS2ST1	17047	-0.426178902387619	-0.5398542	No	
row_7	PAX8	18937	-0.6454973220825195	-0.5873157	No	
row_8	OSR1	19802	-0.7742308974266052	-0.59150225	No	
row_9	GREM1	22842	-1.4418940544128418	-0.65310025	Yes	
row_10	HES5	23965	-1.8582284450531006	-0.6273414	Yes	
row_11	WNT9B	24068	-1.9058735370635986	-0.561462	Yes	
row_12	GATA3	24240	-1.9974875450134277	-0.4948275	Yes	
row_13	IRX3	24512	-2.1487622261047363	-0.42642188	Yes	
row_14	PAX2	24798	-2.320173740386963	-0.35227272	Yes	
row_15	IRX2	25311	-2.710561752319336	-0.27238402	Yes	
row_16	SIX4	25348	-2.7416927814483643	-0.173447	Yes	
row_17	IRX1	25532	-2.9143059253692627	-0.07372666	Yes	
row_18	GDNF	25693	-3.1088478565216064	0.033975437	Yes	
