NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFBR2	1420	2.265768051147461	0.0065537062	No	
row_1	ENG	6004	0.5320811867713928	-0.1518205	No	
row_2	BMPR1A	7507	0.3101222813129425	-0.20013098	No	
row_3	ACVR1	11919	-0.07464688271284103	-0.3641439	No	
row_4	BMPR2	13971	-0.1859992891550064	-0.43640003	No	
row_5	ROBO1	15418	-0.2948269844055176	-0.48300815	No	
row_6	ISL1	18214	-0.5513954162597656	-0.5735872	No	
row_7	PARVA	18237	-0.5532566905021667	-0.55976677	No	
row_8	TGFB2	20420	-0.8798903226852417	-0.61858076	No	
row_9	ZFPM2	21511	-1.1000676155090332	-0.6304725	No	
row_10	MSX2	22525	-1.3477126359939575	-0.6329099	Yes	
row_11	TBX20	22899	-1.4590281248092651	-0.6083163	Yes	
row_12	FGFR2	23132	-1.5308862924575806	-0.5765143	Yes	
row_13	SMAD4	23228	-1.56906259059906	-0.5385461	Yes	
row_14	GATA6	23355	-1.6156878471374512	-0.50051	Yes	
row_15	FGF8	23526	-1.6694495677947998	-0.46270615	Yes	
row_16	SEMA3C	23704	-1.746209979057312	-0.42313343	Yes	
row_17	LRP2	24102	-1.9235429763793945	-0.38714436	Yes	
row_18	ROBO2	24642	-2.2282400131225586	-0.34843156	Yes	
row_19	NKX2-5	25462	-2.8413476943969727	-0.30402246	Yes	
row_20	NRP2	25486	-2.8682823181152344	-0.22894616	Yes	
row_21	TBX2	25974	-3.5735292434692383	-0.15265813	Yes	
row_22	NRP1	26534	-6.648448467254639	0.0023332778	Yes	
