NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAPBPL	64	6.965653896331787	0.17096527	Yes	
row_1	HLA-DOB	281	4.558857440948486	0.27630726	Yes	
row_2	CALR	288	4.521377086639404	0.38861734	Yes	
row_3	HLA-DPB1	313	4.364662170410156	0.49634957	Yes	
row_4	TAPBP	553	3.4650940895080566	0.57360274	Yes	
row_5	HLA-DMB	847	2.8909692764282227	0.6345344	Yes	
row_6	HLA-DQB1	1147	2.523282527923584	0.68608874	Yes	
row_7	HLA-DRB5	2029	1.8030712604522705	0.69782025	Yes	
row_8	HLA-DQB2	2237	1.6872773170471191	0.732028	Yes	
row_9	HLA-DOA	2888	1.3636013269424438	0.74151224	Yes	
row_10	PDIA3	3078	1.2916865348815918	0.7665511	Yes	
row_11	HLA-DMA	3212	1.2405375242233276	0.7924238	Yes	
row_12	HLA-DRB1	3232	1.2351118326187134	0.8224505	Yes	
row_13	HLA-DQA1	5554	0.6127957701683044	0.75037825	No	
row_14	HLA-DRA	6847	0.39792144298553467	0.7116726	No	
row_15	HLA-DPA1	7348	0.32839250564575195	0.7010343	No	
row_16	HLA-DQA2	7958	0.2564381957054138	0.6845042	No	
row_17	B2M	19116	-0.6704975962638855	0.28142518	No	
