NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AA1	11	11.889311790466309	0.20586072	Yes	
row_1	TICAM1	134	5.74241304397583	0.30089596	Yes	
row_2	DHX9	289	4.517945289611816	0.37348235	Yes	
row_3	MAVS	380	4.009045124053955	0.43964913	Yes	
row_4	TLR9	646	3.2572906017303467	0.48618445	Yes	
row_5	ZBTB20	744	3.0527687072753906	0.53549665	Yes	
row_6	IRF7	842	2.8951823711395264	0.5820748	Yes	
row_7	TRIM56	1028	2.6701889038085938	0.6214362	Yes	
row_8	POLR3B	1437	2.251422643661499	0.64513606	Yes	
row_9	HMGB2	2315	1.6468443870544434	0.6406886	Yes	
row_10	IRF3	2338	1.6336392164230347	0.66820323	Yes	
row_11	TLR4	2354	1.6242154836654663	0.695818	Yes	
row_12	IFIH1	3450	1.1560498476028442	0.67464757	No	
row_13	STING1	4996	0.7223448753356934	0.6290098	No	
row_14	IRF1	5432	0.6360898017883301	0.6236677	No	
row_15	RIPK2	5887	0.5530022382736206	0.6161687	No	
row_16	FLOT1	6037	0.5275935530662537	0.6197123	No	
row_17	PTPN11	6926	0.38499101996421814	0.59295803	No	
row_18	OAS3	6983	0.3774723410606384	0.5973986	No	
row_19	IRF5	7320	0.3309948146343231	0.5904906	No	
row_20	ISG15	7796	0.27602726221084595	0.57739556	No	
row_21	POLR3D	8079	0.24311573803424835	0.57099605	No	
row_22	POLR3A	8789	0.17160631716251373	0.54727906	No	
row_23	TOMM70	9534	0.10337910801172256	0.5210606	No	
row_24	TLR3	9752	0.08269377797842026	0.5143251	No	
row_25	RNF135	10244	0.046946365386247635	0.49665317	No	
row_26	OAS2	10628	0.02086721919476986	0.48259503	No	
row_27	OAS1	11510	-0.04189091548323631	0.45015162	No	
row_28	POLR3F	13389	-0.1621590554714203	0.3822572	No	
row_29	TLR8	16534	-0.3806678354740143	0.27048814	No	
row_30	TLR2	16624	-0.38783547282218933	0.27386603	No	
row_31	DDX3X	17133	-0.43775105476379395	0.26233432	No	
row_32	POLR3G	19376	-0.7072719931602478	0.19019257	No	
row_33	RIOK3	21101	-1.0060631036758423	0.14273773	No	
row_34	TBK1	21400	-1.076056718826294	0.150187	No	
row_35	POLR3C	21975	-1.2092236280441284	0.14955512	No	
row_36	TLR7	22702	-1.4058356285095215	0.14661147	No	
