NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADORA2A	829	2.910672903060913	0.046580296	No	
row_1	RELN	6293	0.48074835538864136	-0.14615804	No	
row_2	CRTC1	7117	0.35967016220092773	-0.16751842	No	
row_3	SQSTM1	7590	0.30072900652885437	-0.1772449	No	
row_4	STAU1	13911	-0.1801566630601883	-0.41026625	No	
row_5	IGSF11	16956	-0.4167857766151428	-0.51368153	No	
row_6	INS	21301	-1.0526511669158936	-0.64902735	Yes	
row_7	EPHB2	21735	-1.1533557176589966	-0.63450277	Yes	
row_8	SHISA7	21823	-1.1708451509475708	-0.6064901	Yes	
row_9	MME	21923	-1.1951067447662354	-0.5782807	Yes	
row_10	NPTN	22072	-1.2341185808181763	-0.55087286	Yes	
row_11	CHRNA7	22483	-1.3321311473846436	-0.5307056	Yes	
row_12	AKAP5	22532	-1.3493760824203491	-0.49645463	Yes	
row_13	ZDHHC2	22830	-1.4378899335861206	-0.4692089	Yes	
row_14	ADCY8	22921	-1.465566873550415	-0.43343374	Yes	
row_15	SLC18A3	22923	-1.4661084413528442	-0.39429483	Yes	
row_16	EIF2AK4	23085	-1.5128135681152344	-0.35992905	Yes	
row_17	NRGN	23341	-1.6091735363006592	-0.32652584	Yes	
row_18	PRKAR1B	23813	-1.7885111570358276	-0.296459	Yes	
row_19	DRD2	24364	-2.061610460281372	-0.2620675	Yes	
row_20	LGMN	24901	-2.3869194984436035	-0.2184564	Yes	
row_21	APP	25345	-2.738095760345459	-0.1619616	Yes	
row_22	ADCY1	25834	-3.2823777198791504	-0.09261624	Yes	
row_23	SHANK3	26301	-4.537720203399658	0.011101592	Yes	
