NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCT3	26	8.759869575500488	0.20859715	Yes	
row_1	CCT6A	70	6.753059387207031	0.3685429	Yes	
row_2	CCT5	177	5.282976150512695	0.4909477	Yes	
row_3	RUVBL1	188	5.176318645477295	0.6144122	Yes	
row_4	CCT7	218	4.897830486297607	0.73049927	Yes	
row_5	TCP1	528	3.5155766010284424	0.80298316	Yes	
row_6	CCT4	837	2.903169870376587	0.8608532	Yes	
row_7	DKC1	3375	1.1879802942276	0.79383445	No	
row_8	RUVBL2	4673	0.7940099239349365	0.7640383	No	
row_9	NHP2	4731	0.7820857763290405	0.780605	No	
row_10	SHQ1	5438	0.6351962685585022	0.7692424	No	
row_11	CCT8	7156	0.3551923334598541	0.71314764	No	
row_12	NOP10	9038	0.14761856198310852	0.6459172	No	
row_13	CCT2	14941	-0.25306570529937744	0.42994168	No	
row_14	NAF1	16208	-0.35425013303756714	0.3907907	No	
