NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AA1	11	11.889311790466309	0.1274598	Yes	
row_1	HSPD1	34	8.059305191040039	0.21331182	Yes	
row_2	TICAM1	134	5.74241304397583	0.27134314	Yes	
row_3	IRAK1	228	4.877813339233398	0.32030144	Yes	
row_4	DHX9	289	4.517945289611816	0.36663276	Yes	
row_5	MAVS	380	4.009045124053955	0.40636015	Yes	
row_6	ZCCHC3	406	3.912207841873169	0.44749546	Yes	
row_7	TLR9	646	3.2572906017303467	0.47352263	Yes	
row_8	ZBTB20	744	3.0527687072753906	0.5027011	Yes	
row_9	IRF7	842	2.8951823711395264	0.5301847	Yes	
row_10	TRIM56	1028	2.6701889038085938	0.5519322	Yes	
row_11	POLR3B	1437	2.251422643661499	0.5607724	Yes	
row_12	CGAS	2150	1.7289210557937622	0.5525372	Yes	
row_13	HMGB2	2315	1.6468443870544434	0.5640696	Yes	
row_14	IRF3	2338	1.6336392164230347	0.580811	Yes	
row_15	TLR4	2354	1.6242154836654663	0.5977149	Yes	
row_16	SYK	3036	1.3065519332885742	0.5861051	Yes	
row_17	NMB	3048	1.3022205829620361	0.59969646	Yes	
row_18	CD14	3105	1.2791457176208496	0.6113439	Yes	
row_19	IFIH1	3450	1.1560498476028442	0.6108147	Yes	
row_20	MYD88	3510	1.1329193115234375	0.62077636	Yes	
row_21	PLCG2	3900	1.0109202861785889	0.61699045	No	
row_22	STING1	4996	0.7223448753356934	0.5834964	No	
row_23	IRF1	5432	0.6360898017883301	0.5739456	No	
row_24	PQBP1	5473	0.630158543586731	0.5792159	No	
row_25	RIPK2	5887	0.5530022382736206	0.56960046	No	
row_26	FLOT1	6037	0.5275935530662537	0.5696601	No	
row_27	PTPN11	6926	0.38499101996421814	0.54033816	No	
row_28	OAS3	6983	0.3774723410606384	0.54228777	No	
row_29	IRF5	7320	0.3309948146343231	0.5331862	No	
row_30	GAPDH	7347	0.32842540740966797	0.53573877	No	
row_31	ISG15	7796	0.27602726221084595	0.5218255	No	
row_32	STAT1	7805	0.2753119170665741	0.5244851	No	
row_33	POLR3D	8079	0.24311573803424835	0.5168124	No	
row_34	POLR3A	8789	0.17160631716251373	0.49194065	No	
row_35	TOMM70	9534	0.10337910801172256	0.46501622	No	
row_36	TLR3	9752	0.08269377797842026	0.45772836	No	
row_37	NMBR	9804	0.07989748567342758	0.45666584	No	
row_38	RNF135	10244	0.046946365386247635	0.4406278	No	
row_39	OAS2	10628	0.02086721919476986	0.4264196	No	
row_40	OAS1	11510	-0.04189091548323631	0.3936712	No	
row_41	PTPN22	11885	-0.07134702801704407	0.38034505	No	
row_42	CHUK	12085	-0.09054991602897644	0.37381998	No	
row_43	G3BP1	13237	-0.14868617057800293	0.33204576	No	
row_44	POLR3F	13389	-0.1621590554714203	0.32809967	No	
row_45	MMP12	16454	-0.3726152777671814	0.21664587	No	
row_46	TLR8	16534	-0.3806678354740143	0.21776313	No	
row_47	TLR2	16624	-0.38783547282218933	0.21858063	No	
row_48	DDX3X	17133	-0.43775105476379395	0.20414574	No	
row_49	POLR3G	19376	-0.7072719931602478	0.12726693	No	
row_50	TRIM15	19539	-0.7330230474472046	0.1290462	No	
row_51	SETD2	19885	-0.7862764596939087	0.1245022	No	
row_52	RIOK3	21101	-1.0060631036758423	0.08953768	No	
row_53	RAB2B	21243	-1.0385165214538574	0.095394	No	
row_54	TBK1	21400	-1.076056718826294	0.10108884	No	
row_55	POLR3C	21975	-1.2092236280441284	0.09246435	No	
row_56	DHX58	22127	-1.2485542297363281	0.10020288	No	
row_57	TLR7	22702	-1.4058356285095215	0.09369303	No	
row_58	DHX33	24456	-2.1125330924987793	0.05035546	No	
row_59	DHX36	25433	-2.812452554702759	0.04382568	No	
