NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	4296	0.8942879438400269	-0.13385588	No	
row_1	CNTF	4386	0.8706738948822021	-0.11012175	No	
row_2	PRKDC	7778	0.27815985679626465	-0.22908473	No	
row_3	IL1A	8822	0.16870947182178497	-0.26308864	No	
row_4	BCL2	9123	0.13771548867225647	-0.27009487	No	
row_5	BCL2L1	9309	0.12043522298336029	-0.2733108	No	
row_6	BAX	10197	0.049528416246175766	-0.30515113	No	
row_7	DDB1	10879	0.0037961790803819895	-0.33066154	No	
row_8	SOD1	11903	-0.07302534580230713	-0.36688915	No	
row_9	YBX3	14242	-0.2114182710647583	-0.44830006	No	
row_10	NTRK1	15368	-0.28923162817955017	-0.4816409	No	
row_11	SYCP2	15581	-0.3062104284763336	-0.48009413	No	
row_12	TMEM215	16919	-0.4142645001411438	-0.517524	No	
row_13	CASP2	17206	-0.4454806447029114	-0.5144299	No	
row_14	FASLG	17522	-0.47672176361083984	-0.5114554	No	
row_15	TEX11	20623	-0.9149666428565979	-0.59965825	No	
row_16	UNC5C	22752	-1.4212969541549683	-0.6355311	Yes	
row_17	UBE2B	24343	-2.0530893802642822	-0.63150436	Yes	
row_18	SYCE3	24421	-2.0892555713653564	-0.56941295	Yes	
row_19	FGF2	24604	-2.204388380050659	-0.5076917	Yes	
row_20	KIT	25007	-2.4667201042175293	-0.44608966	Yes	
row_21	TOPAZ1	25879	-3.3671934604644775	-0.3741273	Yes	
row_22	MAEL	26180	-4.11484432220459	-0.25741947	Yes	
row_23	KITLG	26191	-4.144876480102539	-0.12886366	Yes	
row_24	DNASE1L3	26325	-4.631450653076172	0.0101987645	Yes	
