NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.048348702	Yes	
row_1	HSPA1B	1	18.653751373291016	0.09315243	Yes	
row_2	HSPH1	3	16.15424346923828	0.1319148	Yes	
row_3	FKBP4	4	15.160653114318848	0.16832858	Yes	
row_4	HSP90AB1	5	14.628531455993652	0.20346428	Yes	
row_5	HSPA4	7	13.905517578125	0.23682551	Yes	
row_6	AHSA1	10	12.046038627624512	0.26568264	Yes	
row_7	HSP90AA1	11	11.889311790466309	0.2942391	Yes	
row_8	CCT3	26	8.759869575500488	0.31474847	Yes	
row_9	DFFA	30	8.44981575012207	0.33493003	Yes	
row_10	HSPD1	34	8.059305191040039	0.35417366	Yes	
row_11	HSPA8	43	7.646491050720215	0.37223625	Yes	
row_12	CCT6A	70	6.753059387207031	0.3874707	Yes	
row_13	DNAJC5	71	6.724453926086426	0.40362188	Yes	
row_14	HSPB1	102	6.114035129547119	0.41716987	Yes	
row_15	DNLZ	129	5.797499179840088	0.43010917	Yes	
row_16	KHSRP	138	5.717687606811523	0.44353902	Yes	
row_17	HSPE1	160	5.432236194610596	0.45579055	Yes	
row_18	HYOU1	161	5.404916763305664	0.4687724	Yes	
row_19	DNAJA1	164	5.390361785888672	0.4816435	Yes	
row_20	CCT5	177	5.282976150512695	0.49387765	Yes	
row_21	CCT7	218	4.897830486297607	0.5041254	Yes	
row_22	PPID	254	4.6893439292907715	0.514062	Yes	
row_23	GAK	261	4.642898082733154	0.52498615	Yes	
row_24	CALR	288	4.521377086639404	0.5348604	Yes	
row_25	CHORDC1	378	4.034318447113037	0.54117686	Yes	
row_26	ENGASE	402	3.9225404262542725	0.5497265	Yes	
row_27	HSPA5	517	3.545794725418091	0.55392206	Yes	
row_28	TCP1	528	3.5155766010284424	0.5619869	Yes	
row_29	CD74	548	3.475870132446289	0.56961536	Yes	
row_30	FKBP5	630	3.2908716201782227	0.5744494	Yes	
row_31	DNAJB6	836	2.904623031616211	0.5736557	Yes	
row_32	CCT4	837	2.903169870376587	0.58062875	Yes	
row_33	BAG3	973	2.723470687866211	0.58205324	Yes	
row_34	PPIH	1141	2.5290074348449707	0.5817977	Yes	
row_35	DNAJB1	1197	2.471668243408203	0.58564967	Yes	
row_36	PPIL6	1212	2.453739881515503	0.59101254	Yes	
row_37	HSP90B1	1526	2.1640875339508057	0.5843467	Yes	
row_38	HSPA7	1602	2.0985188484191895	0.58654433	Yes	
row_39	HSPA6	1787	1.9670826196670532	0.5842948	Yes	
row_40	HSPA9	1790	1.961193561553955	0.5889295	Yes	
row_41	GRN	1846	1.9251514673233032	0.59146875	Yes	
row_42	SDF2	1883	1.8955318927764893	0.59465706	Yes	
row_43	WDR83OS	1936	1.8563613891601562	0.5971448	Yes	
row_44	HSPBP1	2047	1.7886545658111572	0.59727156	Yes	
row_45	SNRNP70	2067	1.7770884037017822	0.6008197	Yes	
row_46	LMAN2L	2168	1.7179534435272217	0.6011557	Yes	
row_47	TRAP1	2235	1.6888059377670288	0.60271037	Yes	
row_48	CDC37	2321	1.6423165798187256	0.6034332	Yes	
row_49	FKBP11	2588	1.4994964599609375	0.59695256	No	
row_50	UNC45A	2667	1.464458703994751	0.5975135	No	
row_51	DNAJC7	2931	1.3463761806488037	0.59077877	No	
row_52	RANBP2	3012	1.317009449005127	0.5909098	No	
row_53	ALG12	3070	1.2941362857818604	0.5918577	No	
row_54	PDIA3	3078	1.2916865348815918	0.5946948	No	
row_55	P4HB	3094	1.2855263948440552	0.59721386	No	
row_56	NFYC	3145	1.2636215686798096	0.59835374	No	
row_57	ERP27	3240	1.2339085340499878	0.59775454	No	
row_58	AIP	3611	1.100920557975769	0.58637464	No	
row_59	DNAJB11	3687	1.0770678520202637	0.5861189	No	
row_60	BAG5	3868	1.0202348232269287	0.58174676	No	
row_61	RIC3	4039	0.9621985554695129	0.57761425	No	
row_62	MPDU1	4061	0.9567415714263916	0.5791163	No	
row_63	PPIAL4A	4095	0.9466686248779297	0.5801392	No	
row_64	DNAJC19	4235	0.9074439406394958	0.5770502	No	
row_65	SDF2L1	4288	0.8967242240905762	0.5772331	No	
row_66	FKBP1A	4361	0.8774681687355042	0.5766116	No	
row_67	MESD	4432	0.8567973375320435	0.5760163	No	
row_68	PPIE	4436	0.8551412224769592	0.5779565	No	
row_69	POFUT2	4556	0.8247414231300354	0.57542694	No	
row_70	LTBP4	4571	0.8188875317573547	0.57686317	No	
row_71	RUVBL2	4673	0.7940099239349365	0.57494205	No	
row_72	HYPK	4703	0.7883716821670532	0.5757364	No	
row_73	DNAJC10	4938	0.7338858246803284	0.56862974	No	
row_74	MOGS	4955	0.730413019657135	0.56977767	No	
row_75	PPIAL4G	5060	0.7080685496330261	0.5675364	No	
row_76	FUT10	5297	0.6617171168327332	0.5601806	No	
row_77	PFDN6	5627	0.597223699092865	0.54914486	No	
row_78	PDRG1	5732	0.5787689685821533	0.54659307	No	
row_79	DNAJC25	5756	0.5744034051895142	0.54710096	No	
row_80	BAG2	5841	0.5602776408195496	0.54526275	No	
row_81	DNAJA3	6041	0.5270750522613525	0.538986	No	
row_82	ERP29	6109	0.5130150318145752	0.53767866	No	
row_83	PDIA4	6220	0.49305421113967896	0.5346936	No	
row_84	PPIA	6249	0.4879724681377411	0.53480434	No	
row_85	QSOX1	6467	0.4504050612449646	0.52766114	No	
row_86	RP2	6485	0.4490944743156433	0.5280955	No	
row_87	NUDCD3	6504	0.4471718668937683	0.52848727	No	
row_88	TOR1A	6512	0.4457258880138397	0.5292925	No	
row_89	TBCC	6735	0.41333600878715515	0.5218708	No	
row_90	CRTAP	6762	0.4095343351364136	0.52186894	No	
row_91	PPIL2	6799	0.40487390756607056	0.52147686	No	
row_92	TXNDC5	6862	0.396550714969635	0.5200793	No	
row_93	CANX	7076	0.365471214056015	0.5128838	No	
row_94	LYRM7	7090	0.36430037021636963	0.513266	No	
row_95	ZMYND10	7138	0.35733136534690857	0.5123428	No	
row_96	CCT8	7156	0.3551923334598541	0.5125516	No	
row_97	TBCD	7254	0.33929845690727234	0.5096899	No	
row_98	PPIB	7264	0.33851322531700134	0.5101619	No	
row_99	TOR1B	7340	0.3289935886859894	0.50810933	No	
row_100	HSPA4L	7791	0.27630889415740967	0.49171653	No	
row_101	PPIL1	7861	0.26870548725128174	0.4897466	No	
row_102	PDCL3	7927	0.2595897614955902	0.4879064	No	
row_103	DNAJB2	8104	0.24054276943206787	0.4818132	No	
row_104	DNAJC21	8234	0.22602668404579163	0.47746655	No	
row_105	PDIA6	8272	0.22259555757045746	0.4765988	No	
row_106	DNAJB12	8393	0.20940634608268738	0.47255337	No	
row_107	TBCE	8422	0.20640335977077484	0.47198784	No	
row_108	DNAJC1	8441	0.20478861033916473	0.47179744	No	
row_109	NPPB	8489	0.20227673649787903	0.47050184	No	
row_110	DNAJB5	8516	0.19976770877838135	0.46999618	No	
row_111	DNAJB7	8750	0.17587973177433014	0.46158716	No	
row_112	NUDC	8942	0.1572345793247223	0.4547253	No	
row_113	AHSA2P	9173	0.13092586398124695	0.44632205	No	
row_114	HSP90AB4P	9270	0.12300586700439453	0.44297877	No	
row_115	PEX5	9304	0.12063554674386978	0.44201773	No	
row_116	PDCL2	9387	0.11497467756271362	0.4391858	No	
row_117	PRDX4	9988	0.06685829162597656	0.4166045	No	
row_118	PPIAL4C	10088	0.0582844540476799	0.41299206	No	
row_119	CRYAB	10511	0.03212038055062294	0.39707404	No	
row_120	ERP44	10515	0.03191676735877991	0.397037	No	
row_121	DNAJC4	10576	0.025298558175563812	0.39482358	No	
row_122	FKBP1B	10591	0.023938290774822235	0.39435044	No	
row_123	UGGT1	10613	0.022038033232092857	0.3936074	No	
row_124	ST13	10728	0.013429688289761543	0.38931867	No	
row_125	DNAJB13	10870	0.004429682623594999	0.38398498	No	
row_126	ARL2	10922	4.0639922372065485E-4	0.3820529	No	
row_127	HSPA14	10996	-0.005222576670348644	0.3792985	No	
row_128	TTC1	11353	-0.028124822303652763	0.3658725	No	
row_129	PFDN1	11594	-0.04985225573182106	0.35689548	No	
row_130	FKBP6	11826	-0.06714311987161636	0.3483011	No	
row_131	LMAN1	12002	-0.08210747689008713	0.34186527	No	
row_132	PTGES3	12080	-0.08989638835191727	0.33916265	No	
row_133	APCS	12450	-0.10030876845121384	0.32541728	No	
row_134	SELENOF	12993	-0.13286538422107697	0.3051929	No	
row_135	PFDN5	13174	-0.1437380462884903	0.29871553	No	
row_136	GRPEL1	13225	-0.14741717278957367	0.29717445	No	
row_137	CDC37L1	13395	-0.16279001533985138	0.2911598	No	
row_138	SIL1	13928	-0.18166956305503845	0.27143165	No	
row_139	DNAJB4	13937	-0.18250320851802826	0.27156678	No	
row_140	BAG1	14274	-0.21452903747558594	0.25934657	No	
row_141	NPPA	14441	-0.2278592735528946	0.25360194	No	
row_142	CCT2	14941	-0.25306570529937744	0.23529607	No	
row_143	TOR2A	15091	-0.2669358253479004	0.23028964	No	
row_144	WIPF1	15459	-0.2978587746620178	0.21709459	No	
row_145	QSOX2	15463	-0.29812949895858765	0.21769693	No	
row_146	PPIG	15802	-0.31713321805000305	0.20564736	No	
row_147	CCDC47	15996	-0.3349974751472473	0.19913667	No	
row_148	FKBP9	16269	-0.35900482535362244	0.18968928	No	
row_149	ERO1A	16488	-0.3759680986404419	0.1823294	No	
row_150	FKBP8	16660	-0.39121827483177185	0.17678761	No	
row_151	CSNK2A1	16872	-0.4096432030200958	0.16977395	No	
row_152	PDIA2	17201	-0.4449390172958374	0.15841037	No	
row_153	PDILT	17346	-0.4567498564720154	0.15404937	No	
row_154	ENTPD5	17493	-0.4742741882801056	0.14965464	No	
row_155	DNAJB8	17557	-0.4801534414291382	0.14842	No	
row_156	P3H1	17576	-0.48082101345062256	0.14889261	No	
row_157	NGLY1	18179	-0.5481923818588257	0.12739158	No	
row_158	PPIAL4H	18185	-0.5488699674606323	0.12852037	No	
row_159	ERO1B	18200	-0.5500436425209045	0.12931085	No	
row_160	PFDN2	18625	-0.6025585532188416	0.11468715	No	
row_161	VAPA	18872	-0.6361295580863953	0.106890865	No	
row_162	DNAJA2	18887	-0.6385817527770996	0.107894	No	
row_163	UNC45B	19006	-0.6546080708503723	0.10499371	No	
row_164	NPPC	19092	-0.666669487953186	0.10337318	No	
row_165	WFS1	19095	-0.6675316095352173	0.104900695	No	
row_166	CALR3	19106	-0.6691233515739441	0.106128804	No	
row_167	B2M	19116	-0.6704975962638855	0.107398115	No	
row_168	PPIAL4D	19225	-0.6879366040229797	0.1049569	No	
