NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.22143261	Yes	
row_1	HSPA1B	1	18.653751373291016	0.42662954	Yes	
row_2	HSP90AA1	11	11.889311790466309	0.55707693	Yes	
row_3	HSPD1	34	8.059305191040039	0.6449039	Yes	
row_4	HSPA8	43	7.646491050720215	0.7287166	Yes	
row_5	DNAJA1	164	5.390361785888672	0.78349674	Yes	
row_6	HSPA5	517	3.545794725418091	0.809256	Yes	
row_7	HSPA7	1602	2.0985188484191895	0.79155016	Yes	
row_8	HSPA6	1787	1.9670826196670532	0.8062649	Yes	
row_9	HSPA9	1790	1.961193561553955	0.8277633	Yes	
row_10	SNRNP70	2067	1.7770884037017822	0.83692616	Yes	
row_11	BAG5	3868	1.0202348232269287	0.7804162	No	
row_12	FKBP1A	4361	0.8774681687355042	0.771555	No	
row_13	DNAJB2	8104	0.24054276943206787	0.633392	No	
row_14	FKBP1B	10591	0.023938290774822235	0.54010874	No	
row_15	HSPA14	10996	-0.005222576670348644	0.524964	No	
row_16	DNAJA2	18887	-0.6385817527770996	0.23509298	No	
row_17	B2M	19116	-0.6704975962638855	0.23388916	No	
row_18	HSPA2	19607	-0.7437921762466431	0.22363272	No	
row_19	DNAJA4	20027	-0.8092142939567566	0.21676762	No	
row_20	HSPA1L	22477	-1.3311570882797241	0.13925649	No	
row_21	HSPA13	22783	-1.427341103553772	0.14348072	No	
