NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SKI	326	4.323431491851807	0.023489453	No	
row_1	FBXL15	1264	2.4038100242614746	0.008022185	No	
row_2	XIAP	1452	2.2378408908843994	0.01949124	No	
row_3	NOTCH1	1719	2.016806125640869	0.026148248	No	
row_4	NUMA1	2920	1.3523017168045044	-0.007952314	No	
row_5	MIR93	3072	1.2935479879379272	-0.002942456	No	
row_6	ACVRL1	3910	1.0082769393920898	-0.026189059	No	
row_7	ABL1	3926	1.003286600112915	-0.01844874	No	
row_8	FST	4131	0.937502920627594	-0.018387295	No	
row_9	TMEM53	4647	0.8011919856071472	-0.031193806	No	
row_10	MIR140	4774	0.771328330039978	-0.029563889	No	
row_11	MIR17	4841	0.7558634877204895	-0.025797173	No	
row_12	KCNQ1OT1	5511	0.6206660270690918	-0.04591139	No	
row_13	HTRA1	5533	0.6166831254959106	-0.04159837	No	
row_14	ENG	6004	0.5320811867713928	-0.054934308	No	
row_15	BMPER	6102	0.5145090818405151	-0.054336008	No	
row_16	SCUBE3	6116	0.5112876892089844	-0.050593607	No	
row_17	CRB2	6557	0.43779826164245605	-0.06357773	No	
row_18	NOG	7088	0.3644578754901886	-0.08056631	No	
row_19	HIPK2	7754	0.28119736909866333	-0.103340104	No	
row_20	MIR210	8435	0.20508745312690735	-0.12731025	No	
row_21	SOSTDC1	8793	0.1714782416820526	-0.13936628	No	
row_22	TNFAIP6	9321	0.11994553357362747	-0.15826602	No	
row_23	SMAD7	9377	0.11571293324232101	-0.1593841	No	
row_24	NOTCH2	9989	0.06676394492387772	-0.1818949	No	
row_25	CHRDL1	10024	0.06446953117847443	-0.18264455	No	
row_26	SMURF1	10335	0.04072029888629913	-0.19400905	No	
row_27	GDF3	10412	0.0388074591755867	-0.19655655	No	
row_28	UBE2D3	10484	0.03467026352882385	-0.19894956	No	
row_29	PPARG	10717	0.014396085403859615	-0.20758773	No	
row_30	TMPRSS6	10837	0.007354978937655687	-0.21201876	No	
row_31	TOB1	11048	-0.009334924630820751	-0.21986839	No	
row_32	CER1	11152	-0.01817150227725506	-0.22360592	No	
row_33	RBPMS2	11431	-0.035266511142253876	-0.23380767	No	
row_34	SORL1	11481	-0.03959483653306961	-0.23532946	No	
row_35	DAND5	11532	-0.04503500834107399	-0.23684396	No	
row_36	MIR98	11608	-0.05106320604681969	-0.23925224	No	
row_37	SKIL	12819	-0.11876823008060455	-0.2839431	No	
row_38	FSTL5	13278	-0.15272420644760132	-0.29996687	No	
row_39	MIR106A	13558	-0.17353732883930206	-0.3090616	No	
row_40	MIR100	13606	-0.17353732883930206	-0.30939892	No	
row_41	FOXD1	13867	-0.1762094497680664	-0.31775433	No	
row_42	BMPR2	13971	-0.1859992891550064	-0.32010233	No	
row_43	DKK1	14141	-0.20249326527118683	-0.3248051	No	
row_44	GDF2	14344	-0.21960802376270294	-0.33061185	No	
row_45	HJV	14419	-0.22591854631900787	-0.3315347	No	
row_46	MIR20A	14527	-0.23317642509937286	-0.3336431	No	
row_47	FSTL3	14536	-0.2339748740196228	-0.33200794	No	
row_48	ILK	14594	-0.2382114678621292	-0.33218732	No	
row_49	UBE2O	14688	-0.24594621360301971	-0.33366153	No	
row_50	HTRA3	15072	-0.26467299461364746	-0.34592742	No	
row_51	LEMD3	15174	-0.27257364988327026	-0.34748316	No	
row_52	GATA4	16066	-0.3418629467487335	-0.3782856	No	
row_53	ITGA3	16468	-0.3744049370288849	-0.39032242	No	
row_54	FKBP8	16660	-0.39121827483177185	-0.3942931	No	
row_55	VWC2L	16889	-0.41118109226226807	-0.39949518	No	
row_56	MIR214	16936	-0.41561099886894226	-0.39779058	No	
row_57	PELO	16994	-0.42064428329467773	-0.39645952	No	
row_58	WNT5A	17045	-0.4259960353374481	-0.39481995	No	
row_59	MIR302C	17535	-0.47861936688423157	-0.4093157	No	
row_60	DLX1	18317	-0.5623109936714172	-0.43414074	No	
row_61	GPC3	19288	-0.6958892345428467	-0.4649941	No	
row_62	FBN1	19807	-0.7752701044082642	-0.47812846	No	
row_63	FZD1	20125	-0.8288644552230835	-0.4832319	No	
row_64	GREM2	20657	-0.9203891754150391	-0.4956555	No	
row_65	UBE2D1	20861	-0.9604636430740356	-0.49536622	No	
row_66	RBPJ	21001	-0.9871737957000732	-0.49243996	No	
row_67	SMURF2	21307	-1.0542486906051636	-0.49522442	No	
row_68	SFRP2	21688	-1.143937349319458	-0.50009733	Yes	
row_69	SPART	21885	-1.184431552886963	-0.49768952	Yes	
row_70	SFRP4	22063	-1.228217601776123	-0.494202	Yes	
row_71	TRIM33	22100	-1.2424914836883545	-0.4852739	Yes	
row_72	CTDSPL2	22107	-1.2442342042922974	-0.47519898	Yes	
row_73	FSTL4	22150	-1.2548401355743408	-0.46639514	Yes	
row_74	SULF1	22188	-1.2641583681106567	-0.45732543	Yes	
row_75	MSX2	22525	-1.3477126359939575	-0.45885035	Yes	
row_76	CRIM1	22838	-1.4406633377075195	-0.4586998	Yes	
row_77	GREM1	22842	-1.4418940544128418	-0.44687515	Yes	
row_78	TFAP2B	22896	-1.4582338333129883	-0.43680257	Yes	
row_79	TBX20	22899	-1.4590281248092651	-0.4247983	Yes	
row_80	SMAD4	23228	-1.56906259059906	-0.42418864	Yes	
row_81	WNT1	23291	-1.5927367210388184	-0.4133422	Yes	
row_82	GATA6	23355	-1.6156878471374512	-0.40234348	Yes	
row_83	BAMBI	23435	-1.6433494091033936	-0.3917197	Yes	
row_84	PPM1A	23452	-1.6480700969696045	-0.37867877	Yes	
row_85	MSX1	23547	-1.6773972511291504	-0.3683393	Yes	
row_86	SOST	23744	-1.7609034776687622	-0.3611587	Yes	
row_87	FSTL1	23810	-1.7878772020339966	-0.34880987	Yes	
row_88	HES5	23965	-1.8582284450531006	-0.33923808	Yes	
row_89	LRP2	24102	-1.9235429763793945	-0.3284461	Yes	
row_90	SKOR1	24465	-2.116502046585083	-0.3245874	Yes	
row_91	MICOS10-NBL1	24615	-2.212158203125	-0.3118966	Yes	
row_92	PCSK6	24789	-2.31093692779541	-0.29929388	Yes	
row_93	SFRP1	24893	-2.3835580348968506	-0.28344762	Yes	
row_94	HES1	25064	-2.510472059249878	-0.26907966	Yes	
row_95	HOXA13	25277	-2.6764702796936035	-0.25492272	Yes	
row_96	ZNF423	25597	-2.9906904697418213	-0.24220324	Yes	
row_97	NBL1	25817	-3.2554943561553955	-0.22351661	Yes	
row_98	CDH5	25865	-3.3424832820892334	-0.19761726	Yes	
row_99	KDR	25934	-3.494001626968384	-0.17125612	Yes	
row_100	CHRDL2	26014	-3.6729817390441895	-0.14382839	Yes	
row_101	TWSG1	26099	-3.8667948246002197	-0.11498474	Yes	
row_102	SMAD2	26354	-4.755191802978516	-0.085202806	Yes	
row_103	RNF165	26419	-5.102121353149414	-0.045376558	Yes	
row_104	SOX11	26517	-6.283119201660156	0.002981886	Yes	
