NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNE1	1341	2.341064929962158	-0.029385727	No	
row_1	EDN1	1948	1.848594069480896	-0.035499718	No	
row_2	ATP2A2	2539	1.523846983909607	-0.043953013	No	
row_3	KCNJ3	2809	1.3928954601287842	-0.041480318	No	
row_4	RNLS	3140	1.2673072814941406	-0.04244758	No	
row_5	TRPV1	3417	1.1692185401916504	-0.04226612	No	
row_6	PRKACA	3659	1.0866284370422363	-0.041512437	No	
row_7	JUP	4755	0.7768233418464661	-0.07579159	No	
row_8	OXT	5045	0.7117088437080383	-0.08024691	No	
row_9	BIN1	5474	0.6295776963233948	-0.09069163	No	
row_10	CACNA1D	5689	0.5863264203071594	-0.093453154	No	
row_11	DSP	5722	0.5801764130592346	-0.08940275	No	
row_12	SCN5A	6273	0.4837426245212555	-0.10577272	No	
row_13	TNF	6335	0.4730589687824249	-0.10378737	No	
row_14	KCNJ2	6986	0.3774411082267761	-0.12489415	No	
row_15	CACNA1C	7190	0.34881749749183655	-0.12939304	No	
row_16	EPAS1	7233	0.3431948721408844	-0.12786765	No	
row_17	SRI	7346	0.32850760221481323	-0.12911677	No	
row_18	GCH1	7731	0.28435835242271423	-0.14102978	No	
row_19	KCNE5	8133	0.23750711977481842	-0.15400884	No	
row_20	RGS4	8888	0.1617797464132309	-0.18099445	No	
row_21	AKAP9	8989	0.15286415815353394	-0.18338256	No	
row_22	KCNH6	9112	0.1394760012626648	-0.18672213	No	
row_23	KCNH2	9114	0.13919982314109802	-0.18549836	No	
row_24	CAV3	9746	0.08403510600328445	-0.2085472	No	
row_25	CALM1	10355	0.039559777826070786	-0.23113123	No	
row_26	KCNJ5	10545	0.028752386569976807	-0.23800245	No	
row_27	FKBP1B	10591	0.023938290774822235	-0.23948357	No	
row_28	CALM3	10985	-0.004840967711061239	-0.25426933	No	
row_29	MIR328	10988	-0.004960536956787109	-0.25429982	No	
row_30	KCNE4	11284	-0.026994792744517326	-0.26518685	No	
row_31	EDN2	11523	-0.043834563344717026	-0.2737704	No	
row_32	MIR1-1	11664	-0.053916219621896744	-0.27856457	No	
row_33	KCNQ1	12626	-0.10151270031929016	-0.31390738	No	
row_34	CACNB2	12669	-0.10574757307767868	-0.3145339	No	
row_35	ADM5	12997	-0.13321702182292938	-0.32566574	No	
row_36	RANGRF	14360	-0.2200552523136139	-0.37506577	No	
row_37	HEY2	14388	-0.22329476475715637	-0.37406096	No	
row_38	NPPA	14441	-0.2278592735528946	-0.37395817	No	
row_39	SCN4B	15005	-0.2592063546180725	-0.39285356	No	
row_40	KCNE3	15062	-0.2640202045440674	-0.39257398	No	
row_41	HCN3	15278	-0.2809346318244934	-0.39814088	No	
row_42	SCN10A	15497	-0.30002322793006897	-0.403648	No	
row_43	DSC2	16106	-0.34556713700294495	-0.42345878	No	
row_44	AGT	16127	-0.3481743633747101	-0.42105812	No	
row_45	CASQ2	16835	-0.4084460437297821	-0.44403476	No	
row_46	EDN3	17021	-0.423159122467041	-0.44718072	No	
row_47	POPDC2	17063	-0.42804357409477234	-0.44484863	No	
row_48	YWHAE	17627	-0.486133337020874	-0.46168748	No	
row_49	HRC	17759	-0.5013523101806641	-0.46208715	No	
row_50	ISL1	18214	-0.5513954162597656	-0.4742215	No	
row_51	DSG2	18431	-0.5767328143119812	-0.47714543	No	
row_52	SCN2B	18465	-0.5822924971580505	-0.4731136	No	
row_53	CAMK2D	18676	-0.6099193692207336	-0.47551036	No	
row_54	SREBF1	18699	-0.6124237179756165	-0.47079036	No	
row_55	TACR3	18820	-0.6295578479766846	-0.46961308	No	
row_56	SNTA1	18976	-0.6505894660949707	-0.46956587	No	
row_57	SHOX2	19591	-0.741654098033905	-0.48601347	No	
row_58	MDM2	20649	-0.9189177751541138	-0.517571	Yes	
row_59	GPD1L	20669	-0.9226664900779724	-0.5099262	Yes	
row_60	SCN3B	21039	-0.9937940239906311	-0.5148438	Yes	
row_61	HCN2	21092	-1.0039304494857788	-0.5077078	Yes	
row_62	GJD3	21462	-1.0896443128585815	-0.5117568	Yes	
row_63	TMEM161B	21488	-1.0951297283172607	-0.50277543	Yes	
row_64	KCNE2	21917	-1.1933640241622925	-0.50811076	Yes	
