NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARP1	617	3.3220930099487305	0.018062538	No	
row_1	SMARCAL1	1834	1.9302948713302612	-0.0037383558	No	
row_2	FBH1	2445	1.5754822492599487	-0.007126341	No	
row_3	CENPX	2681	1.4562193155288696	0.0021267382	No	
row_4	DDX11	4762	0.7754402160644531	-0.06657265	No	
row_5	EXD2	5211	0.6799407601356506	-0.0749927	No	
row_6	SAMHD1	5269	0.6705070734024048	-0.06880365	No	
row_7	MUS81	5397	0.6434209942817688	-0.06558778	No	
row_8	ZNF365	6126	0.5093424916267395	-0.086674474	No	
row_9	RTEL1	6817	0.40192508697509766	-0.1076654	No	
row_10	RFWD3	6997	0.3765166997909546	-0.10972622	No	
row_11	CENPS	7161	0.35455381870269775	-0.111457475	No	
row_12	CDK9	7208	0.34639060497283936	-0.1088836	No	
row_13	ALYREF	7908	0.2627461552619934	-0.13194378	No	
row_14	BOD1L1	7978	0.25422805547714233	-0.13138194	No	
row_15	ATRX	8223	0.22689121961593628	-0.13775106	No	
row_16	EME2	11582	-0.04911555349826813	-0.26361403	No	
row_17	EME1	13347	-0.15894216299057007	-0.3280762	No	
row_18	OOEP	13388	-0.16208387911319733	-0.3275677	No	
row_19	PCNA	14491	-0.23059262335300446	-0.36620596	No	
row_20	KHDC3L	15407	-0.293822705745697	-0.39701506	No	
row_21	ZRANB3	15542	-0.3030662536621094	-0.39829418	No	
row_22	SETMAR	16553	-0.3812974691390991	-0.43159384	No	
row_23	TONSL	16585	-0.38433974981307983	-0.42798322	No	
row_24	ATR	16944	-0.4162769615650177	-0.4362915	No	
row_25	FAM111A	17662	-0.48995330929756165	-0.45720494	No	
row_26	TRAIP	19145	-0.6746267080307007	-0.504635	No	
row_27	RAD51	19442	-0.718582272529602	-0.50684977	No	
row_28	CARM1	21236	-1.0370006561279297	-0.56148803	No	
row_29	THOC1	21299	-1.05160653591156	-0.5507494	No	
row_30	NBN	21960	-1.2048561573028564	-0.56062824	No	
row_31	RAD50	23525	-1.66914701461792	-0.5987826	Yes	
row_32	DNA2	23950	-1.8495591878890991	-0.59175783	Yes	
row_33	GEN1	24228	-1.9888179302215576	-0.57746524	Yes	
row_34	BRCA1	24529	-2.1581039428710938	-0.56193435	Yes	
row_35	MRE11	24872	-2.369847297668457	-0.5453529	Yes	
row_36	ETAA1	24977	-2.447880506515503	-0.5188374	Yes	
row_37	BARD1	25629	-3.0308175086975098	-0.50567657	Yes	
row_38	WRN	25985	-3.5876591205596924	-0.4744447	Yes	
row_39	RBBP8	26047	-3.7382678985595703	-0.43026736	Yes	
row_40	BRCA2	26280	-4.475456714630127	-0.3833656	Yes	
row_41	FANCM	26359	-4.774150848388672	-0.32695028	Yes	
row_42	BLM	26364	-4.785384178161621	-0.26760823	Yes	
row_43	PRIMPOL	26554	-7.0974297523498535	-0.18649012	Yes	
row_44	MMS22L	26555	-7.131135940551758	-0.0978346	Yes	
row_45	NUCKS1	26575	-7.990660667419434	7.910637E-4	Yes	
