NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.10320202	Yes	
row_1	HSPA1B	1	18.653751373291016	0.19883716	Yes	
row_2	HSP90AB1	5	14.628531455993652	0.27372235	Yes	
row_3	HSP90AA1	11	11.889311790466309	0.33448842	Yes	
row_4	DNAJA1	164	5.390361785888672	0.35638624	Yes	
row_5	IRAK1	228	4.877813339233398	0.37901595	Yes	
row_6	CREBBP	336	4.244154453277588	0.39673603	Yes	
row_7	TRPM2	348	4.1840386390686035	0.41777176	Yes	
row_8	HSF1	371	4.084196090698242	0.43788037	Yes	
row_9	CHORDC1	378	4.034318447113037	0.45833728	Yes	
row_10	POLR2D	490	3.623598575592041	0.47272485	Yes	
row_11	MTOR	581	3.417304754257202	0.4868475	Yes	
row_12	DNAJB6	836	2.904623031616211	0.49215093	Yes	
row_13	HTRA2	950	2.753519058227539	0.50200224	Yes	
row_14	BAG3	973	2.723470687866211	0.51513463	Yes	
row_15	DAXX	1059	2.634953260421753	0.52543503	Yes	
row_16	HMOX1	1137	2.533263921737671	0.535516	Yes	
row_17	DNAJB1	1197	2.471668243408203	0.5459608	Yes	
row_18	HIKESHI	1311	2.3625597953796387	0.5538077	Yes	
row_19	STUB1	1435	2.2526211738586426	0.56071347	Yes	
row_20	HSPA6	1787	1.9670826196670532	0.55754864	Yes	
row_21	EIF2B5	1841	1.9277561902999878	0.5654313	Yes	
row_22	EP300	2204	1.6992278099060059	0.560478	Yes	
row_23	CLPB	2256	1.6796685457229614	0.56716424	Yes	
row_24	MAP2K7	2874	1.3685599565505981	0.55088973	No	
row_25	DNAJC7	2931	1.3463761806488037	0.5556785	No	
row_26	CD14	3105	1.2791457176208496	0.55570596	No	
row_27	GSK3B	3305	1.2121528387069702	0.5544085	No	
row_28	TRPV1	3417	1.1692185401916504	0.5562128	No	
row_29	TACR1	3529	1.1275849342346191	0.5578037	No	
row_30	PRKACA	3659	1.0866284370422363	0.55850506	No	
row_31	IER5	3803	1.0423458814620972	0.558451	No	
row_32	MICB	3987	0.9818152785301208	0.5565766	No	
row_33	MAPT	4759	0.7756415605545044	0.531449	No	
row_34	TRPV4	4786	0.7687113285064697	0.5344086	No	
row_35	VCP	4988	0.7239571213722229	0.5305327	No	
row_36	MSTN	5289	0.6644364595413208	0.5226146	No	
row_37	CPB2	5755	0.5744644403457642	0.5080067	No	
row_38	DNAJA3	6041	0.5270750522613525	0.49995056	No	
row_39	HDAC2	6176	0.49925753474235535	0.49745184	No	
row_40	MICA	6243	0.48870331048965454	0.49746594	No	
row_41	EIF2B4	6577	0.4346485137939453	0.48712403	No	
row_42	STAC	7168	0.3526758551597595	0.46666044	No	
row_43	MAPKAPK2	7171	0.35189151763916016	0.46838903	No	
row_44	RBBP7	7336	0.3292955160140991	0.4638865	No	
row_45	TFEC	7909	0.262641042470932	0.4436408	No	
row_46	NOS3	8396	0.20922152698040009	0.42636758	No	
row_47	SCN11A	8790	0.17157933115959167	0.41241202	No	
row_48	IL1A	8822	0.16870947182178497	0.41210675	No	
row_49	HSBP1	8878	0.1629304587841034	0.4108659	No	
row_50	HSP90AB4P	9270	0.12300586700439453	0.3967368	No	
row_51	NF1	9869	0.0781613364815712	0.37456384	No	
row_52	PDCD6	10034	0.06383373588323593	0.36870033	No	
row_53	CETN1	10280	0.043393269181251526	0.35967436	No	
row_54	PTGS2	10487	0.034501779824495316	0.352075	No	
row_55	SUMO1	11182	-0.019800100475549698	0.32597896	No	
row_56	SCN9A	11685	-0.05519227311015129	0.3073121	No	
row_57	SOD1	11903	-0.07302534580230713	0.299495	No	
row_58	TCIM	13071	-0.13881376385688782	0.256154	No	
row_59	PIRT	13215	-0.1465088427066803	0.25150707	No	
row_60	CRNN	13736	-0.17353732883930206	0.23276746	No	
row_61	DNAJB4	13937	-0.18250320851802826	0.2261534	No	
row_62	IGF1	14085	-0.19672276079654694	0.22161292	No	
row_63	AKT1	14577	-0.23729494214057922	0.20429489	No	
row_64	SIRT1	14692	-0.2461545467376709	0.20125355	No	
row_65	ASIC3	14704	-0.24733886122703552	0.20210639	No	
row_66	P2RX3	15467	-0.29863035678863525	0.17487293	No	
row_67	SLU7	16414	-0.3679383397102356	0.14104906	No	
row_68	SST	16718	-0.3984718918800354	0.13165413	No	
row_69	ATXN3	16873	-0.4096701741218567	0.12794115	No	
row_70	ATR	16944	-0.4162769615650177	0.12743294	No	
row_71	HSBP1L1	17440	-0.4664701223373413	0.11113887	No	
row_72	YWHAE	17627	-0.486133337020874	0.106609955	No	
row_73	TP53INP1	17787	-0.504408597946167	0.10319395	No	
row_74	CASQ1	18303	-0.5611367225646973	0.086630255	No	
row_75	SCN2B	18465	-0.5822924971580505	0.08353805	No	
row_76	LYN	18714	-0.6143608689308167	0.07732612	No	
row_77	ATM	18767	-0.6222957372665405	0.07855362	No	
row_78	DNAJA2	18887	-0.6385817527770996	0.07733544	No	
row_79	FGF1	19456	-0.720008134841919	0.05958558	No	
row_80	EIF2B2	19457	-0.7202563881874084	0.06327823	No	
row_81	NOS1	19598	-0.7424973845481873	0.061800096	No	
row_82	HSPA2	19607	-0.7437921762466431	0.065311424	No	
row_83	ST8SIA1	19641	-0.7475807070732117	0.06789846	No	
row_84	TPR	19682	-0.7562417984008789	0.07026566	No	
row_85	LRP11	19780	-0.7701628804206848	0.07055255	No	
row_86	DNAJA4	20027	-0.8092142939567566	0.06541511	No	
row_87	EIF2S1	20099	-0.8233895897865295	0.066956356	No	
row_88	TRPV3	20536	-0.9013879299163818	0.055119224	No	
row_89	CALCA	20732	-0.936104416847229	0.052557506	No	
row_90	SLC52A3	20881	-0.9643071293830872	0.051914573	No	
row_91	EIF2B1	21563	-1.112917184829712	0.031913497	No	
row_92	IGFBP7	21835	-1.1741892099380493	0.02770351	No	
row_93	SCARA5	21852	-1.178597331047058	0.033142034	No	
row_94	CD34	21883	-1.1836172342300415	0.038077813	No	
row_95	RPS6KB1	22493	-1.3367573022842407	0.021942237	No	
row_96	PSIP1	23861	-1.814348578453064	-0.020358283	No	
row_97	PKLR	24036	-1.891902208328247	-0.017227035	No	
row_98	THBS1	24219	-1.98590886592865	-0.013915819	No	
row_99	CXCL10	24570	-2.1860063076019287	-0.015920507	No	
row_100	DNAJC2	24609	-2.208601236343384	-0.00603177	No	
row_101	CXCL12	24909	-2.3899905681610107	-0.005065478	No	
row_102	GCLC	24911	-2.391361713409424	0.007156947	No	
row_103	EIF2B3	25074	-2.5175914764404297	0.013948998	No	
row_104	DHX36	25433	-2.812452554702759	0.014854022	No	
row_105	ZFAND1	26483	-5.658451557159424	0.0042657503	No	
