NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.12967872619629	0.06693092	Yes	
row_1	HSPA1B	1	18.653751373291016	0.12895441	Yes	
row_2	HSPH1	3	16.15424346923828	0.18262923	Yes	
row_3	HSP90AB1	5	14.628531455993652	0.23123108	Yes	
row_4	HSPA4	7	13.905517578125	0.27742893	Yes	
row_5	HSP90AA1	11	11.889311790466309	0.31684726	Yes	
row_6	UBE2J2	25	8.867867469787598	0.34584105	Yes	
row_7	HSPD1	34	8.059305191040039	0.37233555	Yes	
row_8	HSPA8	43	7.646491050720215	0.39745742	Yes	
row_9	HSPB1	102	6.114035129547119	0.4155926	Yes	
row_10	HSPE1	160	5.432236194610596	0.43149865	Yes	
row_11	DNAJA1	164	5.390361785888672	0.44930807	Yes	
row_12	HSF1	371	4.084196090698242	0.45509586	Yes	
row_13	HERPUD1	435	3.791734457015991	0.4653203	Yes	
row_14	HSPA5	517	3.545794725418091	0.47404614	Yes	
row_15	EDEM3	791	2.975492477416992	0.47361317	Yes	
row_16	AUP1	910	2.80663800239563	0.47848177	Yes	
row_17	BAG3	973	2.723470687866211	0.48519206	Yes	
row_18	DAXX	1059	2.634953260421753	0.49073806	Yes	
row_19	DNAJB1	1197	2.471668243408203	0.4937742	Yes	
row_20	MANF	1198	2.4710819721221924	0.5019905	Yes	
row_21	NCK2	1318	2.3588552474975586	0.5053324	Yes	
row_22	PARP16	1321	2.3567469120025635	0.51309294	Yes	
row_23	STUB1	1435	2.2526211738586426	0.51630855	Yes	
row_24	HSPA7	1602	2.0985188484191895	0.517007	Yes	
row_25	DDIT3	1639	2.069059133529663	0.5225249	Yes	
row_26	HSPA6	1787	1.9670826196670532	0.52350503	Yes	
row_27	HSPA9	1790	1.961193561553955	0.5299503	Yes	
row_28	BAK1	2005	1.8156752586364746	0.52789265	Yes	
row_29	PTPN1	2035	1.7981473207473755	0.53277457	Yes	
row_30	TMEM129	2219	1.6934577226638794	0.5314832	Yes	
row_31	DDRGK1	2365	1.6136611700057983	0.53136384	Yes	
row_32	ABCA7	2375	1.6076223850250244	0.5363687	Yes	
row_33	AKIRIN2	2510	1.5400604009628296	0.53642076	Yes	
row_34	OS9	2607	1.489770531654358	0.5377429	Yes	
row_35	EDEM2	2726	1.431993842124939	0.5380409	Yes	
row_36	CREB3	2771	1.4084320068359375	0.54105955	Yes	
row_37	TM7SF3	3006	1.3181967735290527	0.5365913	No	
row_38	SELENOS	3061	1.2986702919006348	0.53886676	No	
row_39	RACK1	3211	1.2409842014312744	0.537357	No	
row_40	ERP27	3240	1.2339085340499878	0.54040056	No	
row_41	FBXO6	3766	1.051531434059143	0.5240384	No	
row_42	BFAR	3894	1.0131216049194336	0.5226031	No	
row_43	DNAJB9	4066	0.9540877342224121	0.51930726	No	
row_44	SERPINH1	4181	0.9238478541374207	0.5180669	No	
row_45	CDK5RAP3	4251	0.9044666886329651	0.51846427	No	
row_46	BHLHA15	4269	0.9009608030319214	0.5208169	No	
row_47	SDF2L1	4288	0.8967242240905762	0.5231176	No	
row_48	BCL2L11	4665	0.7953888177871704	0.5115398	No	
row_49	DNAJC10	4938	0.7338858246803284	0.5036913	No	
row_50	CREB3L2	4940	0.7332316040992737	0.5060915	No	
row_51	VCP	4988	0.7239571213722229	0.50672084	No	
row_52	PIK3R1	5013	0.7167748808860779	0.5081963	No	
row_53	BOK	5222	0.6773735880851746	0.50258076	No	
row_54	MBTPS1	5645	0.5937402248382568	0.48859248	No	
row_55	PPP1R15B	5867	0.555580198764801	0.48208028	No	
row_56	UFD1	5928	0.545987069606781	0.48162615	No	
row_57	EIF2AK3	6182	0.49856388568878174	0.47371393	No	
row_58	TMBIM6	6259	0.4869384467601776	0.47245824	No	
row_59	TOR1A	6512	0.4457258880138397	0.4644082	No	
row_60	HDAC6	6524	0.4430816173553467	0.46546534	No	
row_61	ERN1	6583	0.43388691544532776	0.4647141	No	
row_62	FAF2	6666	0.4228901267051697	0.4630185	No	
row_63	CREBRF	6675	0.42166373133659363	0.4641179	No	
row_64	F12	6844	0.398253858089447	0.45908737	No	
row_65	RHBDD2	6845	0.3980681598186493	0.46041095	No	
row_66	BAG6	6974	0.3784422278404236	0.45682758	No	
row_67	ATF6B	7122	0.3593423664569855	0.452462	No	
row_68	DERL3	7274	0.33733657002449036	0.44787192	No	
row_69	TOR1B	7340	0.3289935886859894	0.44650716	No	
