NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AB1	5	14.628531455993652	0.025385035	Yes	
row_1	HSP90AA1	11	11.889311790466309	0.045980852	Yes	
row_2	NSUN5	33	8.142219543457031	0.05941312	Yes	
row_3	XAB2	84	6.570183277130127	0.06898727	Yes	
row_4	DDX23	100	6.124271869659424	0.07912096	Yes	
row_5	RPS9	110	6.01049280166626	0.08928528	Yes	
row_6	PUF60	114	5.929357051849365	0.099537306	Yes	
row_7	RUVBL1	188	5.176318645477295	0.10579443	Yes	
row_8	EIF3CL	219	4.8961181640625	0.1132069	Yes	
row_9	NGRN	223	4.887673377990723	0.121637665	Yes	
row_10	EIF3C	227	4.879950523376465	0.13005492	Yes	
row_11	LSG1	257	4.672794342041016	0.1371152	Yes	
row_12	DDX49	268	4.614640712738037	0.14480077	Yes	
row_13	SNRPD3	284	4.54874849319458	0.15217982	Yes	
row_14	DHX9	289	4.517945289611816	0.1599259	Yes	
row_15	TARBP2	337	4.232649326324463	0.16552792	Yes	
row_16	DDX56	367	4.104281902313232	0.17159422	Yes	
row_17	DDX27	387	3.99062442779541	0.1778444	Yes	
row_18	ISY1	398	3.9385619163513184	0.18434793	Yes	
row_19	DHX30	422	3.84729266166687	0.19019447	Yes	
row_20	GNL3L	461	3.691986322402954	0.19519556	Yes	
row_21	TRAF7	468	3.6727590560913086	0.2013874	Yes	
row_22	POLR2D	490	3.623598575592041	0.20691937	Yes	
row_23	PRPF8	550	3.4747393131256104	0.21073714	Yes	
row_24	MTG2	560	3.446200132369995	0.21641807	Yes	
row_25	TSR3	563	3.443821430206299	0.22236268	Yes	
row_26	PRPF6	566	3.439642906188965	0.22829999	Yes	
row_27	SF3B5	571	3.432549476623535	0.23414837	Yes	
row_28	ISG20	591	3.382568836212158	0.23933545	Yes	
row_29	SNRPD2	611	3.338364839553833	0.24444523	Yes	
row_30	PRPF3	612	3.33376407623291	0.25027394	Yes	
row_31	BOP1	677	3.1952943801879883	0.25341183	Yes	
row_32	SNU13	689	3.1750900745391846	0.25854224	Yes	
row_33	URB1	727	3.078726291656494	0.26250938	Yes	
row_34	DDX39B	766	3.0095298290252686	0.26631728	Yes	
row_35	GTPBP4	771	3.000823736190796	0.27141082	Yes	
row_36	PDCD11	799	2.9677844047546387	0.2755666	Yes	
row_37	RPS15	803	2.9605681896209717	0.28062806	Yes	
row_38	UTP14A	821	2.9190380573272705	0.2850812	Yes	
row_39	MRM1	845	2.8936588764190674	0.28926045	Yes	
row_40	RNVU1-3	851	2.883894443511963	0.29411128	Yes	
row_41	EXOSC5	876	2.851623773574829	0.29817876	Yes	
row_42	LAS1L	877	2.850675106048584	0.30316284	Yes	
row_43	RPUSD1	892	2.835146427154541	0.30758414	Yes	
row_44	DHX37	930	2.7824246883392334	0.31103322	Yes	
row_45	SRSF12	936	2.767711639404297	0.31568092	Yes	
row_46	PRPF31	952	2.752002239227295	0.31991857	Yes	
row_47	SIRT7	1058	2.635129451751709	0.32050836	Yes	
row_48	BMS1	1080	2.6004562377929688	0.32425147	Yes	
row_49	FBL	1110	2.5629467964172363	0.32762292	Yes	
row_50	LTV1	1129	2.5383899211883545	0.3313723	Yes	
row_51	SNRNP200	1233	2.4297401905059814	0.3316795	Yes	
row_52	MTREX	1245	2.4186978340148926	0.33548746	Yes	
row_53	SART1	1249	2.4156076908111572	0.3395961	Yes	
row_54	TRMT112	1305	2.3661463260650635	0.34162864	Yes	
row_55	RNU4-1	1312	2.3622710704803467	0.34552926	Yes	
row_56	SF3B2	1317	2.3598744869232178	0.34950218	Yes	
row_57	SF1	1333	2.3447561264038086	0.3530278	Yes	
row_58	NOC2L	1360	2.3205666542053223	0.35609025	Yes	
row_59	RPS19	1410	2.2771520614624023	0.3581968	Yes	
row_60	SMN2	1448	2.2414960861206055	0.36070013	Yes	
row_61	SMN1	1449	2.2414960861206055	0.36461914	Yes	
row_62	MRTO4	1511	2.172070264816284	0.3660828	Yes	
row_63	IMP3	1537	2.1593058109283447	0.36890158	Yes	
row_64	NOP53	1543	2.155266284942627	0.3724785	Yes	
row_65	USP36	1552	2.1412839889526367	0.3759162	Yes	
row_66	ZNF622	1571	2.125206470489502	0.37894318	Yes	
row_67	RPS5	1619	2.0852210521698	0.38079068	Yes	
row_68	EXOSC6	1628	2.0774121284484863	0.3841167	Yes	
row_69	GEMIN7	1651	2.056243419647217	0.38687006	Yes	
row_70	GEMIN8	1669	2.0456175804138184	0.38979614	Yes	
row_71	SNRPC	1670	2.044376850128174	0.3933705	Yes	
row_72	SF3A3	1682	2.037733793258667	0.3965124	Yes	
row_73	ZRSR2	1711	2.021340847015381	0.39897516	Yes	
row_74	NOL9	1795	1.9576687812805176	0.39922222	Yes	
row_75	RMRP	1815	1.9440481662750244	0.4018942	Yes	
row_76	METTL17	1900	1.8825173377990723	0.4019716	Yes	
row_77	SNRPB2	1927	1.8656455278396606	0.4042387	Yes	
row_78	RNVU1-14	1934	1.8582950830459595	0.40725815	Yes	
row_79	CELF1	1940	1.8545528650283813	0.4103093	Yes	
row_80	MPHOSPH10	1941	1.854182243347168	0.41355115	Yes	
row_81	TSR2	1977	1.8297785520553589	0.41541114	Yes	
row_82	WDR55	1993	1.8225691318511963	0.4180238	Yes	
