NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AB1	5	14.628531455993652	0.047543317	Yes	
row_1	HSP90AA1	11	11.889311790466309	0.08614855	Yes	
row_2	XAB2	84	6.570183277130127	0.104856595	Yes	
row_3	DDX23	100	6.124271869659424	0.124271266	Yes	
row_4	PUF60	114	5.929357051849365	0.14312576	Yes	
row_5	RUVBL1	188	5.176318645477295	0.1572477	Yes	
row_6	EIF3CL	219	4.8961181640625	0.17208605	Yes	
row_7	EIF3C	227	4.879950523376465	0.18774387	Yes	
row_8	SNRPD3	284	4.54874849319458	0.20046274	Yes	
row_9	DHX9	289	4.517945289611816	0.21505311	Yes	
row_10	TARBP2	337	4.232649326324463	0.22708187	Yes	
row_11	ISY1	398	3.9385619163513184	0.23765801	Yes	
row_12	DHX30	422	3.84729266166687	0.24933949	Yes	
row_13	TRAF7	468	3.6727590560913086	0.25961718	Yes	
row_14	POLR2D	490	3.623598575592041	0.27064458	Yes	
row_15	PRPF8	550	3.4747393131256104	0.2797452	Yes	
row_16	PRPF6	566	3.439642906188965	0.2903999	Yes	
row_17	SF3B5	571	3.432549476623535	0.30144864	Yes	
row_18	SNRPD2	611	3.338364839553833	0.31086272	Yes	
row_19	PRPF3	612	3.33376407623291	0.3217408	Yes	
row_20	BOP1	677	3.1952943801879883	0.32973996	Yes	
row_21	SNU13	689	3.1750900745391846	0.33968312	Yes	
row_22	DDX39B	766	3.0095298290252686	0.34662107	Yes	
row_23	RPS15	803	2.9605681896209717	0.35491616	Yes	
row_24	RNVU1-3	851	2.883894443511963	0.3625439	Yes	
row_25	SRSF12	936	2.767711639404297	0.3683894	Yes	
row_26	PRPF31	952	2.752002239227295	0.37680036	Yes	
row_27	SNRNP200	1233	2.4297401905059814	0.37411007	Yes	
row_28	SART1	1249	2.4156076908111572	0.38142335	Yes	
row_29	RNU4-1	1312	2.3622710704803467	0.3867802	Yes	
row_30	SF3B2	1317	2.3598744869232178	0.39432877	Yes	
row_31	SF1	1333	2.3447561264038086	0.40141088	Yes	
row_32	RPS19	1410	2.2771520614624023	0.40595907	Yes	
