NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCT3	26	8.759869575500488	0.030187305	Yes	
row_1	POLDIP3	53	7.319049835205078	0.055247437	Yes	
row_2	SEC13	63	6.998449802398682	0.079810604	Yes	
row_3	CCT6A	70	6.753059387207031	0.103614174	Yes	
row_4	ALKBH5	105	6.072888374328613	0.123936825	Yes	
row_5	KHSRP	138	5.717687606811523	0.14307123	Yes	
row_6	NUP62	141	5.688095569610596	0.16323663	Yes	
row_7	DDX39A	170	5.345037460327148	0.18119647	Yes	
row_8	CCT5	177	5.282976150512695	0.19976874	Yes	
row_9	RUVBL1	188	5.176318645477295	0.21780996	Yes	
row_10	CCT7	218	4.897830486297607	0.23414053	Yes	
row_11	DHX9	289	4.517945289611816	0.24756636	Yes	
row_12	RBM15B	304	4.3990678787231445	0.26269022	Yes	
row_13	BICD2	305	4.385292053222656	0.27829534	Yes	
row_14	HSF1	371	4.084196090698242	0.29036704	Yes	
row_15	RFTN1	415	3.86690616607666	0.30249882	Yes	
row_16	NUP188	464	3.6898159980773926	0.313811	Yes	
row_17	POM121	489	3.6259512901306152	0.32580495	Yes	
row_18	POLR2D	490	3.623598575592041	0.33869958	Yes	
row_19	TCP1	528	3.5155766010284424	0.34980837	Yes	
row_20	SMG7	538	3.4933948516845703	0.36189878	Yes	
row_21	PRPF6	566	3.439642906188965	0.37311614	Yes	
row_22	MVP	573	3.428220748901367	0.38508824	Yes	
row_23	NUP214	590	3.383737325668335	0.39652327	Yes	
row_24	DDX39B	766	3.0095298290252686	0.40060443	Yes	
row_25	CCT4	837	2.903169870376587	0.40828407	Yes	
row_26	PRPF31	952	2.752002239227295	0.41375923	Yes	
row_27	FBL	1110	2.5629467964172363	0.416933	Yes	
row_28	MCM3AP	1187	2.479038953781128	0.4228761	Yes	
row_29	PABPN1	1260	2.4091293811798096	0.42872193	Yes	
row_30	NXF1	1313	2.361717939376831	0.43515658	Yes	
row_31	UPF1	1343	2.340061664581299	0.44238532	Yes	
row_32	TGFBR2	1420	2.265768051147461	0.44756952	Yes	
row_33	PHAX	1446	2.242771863937378	0.45460355	Yes	
row_34	POM121C	1573	2.124436140060425	0.457391	Yes	
row_35	CHTOP	1702	2.0261640548706055	0.459753	Yes	
row_36	AAAS	1703	2.0260231494903564	0.46696264	Yes	
row_37	THOC3	1731	2.006154775619507	0.4730789	Yes	
row_38	XPOT	1909	1.8778961896896362	0.47305736	Yes	
row_39	NUTF2	1911	1.8758265972137451	0.47969463	Yes	
row_40	NPIPA1	1974	1.8346213102340698	0.48387486	Yes	
row_41	SIDT2	2131	1.7382988929748535	0.48415196	Yes	
row_42	DDX19A	2393	1.6004812717437744	0.47996166	Yes	
