NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MFSD12	3826	1.0362097024917603	-0.12676212	No	
row_1	FMO1	3863	1.023985743522644	-0.110926166	No	
row_2	OPN3	3963	0.9916933178901672	-0.09800617	No	
row_3	AKR1B10	5300	0.6603785753250122	-0.13725773	No	
row_4	PMEL	5498	0.6235857009887695	-0.13421068	No	
row_5	DDC	6137	0.5063799619674683	-0.14974791	No	
row_6	CTNS	6286	0.48168841004371643	-0.14723699	No	
row_7	AKR7A2	6893	0.3921768069267273	-0.16348593	No	
row_8	MC1R	6961	0.38029900193214417	-0.15962532	No	
row_9	AKR1C2	7131	0.3579667806625366	-0.15998292	No	
row_10	N6AMT1	7579	0.30207890272140503	-0.1717536	No	
row_11	SLC45A2	8020	0.24939312040805817	-0.18414512	No	
row_12	CYP1B1	8283	0.22169740498065948	-0.19029479	No	
row_13	TYRP1	8687	0.18199320137500763	-0.2024238	No	
row_14	ARL1	8841	0.16690829396247864	-0.20538634	No	
row_15	AKR1A1	8910	0.15997926890850067	-0.20526251	No	
row_16	UGT1A7	9067	0.1446719765663147	-0.20871145	No	
row_17	BCL2	9123	0.13771548867225647	-0.20847158	No	
row_18	FMO2	9219	0.12759016454219818	-0.20990889	No	
row_19	PON3	9255	0.12438921630382538	-0.2091392	No	
row_20	CYP2D6	9498	0.10844628512859344	-0.21643673	No	
row_21	APPL1	9713	0.08693767338991165	-0.22304037	No	
row_22	TYR	9840	0.07989748567342758	-0.22644646	No	
row_23	DCT	9904	0.07507936656475067	-0.22755969	No	
row_24	CYP3A4	10076	0.05969863012433052	-0.23300047	No	
row_25	ACMSD	11788	-0.06362195312976837	-0.296401	No	
row_26	DDT	12222	-0.09601505845785141	-0.31110394	No	
row_27	CYP1A1	13974	-0.186177596449852	-0.37395397	No	
row_28	SLC24A5	14081	-0.19657060503959656	-0.37464756	No	
row_29	AKR1C1	15618	-0.3100380599498749	-0.42731702	No	
row_30	CYP3A5	16050	-0.34038659930229187	-0.43784168	No	
row_31	WNT5A	17045	-0.4259960353374481	-0.46814224	No	
row_32	PAM	18523	-0.5891093015670776	-0.51390314	No	
row_33	AKR1C4	19000	-0.6533334851264954	-0.5208691	No	
row_34	UGT1A8	20086	-0.8214334845542908	-0.54795915	Yes	
row_35	RAPGEF2	20121	-0.8279436230659485	-0.5353393	Yes	
row_36	CBR4	20248	-0.850155770778656	-0.52581304	Yes	
row_37	AKR1B1	20367	-0.8699740171432495	-0.51565254	Yes	
row_38	AKR7A3	20456	-0.8881428241729736	-0.50405663	Yes	
row_39	AS3MT	20985	-0.9831942915916443	-0.5074436	Yes	
row_40	BDH2	21065	-0.9986369609832764	-0.49365348	Yes	
row_41	OCA2	21949	-1.2013524770736694	-0.5067537	Yes	
row_42	ZEB2	21990	-1.2114012241363525	-0.48792177	Yes	
row_43	NFE2L2	22332	-1.2988210916519165	-0.47896352	Yes	
row_44	TRPC1	22574	-1.3672324419021606	-0.46508875	Yes	
row_45	CITED1	22802	-1.4315519332885742	-0.44960657	Yes	
row_46	CYP2A6	23221	-1.5652533769607544	-0.43907624	Yes	
row_47	GIPC1	23607	-1.7070667743682861	-0.42492154	Yes	
row_48	CYP2A7	23945	-1.8476959466934204	-0.40659714	Yes	
row_49	SULT1C4	24473	-2.123255968093872	-0.39080513	Yes	
row_50	ATP7A	25014	-2.4726040363311768	-0.36963755	Yes	
row_51	CDH3	25193	-2.613210678100586	-0.3324694	Yes	
row_52	ASIP	25254	-2.655568838119507	-0.29014397	Yes	
row_53	CYP1A2	25948	-3.5188310146331787	-0.25717545	Yes	
row_54	SLC7A11	26116	-3.918461322784424	-0.19767809	Yes	
row_55	RAB38	26335	-4.679566383361816	-0.12732364	Yes	
row_56	AKR1C3	26579	-8.166937828063965	6.407019E-4	Yes	
