NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GHRL	247	4.733668327331543	0.02641983	No	
row_1	EDN1	1948	1.848594069480896	-0.023789676	No	
row_2	CHRNB2	2118	1.745376706123352	-0.016989706	No	
row_3	SULF2	2159	1.724203109741211	-0.0054804026	No	
row_4	MYH11	2704	1.4414423704147339	-0.015130066	No	
row_5	ORMDL3	3239	1.2339545488357544	-0.025968974	No	
row_6	TRPV1	3417	1.1692185401916504	-0.023821434	No	
row_7	TACR1	3529	1.1275849342346191	-0.019497035	No	
row_8	ADORA2B	3549	1.1198211908340454	-0.011758646	No	
row_9	PTAFR	3856	1.0270415544509888	-0.015553867	No	
row_10	APBB1	3913	1.0076690912246704	-0.010058912	No	
row_11	TACR2	4307	0.8906815648078918	-0.01816765	No	
row_12	ABAT	4597	0.8116872906684875	-0.022947293	No	
row_13	OXT	5045	0.7117088437080383	-0.03444569	No	
row_14	RAP1GDS1	6402	0.4632658064365387	-0.08213099	No	
row_15	ROCK1	7066	0.3664782643318176	-0.10438926	No	
row_16	MIR21	7787	0.2769354283809662	-0.12947516	No	
row_17	TPCN2	7974	0.25446009635925293	-0.1345745	No	
row_18	CHRM2	8034	0.24787217378616333	-0.13492987	No	
row_19	GPER1	8131	0.2376185953617096	-0.13675925	No	
row_20	PLCE1	8376	0.2113473266363144	-0.14437339	No	
row_21	SCN11A	8790	0.17157933115959167	-0.15866685	No	
row_22	ADRB2	8959	0.15609315037727356	-0.16382952	No	
row_23	ATP2B4	9716	0.08648931980133057	-0.19171229	No	
row_24	PTGS2	10487	0.034501779824495316	-0.22051606	No	
row_25	FKBP1B	10591	0.023938290774822235	-0.22422312	No	
row_26	APBB2	10900	0.0025555621832609177	-0.23582955	No	
row_27	DRD1	10945	-0.0014103892026469111	-0.23747972	No	
row_28	SRF	11495	-0.04047280550003052	-0.25789657	No	
row_29	EDN2	11523	-0.043834563344717026	-0.2585847	No	
row_30	SOD1	11903	-0.07302534580230713	-0.272339	No	
row_31	BBS2	12063	-0.088065505027771	-0.2776756	No	
row_32	NMUR2	12475	-0.10030876845121384	-0.2924317	No	
row_33	SSTR2	13834	-0.17413394153118134	-0.3423757	No	
row_34	TNNI3	14407	-0.22483378648757935	-0.36226863	No	
row_35	KCNB2	14444	-0.2279479205608368	-0.3619063	No	
row_36	HTR1D	14622	-0.2400602102279663	-0.36677465	No	
row_37	GRIP2	14748	-0.2509037256240845	-0.36959833	No	
row_38	NEUROG1	15046	-0.2625311017036438	-0.37882653	No	
row_39	HTR2B	15402	-0.2931727468967438	-0.3900126	No	
row_40	P2RX3	15467	-0.29863035678863525	-0.39017344	No	
row_41	TBXA2R	15482	-0.2996029257774353	-0.38843963	No	
row_42	RGS2	15560	-0.30466514825820923	-0.38904557	No	
row_43	DOCK5	15891	-0.323931485414505	-0.39905575	No	
row_44	AGT	16127	-0.3481743633747101	-0.405297	No	
row_45	ADRA2A	16733	-0.40047648549079895	-0.42510933	No	
