NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFAP157	4769	0.7729077339172363	-0.1561388	No	
row_1	DNAH1	5918	0.5471896529197693	-0.18281494	No	
row_2	CFAP47	7008	0.374845951795578	-0.21247701	No	
row_3	CFAP44	7693	0.28823500871658325	-0.22951283	No	
row_4	TPGS1	7799	0.27570027112960815	-0.2251358	No	
row_5	MNS1	9185	0.1300733983516693	-0.27333277	No	
row_6	TBC1D21	9695	0.08845507353544235	-0.2898175	No	
row_7	IQCG	10521	0.0312342531979084	-0.319924	No	
row_8	CFAP97D1	11122	-0.015584209002554417	-0.34203506	No	
row_9	BBS2	12063	-0.088065505027771	-0.37475288	No	
row_10	CFAP65	12648	-0.10374423116445541	-0.39359847	No	
row_11	TTLL1	13382	-0.1616872251033783	-0.41630143	No	
row_12	MEIG1	14615	-0.23921357095241547	-0.45544294	No	
row_13	CFAP43	15365	-0.28911900520324707	-0.4748984	No	
row_14	CFAP206	18174	-0.5479174852371216	-0.56402904	No	
row_15	CFAP69	18394	-0.5722450017929077	-0.55498403	No	
row_16	FSIP2	21359	-1.0648958683013916	-0.6343682	No	
row_17	CEP131	22648	-1.3885560035705566	-0.64089596	Yes	
row_18	SPAG6	22889	-1.4566352367401123	-0.60592407	Yes	
row_19	SPAG16	23441	-1.6446799039840698	-0.57697636	Yes	
row_20	NEURL1	23887	-1.8235622644424438	-0.5386352	Yes	
row_21	ARMC2	23978	-1.8645528554916382	-0.48569477	Yes	
row_22	UBE2B	24343	-2.0530893802642822	-0.43737108	Yes	
row_23	SPEF2	24619	-2.2138912677764893	-0.38083997	Yes	
row_24	DRC7	26018	-3.6826629638671875	-0.3222033	Yes	
row_25	CFAP58	26328	-4.645781517028809	-0.19348499	Yes	
row_26	TTC12	26543	-6.7373528480529785	0.0019946492	Yes	
