NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFAP157	4769	0.7729077339172363	-0.16162705	No	
row_1	DNHD1	4838	0.7562883496284485	-0.14664415	No	
row_2	DNAH1	5918	0.5471896529197693	-0.17457631	No	
row_3	CFAP47	7008	0.374845951795578	-0.20688275	No	
row_4	CFAP44	7693	0.28823500871658325	-0.22594975	No	
row_5	TPGS1	7799	0.27570027112960815	-0.2235078	No	
row_6	MNS1	9185	0.1300733983516693	-0.27263665	No	
row_7	TBC1D21	9695	0.08845507353544235	-0.289749	No	
row_8	AKAP4	10416	0.0388074591755867	-0.31595722	No	
row_9	IQCG	10521	0.0312342531979084	-0.31914836	No	
row_10	CFAP97D1	11122	-0.015584209002554417	-0.34137723	No	
row_11	BBS2	12063	-0.088065505027771	-0.374726	No	
row_12	GK2	12426	-0.10030876845121384	-0.3860287	No	
row_13	CFAP65	12648	-0.10374423116445541	-0.391943	No	
row_14	KLC3	12751	-0.11373527348041534	-0.3931451	No	
row_15	TTLL1	13382	-0.1616872251033783	-0.41311443	No	
row_16	MEIG1	14615	-0.23921357095241547	-0.4539511	No	
row_17	CFAP43	15365	-0.28911900520324707	-0.47544488	No	
row_18	CFAP206	18174	-0.5479174852371216	-0.5684581	No	
row_19	CFAP69	18394	-0.5722450017929077	-0.56342953	No	
row_20	ARMC12	18712	-0.6141355037689209	-0.561119	No	
row_21	PFN4	20769	-0.9430403113365173	-0.61665356	Yes	
row_22	CFAP54	21315	-1.0557811260223389	-0.6126828	Yes	
row_23	FSIP2	21359	-1.0648958683013916	-0.5896001	Yes	
row_24	IFT81	21628	-1.1298028230667114	-0.57348305	Yes	
row_25	CEP131	22648	-1.3885560035705566	-0.57963955	Yes	
row_26	SPAG6	22889	-1.4566352367401123	-0.554887	Yes	
row_27	CFAP221	23395	-1.6298142671585083	-0.5360948	Yes	
row_28	SPAG16	23441	-1.6446799039840698	-0.4996384	Yes	
row_29	NEURL1	23887	-1.8235622644424438	-0.47409287	Yes	
row_30	ARMC2	23978	-1.8645528554916382	-0.43423054	Yes	
row_31	UBE2B	24343	-2.0530893802642822	-0.40031108	Yes	
row_32	SPEF2	24619	-2.2138912677764893	-0.35931072	Yes	
row_33	DZIP1	26001	-3.626568555831909	-0.3271829	Yes	
row_34	DRC7	26018	-3.6826629638671875	-0.24236083	Yes	
row_35	CFAP58	26328	-4.645781517028809	-0.1462295	Yes	
row_36	TTC12	26543	-6.7373528480529785	0.0019955304	Yes	
