NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNRPD3	284	4.54874849319458	0.058197398	Yes	
row_1	PRPF8	550	3.4747393131256104	0.10084348	Yes	
row_2	PRPF6	566	3.439642906188965	0.15237561	Yes	
row_3	SNRPD2	611	3.338364839553833	0.20128132	Yes	
row_4	PRPF3	612	3.33376407623291	0.25177485	Yes	
row_5	SRSF12	936	2.767711639404297	0.28152734	Yes	
row_6	PRPF31	952	2.752002239227295	0.32264438	Yes	
row_7	SART1	1249	2.4156076908111572	0.34808096	Yes	
row_8	RNU4-1	1312	2.3622710704803467	0.3815246	Yes	
row_9	SMN2	1448	2.2414960861206055	0.410389	Yes	
row_10	SMN1	1449	2.2414960861206055	0.44433892	Yes	
row_11	GEMIN7	1651	2.056243419647217	0.46791124	Yes	
row_12	GEMIN8	1669	2.0456175804138184	0.49825397	Yes	
row_13	SNRPC	1670	2.044376850128174	0.5292183	Yes	
row_14	PRPF19	2248	1.682875633239746	0.53297144	Yes	
row_15	SNRPF	2267	1.6750173568725586	0.5576634	Yes	
row_16	COIL	2613	1.4870715141296387	0.5671904	Yes	
row_17	GEMIN6	2646	1.4731119871139526	0.58829683	Yes	
row_18	SART3	3271	1.2206332683563232	0.5832783	Yes	
row_19	RNU4ATAC	3535	1.1240376234054565	0.5903958	Yes	
row_20	DDX20	3564	1.11603581905365	0.6062446	Yes	
row_21	GEMIN4	3959	0.9929212927818298	0.6064413	Yes	
row_22	AAR2	4336	0.8846256732940674	0.6056759	Yes	
row_23	TSSC4	4453	0.8503130674362183	0.61418504	Yes	
row_24	USP4	4642	0.8015962243080139	0.61924404	Yes	
row_25	SNRPD1	4826	0.759250819683075	0.62385005	Yes	
row_26	SRSF10	5454	0.6327707171440125	0.60981464	No	
row_27	LSM4	6190	0.4969871938228607	0.58965427	No	
row_28	SNRPB	6581	0.43439099192619324	0.58154213	No	
row_29	RNU5B-1	6713	0.41537246108055115	0.58289856	No	
row_30	RNU4-2	7141	0.35704120993614197	0.5722211	No	
row_31	GEMIN5	7230	0.3437216281890869	0.5741121	No	
row_32	PRMT7	7586	0.30125245451927185	0.5653019	No	
row_33	CD2BP2	7643	0.2934662699699402	0.5676372	No	
row_34	SNRPG	7836	0.27108535170555115	0.5645104	No	
row_35	RNU5D-1	8908	0.16017138957977295	0.5265913	No	
row_36	RNU6-9	9927	0.07297191768884659	0.48934802	No	
row_37	RNU6-1	10625	0.020976735278964043	0.46340942	No	
row_38	RNU6-7	10626	0.020976735278964043	0.46372715	No	
row_39	RNU5A-1	10646	0.01906084269285202	0.4633001	No	
row_40	RNU6ATAC	11625	-0.05305623263120651	0.42726198	No	
row_41	WDR77	17424	-0.46516215801239014	0.21589404	No	
row_42	PRMT5	17806	-0.5060359835624695	0.20920607	No	
row_43	SNRPE	17884	-0.5124707221984863	0.21406738	No	
row_44	LSM2	18633	-0.6035766005516052	0.19503172	No	
row_45	RNU5F-1	19332	-0.7010844945907593	0.17935643	No	
row_46	TGS1	21437	-1.0854077339172363	0.11653748	No	
row_47	GEMIN2	21570	-1.1153298616409302	0.12845787	No	
row_48	CLNS1A	21834	-1.174080729484558	0.13633329	No	
row_49	STRAP	21937	-1.1969977617263794	0.15062076	No	
row_50	RNU5E-1	23428	-1.6405731439590454	0.11934006	No	
