NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3A	4500	0.8370980620384216	-0.14866295	No	
row_1	CTNNB1	5953	0.5415513515472412	-0.18993324	No	
row_2	TP63	6025	0.5293818116188049	-0.1795416	No	
row_3	NF1	9869	0.0781613364815712	-0.3222116	No	
row_4	NTRK1	15368	-0.28923162817955017	-0.52194506	No	
row_5	FZD3	19327	-0.7006367444992065	-0.6535818	No	
row_6	ASCL1	19874	-0.784918487071991	-0.6547571	No	
row_7	GFRA3	21086	-1.0030041933059692	-0.6755725	No	
row_8	TFAP2B	22896	-1.4582338333129883	-0.70765525	Yes	
row_9	SEMA3F	23109	-1.5196161270141602	-0.6781337	Yes	
row_10	EDNRA	23414	-1.6375551223754883	-0.6491636	Yes	
row_11	PHOX2A	23944	-1.847440242767334	-0.62348026	Yes	
row_12	SOX4	23964	-1.8578064441680908	-0.5783516	Yes	
row_13	GATA3	24240	-1.9974875450134277	-0.53940856	Yes	
row_14	PLXNA4	24290	-2.0311155319213867	-0.49113208	Yes	
row_15	NRP2	25486	-2.8682823181152344	-0.46531752	Yes	
row_16	GDNF	25693	-3.1088478565216064	-0.3963541	Yes	
row_17	INSM1	26288	-4.5029778480529785	-0.30758798	Yes	
row_18	SOX11	26517	-6.283119201660156	-0.16112345	Yes	
row_19	NRP1	26534	-6.648448467254639	0.002332823	Yes	
