NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	31	31		
GOBP_REPRODUCTION	1507		Rejected!	
GOBP_SINGLE_STRAND_BREAK_REPAIR	12		Rejected!	
GOBP_REGULATION_OF_DNA_RECOMBINATION	134	133		
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	7		Rejected!	
GOBP_MITOTIC_SPINDLE_ELONGATION	12		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	25	24		
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	19	18		
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	35	35		
GOBP_TRANSITION_METAL_ION_TRANSPORT	97	96		
GOBP_UREA_CYCLE	10		Rejected!	
GOBP_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	15	15		
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	202	201		
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	188	186		
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	18	17		
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	22	22		
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	33	31		
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	17	16		
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SULFUR_AMINO_ACID_TRANSPORT	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	961		Rejected!	
GOBP_RRNA_MODIFICATION	36	34		
GOBP_MAPK_CASCADE	798		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	40	38		
GOBP_PROTEIN_POLYUBIQUITINATION	244	239		
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	16	16		
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	662		Rejected!	
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	26	26		
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	92	88		
GOBP_ALLANTOIN_METABOLIC_PROCESS	9		Rejected!	
GOBP_MITOCHONDRIAL_FISSION	40	39		
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	6		Rejected!	
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	71	71		
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	20	19		
GOBP_MITOTIC_CELL_CYCLE	937		Rejected!	
GOBP_MITOTIC_CYTOKINESIS	84	83		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	68	66		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	34	34		
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	19	17		
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	9		Rejected!	
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	206	198		
GOBP_RESPONSE_TO_OXYGEN_RADICAL	29	27		
GOBP_PROTEIN_DENEDDYLATION	11		Rejected!	
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	10		Rejected!	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	326	315		
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	72	69		
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	56	53		
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	52	51		
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	5		Rejected!	
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	14		Rejected!	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23	22		
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	29	29		
GOBP_AUTOPHAGY_OF_MITOCHONDRION	92	89		
GOBP_MITOPHAGY	36	34		
GOBP_PEXOPHAGY	6		Rejected!	
