NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	20	-0.7436389	-1.8897756	0.0	0.2660324	0.263	3702	tags=60%, list=14%, signal=70%	
GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	Details ...	25	-0.6953685	-1.866784	0.0	0.2125525	0.377	2255	tags=32%, list=8%, signal=35%	
GOBP_REPLICATION_FORK_PROCESSING	GOBP_REPLICATION_FORK_PROCESSING	Details ...	46	-0.6195337	-1.8645312	0.0	0.14663455	0.384	3073	tags=33%, list=12%, signal=37%	
GOBP_SMOOTH_MUSCLE_CONTRACTION	GOBP_SMOOTH_MUSCLE_CONTRACTION	Details ...	104	-0.5337956	-1.8460413	0.0	0.15174043	0.497	4831	tags=40%, list=18%, signal=49%	
GOBP_SPERM_AXONEME_ASSEMBLY	GOBP_SPERM_AXONEME_ASSEMBLY	Details ...	27	-0.6828439	-1.8454783	0.0	0.12209257	0.5	3950	tags=37%, list=15%, signal=43%	
GOBP_DENDRITIC_SPINE_MORPHOGENESIS	GOBP_DENDRITIC_SPINE_MORPHOGENESIS	Details ...	55	-0.59097826	-1.8296064	0.0	0.13055749	0.577	3238	tags=31%, list=12%, signal=35%	
GOBP_SPERM_FLAGELLUM_ASSEMBLY	GOBP_SPERM_FLAGELLUM_ASSEMBLY	Details ...	37	-0.6385287	-1.8291076	0.0	0.11279127	0.578	5829	tags=43%, list=22%, signal=55%	
GOBP_INTEGRIN_ACTIVATION	GOBP_INTEGRIN_ACTIVATION	Details ...	23	-0.69131935	-1.8259035	0.0	0.10506499	0.604	1689	tags=39%, list=6%, signal=42%	
GOBP_SECONDARY_METABOLIC_PROCESS	GOBP_SECONDARY_METABOLIC_PROCESS	Details ...	57	-0.56175077	-1.7906845	0.0016366612	0.16058737	0.797	6512	tags=40%, list=24%, signal=53%	
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	Details ...	24	-0.67715573	-1.7898859	0.0	0.14663032	0.802	5297	tags=75%, list=20%, signal=94%	
GOBP_FORELIMB_MORPHOGENESIS	GOBP_FORELIMB_MORPHOGENESIS	Details ...	37	-0.62503844	-1.786454	0.0	0.14040072	0.815	5523	tags=49%, list=21%, signal=61%	
GOBP_MELANOCYTE_DIFFERENTIATION	GOBP_MELANOCYTE_DIFFERENTIATION	Details ...	25	-0.66934866	-1.7840204	0.0017094017	0.13316388	0.825	5779	tags=48%, list=22%, signal=61%	
GOBP_NEPHRON_TUBULE_FORMATION	GOBP_NEPHRON_TUBULE_FORMATION	Details ...	19	-0.705845	-1.7817028	0.0017123288	0.12678233	0.836	3756	tags=53%, list=14%, signal=61%	
GOBP_REGULATION_OF_HEART_RATE	GOBP_REGULATION_OF_HEART_RATE	Details ...	96	-0.52589875	-1.7751299	0.0	0.13183546	0.864	5949	tags=40%, list=22%, signal=51%	
GOBP_HOMOLOGOUS_RECOMBINATION	GOBP_HOMOLOGOUS_RECOMBINATION	Details ...	63	-0.55603033	-1.7729573	0.0	0.12649858	0.875	3108	tags=32%, list=12%, signal=36%	
GOBP_CENTROMERE_COMPLEX_ASSEMBLY	GOBP_CENTROMERE_COMPLEX_ASSEMBLY	Details ...	29	-0.6468874	-1.7703029	0.0016583748	0.12374895	0.883	1203	tags=28%, list=5%, signal=29%	
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	Details ...	105	-0.50956833	-1.7631798	0.0	0.13051634	0.91	4910	tags=35%, list=18%, signal=43%	
GOBP_MOTILE_CILIUM_ASSEMBLY	GOBP_MOTILE_CILIUM_ASSEMBLY	Details ...	62	-0.5615417	-1.760864	0.0	0.12735574	0.921	5283	tags=35%, list=20%, signal=44%	
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	Details ...	23	-0.66859245	-1.7595059	0.0018050541	0.12264123	0.922	4073	tags=57%, list=15%, signal=67%	
GOBP_ECTOPIC_GERM_CELL_PROGRAMMED_CELL_DEATH	GOBP_ECTOPIC_GERM_CELL_PROGRAMMED_CELL_DEATH	Details ...	18	-0.7057074	-1.7576007	0.0017793594	0.11967115	0.929	3846	tags=39%, list=14%, signal=45%	
GOBP_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	GOBP_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT		50	-0.57776207	-1.7542994	0.0033898305	0.1195733	0.938	5315	tags=48%, list=20%, signal=60%	
GOBP_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS		20	-0.6935546	-1.7508221	0.003508772	0.119846724	0.946	4222	tags=50%, list=16%, signal=59%	
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT	GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT		132	-0.49415863	-1.744359	0.0	0.12627342	0.961	4715	tags=37%, list=18%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_HEART_RATE	GOBP_POSITIVE_REGULATION_OF_HEART_RATE		26	-0.65813804	-1.7357802	0.006557377	0.13709724	0.973	4133	tags=46%, list=16%, signal=55%	
GOBP_REGULATION_OF_INTEGRIN_ACTIVATION	GOBP_REGULATION_OF_INTEGRIN_ACTIVATION		16	-0.70883816	-1.7161907	0.0034188034	0.17212826	0.99	1598	tags=44%, list=6%, signal=47%	
GOBP_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS	GOBP_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS		41	-0.59309685	-1.715226	0.0017605633	0.16830593	0.991	5204	tags=41%, list=20%, signal=51%	
GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS		121	-0.4878912	-1.7135853	0.0	0.16557963	0.993	5348	tags=41%, list=20%, signal=51%	
GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION		25	-0.65451485	-1.7124718	0.0017241379	0.16195342	0.993	5297	tags=52%, list=20%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION		39	-0.59066665	-1.7094405	0.0052724076	0.16321288	0.995	6178	tags=49%, list=23%, signal=63%	
GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT	GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT		104	-0.49776295	-1.7087269	0.0	0.15911672	0.997	4715	tags=37%, list=18%, signal=44%	
GOBP_KINETOCHORE_ORGANIZATION	GOBP_KINETOCHORE_ORGANIZATION		22	-0.6552757	-1.706243	0.0035460992	0.15934104	0.999	2182	tags=36%, list=8%, signal=40%	
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY		55	-0.5555374	-1.7004529	0.0032573289	0.16629036	0.999	3073	tags=29%, list=12%, signal=33%	
GOBP_RELAXATION_OF_CARDIAC_MUSCLE	GOBP_RELAXATION_OF_CARDIAC_MUSCLE		17	-0.7131632	-1.6985683	0.0	0.16542636	0.999	1514	tags=29%, list=6%, signal=31%	
GOBP_ARTERY_MORPHOGENESIS	GOBP_ARTERY_MORPHOGENESIS		66	-0.52844685	-1.69279	0.0016286644	0.17440169	0.999	3702	tags=33%, list=14%, signal=39%	
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE	GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE		20	-0.66292024	-1.6900926	0.005033557	0.17604212	0.999	5436	tags=40%, list=20%, signal=50%	
GOBP_NEPHRON_DEVELOPMENT	GOBP_NEPHRON_DEVELOPMENT		139	-0.47407535	-1.6857855	0.0	0.18104431	1.0	4715	tags=36%, list=18%, signal=43%	
GOBP_KINETOCHORE_ASSEMBLY	GOBP_KINETOCHORE_ASSEMBLY		17	-0.674939	-1.6856028	0.0068259384	0.17645857	1.0	1203	tags=35%, list=5%, signal=37%	
GOBP_NEPHRON_MORPHOGENESIS	GOBP_NEPHRON_MORPHOGENESIS		73	-0.5236542	-1.684735	0.0	0.17398869	1.0	4218	tags=37%, list=16%, signal=44%	
GOBP_MESONEPHROS_DEVELOPMENT	GOBP_MESONEPHROS_DEVELOPMENT		93	-0.50444555	-1.684094	0.0	0.17097008	1.0	4218	tags=35%, list=16%, signal=42%	
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY		36	-0.5914342	-1.6839097	0.0034904014	0.1669154	1.0	4410	tags=42%, list=17%, signal=50%	
GOBP_DENDRITIC_SPINE_DEVELOPMENT	GOBP_DENDRITIC_SPINE_DEVELOPMENT		87	-0.50364196	-1.683674	0.0015174507	0.16322815	1.0	5315	tags=38%, list=20%, signal=47%	
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING	GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING		35	-0.5961143	-1.6816777	0.0065681445	0.16379152	1.0	4638	tags=43%, list=17%, signal=52%	
GOBP_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	GOBP_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS		26	-0.6245857	-1.6794405	0.015517241	0.16442916	1.0	4649	tags=42%, list=17%, signal=51%	
GOBP_MOLTING_CYCLE_PROCESS	GOBP_MOLTING_CYCLE_PROCESS		91	-0.49674225	-1.6792729	0.0	0.16101226	1.0	6257	tags=42%, list=24%, signal=54%	
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT		40	-0.57045835	-1.6771818	0.0016260162	0.16163087	1.0	3702	tags=43%, list=14%, signal=49%	
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY		34	-0.59948725	-1.6768749	0.0016286644	0.15876621	1.0	4218	tags=35%, list=16%, signal=42%	
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES		154	-0.46395943	-1.6757036	0.0	0.15764801	1.0	5135	tags=40%, list=19%, signal=49%	
GOBP_MESONEPHRIC_TUBULE_MORPHOGENESIS	GOBP_MESONEPHRIC_TUBULE_MORPHOGENESIS		60	-0.52452755	-1.6722802	0.0016528926	0.16068715	1.0	4218	tags=35%, list=16%, signal=42%	
GOBP_RETINAL_METABOLIC_PROCESS	GOBP_RETINAL_METABOLIC_PROCESS		17	-0.69247925	-1.6713735	0.008802817	0.15934023	1.0	673	tags=18%, list=3%, signal=18%	
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION		59	-0.5390637	-1.6705813	0.001618123	0.15763	1.0	5559	tags=37%, list=21%, signal=47%	
GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY		24	-0.62999755	-1.6661488	0.0052724076	0.16339105	1.0	1928	tags=29%, list=7%, signal=31%	
GOBP_METANEPHROS_DEVELOPMENT	GOBP_METANEPHROS_DEVELOPMENT		81	-0.5077935	-1.6656363	0.0	0.16105929	1.0	7715	tags=53%, list=29%, signal=75%	
GOBP_POSTSYNAPSE_ORGANIZATION	GOBP_POSTSYNAPSE_ORGANIZATION		178	-0.4580631	-1.6639342	0.0014556041	0.16118635	1.0	4863	tags=35%, list=18%, signal=43%	
GOBP_RENAL_SYSTEM_DEVELOPMENT	GOBP_RENAL_SYSTEM_DEVELOPMENT		297	-0.43085983	-1.6589026	0.0	0.16799478	1.0	4715	tags=33%, list=18%, signal=39%	
GOBP_REGULATION_OF_ANIMAL_ORGAN_FORMATION	GOBP_REGULATION_OF_ANIMAL_ORGAN_FORMATION		25	-0.6299282	-1.6564113	0.012259195	0.1697341	1.0	4410	tags=40%, list=17%, signal=48%	
GOBP_MOLTING_CYCLE	GOBP_MOLTING_CYCLE		111	-0.47158742	-1.6540108	0.0	0.17146504	1.0	6257	tags=40%, list=24%, signal=52%	
GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT	GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT		50	-0.5467068	-1.6530191	0.0051020407	0.17039841	1.0	4741	tags=44%, list=18%, signal=53%	
GOBP_EMBRYONIC_PATTERN_SPECIFICATION	GOBP_EMBRYONIC_PATTERN_SPECIFICATION		64	-0.52050847	-1.6522372	0.0	0.16923453	1.0	4029	tags=28%, list=15%, signal=33%	
GOBP_ORGAN_INDUCTION	GOBP_ORGAN_INDUCTION		21	-0.63321424	-1.6517096	0.008431703	0.16737753	1.0	4218	tags=38%, list=16%, signal=45%	
GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY	GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY		22	-0.6307215	-1.6512114	0.008090615	0.16545354	1.0	4321	tags=50%, list=16%, signal=60%	
GOBP_MESODERMAL_CELL_DIFFERENTIATION	GOBP_MESODERMAL_CELL_DIFFERENTIATION		29	-0.61182034	-1.650914	0.003327787	0.16317298	1.0	3981	tags=34%, list=15%, signal=41%	
GOBP_CHLORIDE_TRANSPORT	GOBP_CHLORIDE_TRANSPORT		109	-0.47376803	-1.6493303	0.0	0.16354074	1.0	4789	tags=37%, list=18%, signal=45%	
GOBP_NEUROTRANSMITTER_UPTAKE	GOBP_NEUROTRANSMITTER_UPTAKE		44	-0.55946267	-1.6471254	0.0033955858	0.16554345	1.0	3970	tags=36%, list=15%, signal=43%	
GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM		24	-0.61971015	-1.6402595	0.012027492	0.17601562	1.0	2761	tags=29%, list=10%, signal=33%	
GOBP_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION		50	-0.5314901	-1.6401209	0.001607717	0.1735372	1.0	4064	tags=36%, list=15%, signal=42%	
GOBP_NEUROTRANSMITTER_REUPTAKE	GOBP_NEUROTRANSMITTER_REUPTAKE		35	-0.5793666	-1.6388628	0.0032258064	0.17331523	1.0	3970	tags=37%, list=15%, signal=44%	
GOBP_DNA_TEMPLATED_DNA_REPLICATION	GOBP_DNA_TEMPLATED_DNA_REPLICATION		160	-0.45340988	-1.6379097	0.0015337423	0.17277578	1.0	3116	tags=27%, list=12%, signal=30%	
GOBP_ANIMAL_ORGAN_FORMATION	GOBP_ANIMAL_ORGAN_FORMATION		60	-0.51858544	-1.6378415	0.0016778524	0.17033832	1.0	4599	tags=33%, list=17%, signal=40%	
GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE	GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE		17	-0.6637591	-1.6364145	0.015517241	0.17067012	1.0	2183	tags=29%, list=8%, signal=32%	
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES		39	-0.56533647	-1.6353873	0.0017421603	0.17032711	1.0	3360	tags=36%, list=13%, signal=41%	
GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_URETERIC_BUD_MORPHOGENESIS	GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_URETERIC_BUD_MORPHOGENESIS		18	-0.66985065	-1.6329061	0.00862069	0.17263857	1.0	3756	tags=44%, list=14%, signal=52%	
