NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	Details ...	68	0.7667941	2.6023402	0.0	0.0	0.0	1883	tags=40%, list=7%, signal=43%	
GOBP_DE_NOVO_PROTEIN_FOLDING	GOBP_DE_NOVO_PROTEIN_FOLDING	Details ...	41	0.7951346	2.4329004	0.0	0.0	0.0	1883	tags=34%, list=7%, signal=37%	
GOBP_PROTEIN_FOLDING	GOBP_PROTEIN_FOLDING	Details ...	214	0.6034332	2.4309225	0.0	0.0	0.0	2321	tags=23%, list=9%, signal=25%	
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING	GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING	Details ...	32	0.8312898	2.4303343	0.0	0.0	0.0	1883	tags=41%, list=7%, signal=44%	
GOBP_CELLULAR_RESPONSE_TO_HEAT	GOBP_CELLULAR_RESPONSE_TO_HEAT	Details ...	63	0.6801846	2.3135169	0.0	0.0	0.0	2256	tags=33%, list=8%, signal=36%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	Details ...	228	0.558178	2.2605171	0.0	0.0	0.0	3991	tags=36%, list=15%, signal=42%	
GOBP_PROTEIN_REFOLDING	GOBP_PROTEIN_REFOLDING	Details ...	22	0.83692616	2.2541983	0.0	0.0	0.0	2067	tags=50%, list=8%, signal=54%	
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	Details ...	22	0.8085057	2.24268	0.0	0.0	0.0	34	tags=23%, list=0%, signal=23%	
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	62	0.65806764	2.2341156	0.0	0.0	0.0	3926	tags=48%, list=15%, signal=57%	
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS	GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS	Details ...	64	0.6424894	2.2181137	0.0	1.16625764E-4	0.001	2855	tags=31%, list=11%, signal=35%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	461	0.4959122	2.1533191	0.0	7.551542E-4	0.007	4673	tags=36%, list=18%, signal=42%	
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	Details ...	18	0.8224505	2.1435268	0.0	0.0010936878	0.011	3232	tags=72%, list=12%, signal=82%	
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	Details ...	15	0.8608532	2.1388967	0.0	0.0011912684	0.013	837	tags=47%, list=3%, signal=48%	
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	Details ...	160	0.54105955	2.1149518	0.0	0.002119946	0.024	2771	tags=23%, list=10%, signal=26%	
GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	Details ...	37	0.695818	2.1024725	0.0	0.002377708	0.029	2354	tags=32%, list=9%, signal=36%	
GOBP_RESPONSE_TO_HEAT	GOBP_RESPONSE_TO_HEAT	Details ...	106	0.56716424	2.0784929	0.0	0.0035227782	0.046	2256	tags=23%, list=8%, signal=25%	
