NAME	TITLE	SCORE	
HSPA1A		20.129679	
HSPA1B		18.653751	
HBZ		18.359581	
HSPH1		16.154243	
FKBP4		15.160653	
HSP90AB1		14.628531	
CLEC17A		14.2852125	
HSPA4		13.905518	
REPIN1		13.043494	
DDIT4		12.451371	
AHSA1		12.046039	
HSP90AA1		11.889312	
CACYBP		11.73884	
STIP1		11.503873	
OLIG1		10.9229	
IPO13		10.902952	
EHD4		10.714838	
SRRT		10.292825	
FAM78A		10.201966	
EDC4		9.962737	
RBM14-RBM4		9.394486	
VKORC1		9.034758	
RBM14		8.954391	
TRAM2		8.899496	
CIITA		8.883656	
UBE2J2		8.867867	
CCT3		8.75987	
C19orf25		8.741099	
BLK		8.587422	
BEND4		8.51409	
DFFA		8.449816	
ATPSCKMT		8.372394	
SFPQ		8.172944	
NSUN5		8.14222	
HSPD1		8.059305	
RRNAD1		8.047564	
ZC3H4		7.985987	
ITGA10		7.882008	
APBA3		7.8594036	
ICOSLG		7.788757	
RRP1		7.7881193	
PPP1R16B		7.76645	
GPR132		7.756687	
HSPA8		7.646491	
CXXC1		7.636481	
MIR7846		7.6002326	
MDGA1		7.58297	
MIDEAS		7.5337973	
CRACR2A		7.444823	
KIF21B		7.404562	
LOC102723996		7.3877335	
SIPA1L3		7.383117	
MEN1		7.340291	
POLDIP3		7.31905	
AVIL		7.292023	
MIR600HG		7.2830596	
SGSM3		7.257408	
RHOBTB2		7.2255154	
TMEM150B		7.1356816	
DPP9		7.123373	
N4BP3		7.118087	
TAF8		7.102427	
MIR10392		7.096654	
SEC13		6.99845	
TAPBPL		6.965654	
CCDC151		6.9520984	
ALG3		6.9182324	
EI24		6.8562903	
MGAT1		6.854179	
AEN		6.853004	
CCT6A		6.7530594	
DNAJC5		6.724454	
COMMD5		6.7179413	
RCC1		6.699465	
PCNX3		6.6822085	
UBTF		6.642439	
FLCN		6.631974	
FOSL2		6.629748	
TCF20		6.6194534	
CCDC88B		6.61943	
TRIM28		6.6181884	
PDXK		6.600279	
LINC02288		6.580413	
LCN10		6.5755076	
XAB2		6.5701833	
SLC27A4		6.4958706	
PTPN23		6.481908	
GCN1		6.4489436	
BRI3BP		6.37425	
NCDN		6.3198557	
SOCS1		6.303387	
JADE2		6.26606	
NEK8		6.2444158	
DEF8		6.2402983	
NIBAN3		6.216586	
FAM53B		6.209944	
LOC105370792		6.195602	
ITGB7		6.1719995	
CYB561D1		6.129206	
LOC101927157		6.1256595	
DDX23		6.124272	
POLR2E		6.1154566	
HSPB1		6.114035	
CD300LD		6.110888	
MVB12A		6.076687	
ALKBH5		6.0728884	
CEBPD		6.0575743	
DGKZ		6.0509424	
CYB561A3		6.031359	
CCND2-AS1		6.022499	
RPS9		6.010493	
PMEPA1		5.9845176	
LETM1		5.9671745	
CNPY3		5.9402227	
PUF60		5.929357	
GRK2		5.928964	
EIF4EBP1		5.927394	
VAV3-AS1		5.917213	
IRS2		5.9115176	
FZD2		5.908283	
NFKB2		5.9081044	
ZNF786		5.907211	
ZNF646		5.8878536	
NCF1C		5.8839087	
DCTN1		5.877427	
ZNF316		5.846518	
ANAPC11		5.8462577	
SLC38A10		5.8350744	
HM13		5.8253407	
DNLZ		5.797499	
VPS18		5.780428	
SRCAP		5.776337	
SAP25		5.7718554	
MAB21L3		5.747413	
TICAM1		5.742413	
CCDC78		5.7410955	
EGOT		5.728726	
SLC5A6		5.723017	
KHSRP		5.7176876	
SUGT1		5.710378	
BATF		5.6912727	
NUP62		5.6880956	
PPFIBP2		5.676592	
TBC1D27P		5.6740503	
ZNF740		5.6631536	
ARID1B		5.629407	
PSD4		5.6255174	
BCOR		5.5808883	
PTPRCAP		5.5675793	
SMG9		5.5667253	
NTMT1		5.540286	
SEMA4B		5.514193	
WNT16		5.512742	
TNRC18		5.504322	
RAPGEF1		5.5032935	
FOXK2		5.48949	
LINC02605		5.472298	
PILRB		5.467167	
OPA3		5.453741	
ADGRG5		5.4330597	
HSPE1		5.432236	
HYOU1		5.404917	
MIR4442		5.3954206	
DEXI		5.3943725	
DNAJA1		5.390362	
DDX41		5.3772783	
ARHGAP45		5.3715577	
SLC25A6		5.362949	
WDFY4		5.3610725	
ARFGAP1		5.3474607	
DDX39A		5.3450375	
HTT		5.3450346	
LOC100499194		5.331363	
KIAA0100		5.3165627	
TRIP6		5.290462	
ARL8A		5.288953	
RUBCN		5.2886195	
CCT5		5.282976	
SNORA105A		5.250184	
SNORA105B		5.250184	
LBH		5.23647	
ZFYVE19		5.2302837	
CXCR4		5.212184	
NFXL1		5.2114024	
CDRT15P1		5.2092414	
ERCC4		5.201663	
CFAP298		5.20143	
AKAP13		5.1975455	
RUVBL1		5.1763186	
SLC12A7		5.175804	
PALM2AKAP2		5.1453505	
P2RY8		5.1332955	
KMT2D		5.1284933	
CD72		5.1148376	
RHEX		5.093585	
DRICH1		5.075056	
LINC00958		5.0730643	
TATDN2		5.0665493	
HCFC1		5.0621896	
LOC644634		5.058862	
ITPR3		5.034808	
AHNAK2		5.029705	
RABEP2		5.0294647	
CAPN14		5.026122	
TMEM265		5.0256443	
TNFRSF13C		4.9793353	
UCKL1		4.9757247	
CAPN15		4.962882	
MFSD2A		4.9420776	
PWWP3A		4.9323063	
CTSZ		4.9276233	
RNF220		4.9267516	
SPTBN5		4.9229293	
FAM71F2		4.921825	
ZNF576		4.919468	
MIR3652		4.9161277	
MED12		4.9154134	
NPIPB2		4.9079065	
CCT7		4.8978305	
EIF3CL		4.896118	
PLEC		4.894502	
KAT2A		4.892725	
ITFG2		4.889659	
NGRN		4.8876734	
C7orf61		4.886023	
TRAF3		4.8836265	
NME6		4.880002	
EIF3C		4.8799505	
IRAK1		4.8778133	
NLRP12		4.8652587	
LINC01800		4.861488	
DGKD		4.8603573	
LINC00205		4.845091	
CYP20A1		4.844392	
CYC1		4.8248925	
NACC1		4.8233914	
IL17RA		4.802435	
SNX29P1		4.8010936	
VLDLR		4.793685	
WDR34		4.7882686	
CD37		4.779488	
PIK3R5		4.7769217	
TMEM184B		4.755478	
PNPLA6		4.7471075	
USP11		4.7458334	
FBXL14		4.744623	
TXLNA		4.7436023	
GHRL		4.7336683	
PRKCSH		4.733499	
B9D2		4.7299924	
RIOX1		4.7289143	
BCL9L		4.7269826	
INPP5D		4.7248774	
TIMELESS		4.7226224	
PPID		4.689344	
ALDH18A1		4.682424	
THRIL		4.674982	
LSG1		4.6727943	
ZGLP1		4.66571	
AP5Z1		4.6519284	
MARCHF3		4.6449513	
GAK		4.642898	
RFPL4AL1		4.63959	
MYLIP		4.635844	
LINC02470		4.6355996	
L3MBTL2		4.6344233	
MAP3K10		4.625539	
TGFB1		4.621835	
DDX49		4.6146407	
RNASE6		4.6079216	
KIF1C		4.601279	
TMEM214		4.599705	
LAGE3		4.5906973	
STARD10		4.5893464	
PTOV1		4.581255	
RNPS1		4.579725	
PER1		4.577716	
MCPH1		4.5762153	
LINC02289		4.5741997	
ARL11		4.5715714	
ARHGAP30		4.570173	
HLA-DOB		4.5588574	
TSC22D3		4.552223	
ARMH2		4.5517783	
SNRPD3		4.5487485	
MIR6894		4.5476856	
SYVN1		4.5313454	
LOC101927179		4.5239973	
CALR		4.521377	
DHX9		4.5179453	
LOC100506472		4.5174756	
STAG3L5P-PVRIG2P-PILRB		4.50859	
PIK3CD		4.502767	
TAPT1-AS1		4.5011096	
FAM168B		4.4844	
EHD1		4.4546804	
PFAS		4.4485645	
LSM7		4.447145	
FAM193A		4.445089	
LINC00494		4.436517	
TULP3		4.425337	
PIP4K2B		4.420795	
MIR8072		4.4071145	
ST6GAL1		4.4029355	
RBM15B		4.399068	
