NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLK	26	8.668144226074219	0.09444286	Yes	
row_1	PIK3CD	325	4.21500301361084	0.12960935	Yes	
row_2	RFTN1	411	3.7978017330169678	0.16821294	Yes	
row_3	CD79A	490	3.5618350505828857	0.20448278	Yes	
row_4	LAT2	707	3.0567471981048584	0.22998995	Yes	
row_5	CD19	761	2.973233699798584	0.26072267	Yes	
row_6	NFKB1	782	2.937706232070923	0.29230836	Yes	
row_7	MIR18A	792	2.918072462081909	0.32409257	Yes	
row_8	CD79B	845	2.8188393115997314	0.35316336	Yes	
row_9	MS4A1	922	2.7218992710113525	0.3802622	Yes	
row_10	SH2B2	1075	2.530388116836548	0.40238768	Yes	
row_11	NFKBIA	1102	2.509754180908203	0.42903605	Yes	
row_12	LCK	1112	2.4968490600585938	0.45618325	Yes	
row_13	CD22	1167	2.438944101333618	0.48099658	Yes	
row_14	LIME1	1233	2.3863906860351562	0.50481665	Yes	
row_15	NFAM1	1259	2.3607850074768066	0.5298628	Yes	
row_16	BLNK	1403	2.2260608673095703	0.54897743	Yes	
row_17	FCRL3	1498	2.146862268447876	0.5690674	Yes	
row_18	CD81	1521	2.126923084259033	0.5916522	Yes	
row_19	GRB2	2162	1.6748485565185547	0.5859625	Yes	
row_20	LPXN	2221	1.6494513750076294	0.60193384	Yes	
row_21	PTPN6	2445	1.5347844362258911	0.6104227	Yes	
row_22	BANK1	2829	1.3512394428253174	0.61085904	Yes	
row_23	SYK	3025	1.2797832489013672	0.61759627	Yes	
row_24	FCGR2B	3292	1.183858871459961	0.6206008	Yes	
row_25	CD300A	3434	1.129959225654602	0.6277244	Yes	
row_26	FOXP1	3488	1.112254023551941	0.63797057	Yes	
row_27	GCSAM	3525	1.0990867614746094	0.6487127	Yes	
row_28	ABL1	3851	0.9973543882369995	0.6474399	Yes	
row_29	PLCG2	3894	0.9851963520050049	0.65670204	Yes	
row_30	STAP1	4211	0.8915583491325378	0.6546039	No	
row_31	NCKAP1L	4844	0.7306225895881653	0.6388213	No	
row_32	ITK	5163	0.6658521890640259	0.6341631	No	
row_33	MIR19A	5166	0.6656214594841003	0.6414151	No	
row_34	BTK	5575	0.588129997253418	0.6325084	No	
row_35	NFATC2	5691	0.5665888786315918	0.6344103	No	
row_36	CMTM3	6112	0.4925389885902405	0.6239989	No	
row_37	KLHL6	6339	0.45261892676353455	0.6204616	No	
row_38	VAV3	6456	0.4355834424495697	0.62088364	No	
row_39	PRKCB	6680	0.4022213816642761	0.6169046	No	
row_40	GPS2	7010	0.36003366112709045	0.60846514	No	
row_41	SOS1	7219	0.330342561006546	0.6042603	No	
row_42	BCL2	9083	0.13002848625183105	0.5354588	No	
row_43	TEC	9301	0.11225032061338425	0.52851385	No	
row_44	CTLA4	10148	0.0426780991256237	0.4970904	No	
row_45	BAX	10404	0.028611021116375923	0.48779216	No	
row_46	PRKCH	11694	-0.06704563647508621	0.4399364	No	
row_47	PTPN22	12556	-0.10877945274114609	0.4086752	No	
row_48	MEF2C	12760	-0.1234033927321434	0.4023808	No	
row_49	TMIGD2	14031	-0.2050735354423523	0.3567608	No	
row_50	PLEKHA1	14835	-0.2574487626552582	0.32932273	No	
row_51	SLC39A10	15015	-0.27206236124038696	0.3255696	No	
row_52	NFKBIZ	15407	-0.30491822957992554	0.31418604	No	
row_53	GCSAML	17688	-0.5087732076644897	0.23383346	No	
row_54	MNDA	18623	-0.621254026889801	0.20546177	No	
row_55	LYN	18755	-0.6381682753562927	0.20754848	No	
row_56	BMX	18976	-0.6679949164390564	0.20660834	No	
row_57	PTPRC	19649	-0.7701858878135681	0.18975328	No	
row_58	PLCL2	19846	-0.801152765750885	0.19118376	No	
row_59	MAPK1	22150	-1.2835785150527954	0.11849353	No	
row_60	CD38	22279	-1.3150748014450073	0.12814504	No	
row_61	BCAR1	25650	-3.1088805198669434	0.0353239	No	
