NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.1334737	Yes	
row_1	HSPA1B	1	18.848594665527344	0.25713634	Yes	
row_2	HSP90AB1	5	15.46628475189209	0.3584951	Yes	
row_3	HSP90AA1	11	12.175318717956543	0.43818694	Yes	
row_4	IRAK1	245	4.69612979888916	0.46021333	Yes	
row_5	CREBBP	324	4.217390537261963	0.48494235	Yes	
row_6	CHORDC1	337	4.147711277008057	0.5117024	Yes	
row_7	HSF1	398	3.8554317951202393	0.53473526	Yes	
row_8	POLR2D	467	3.628669023513794	0.5559788	Yes	
row_9	MTOR	573	3.3468198776245117	0.5739782	Yes	
row_10	DNAJB6	819	2.86489200592041	0.58353776	Yes	
row_11	BAG3	948	2.6859683990478516	0.59633434	Yes	
row_12	HTRA2	1024	2.6021499633789062	0.6105791	Yes	
row_13	DAXX	1043	2.5819191932678223	0.62684005	Yes	
row_14	DNAJB1	1113	2.496710777282715	0.6406193	Yes	
row_15	HMOX1	1145	2.4577786922454834	0.65557563	Yes	
row_16	HIKESHI	1270	2.350318670272827	0.66632086	Yes	
row_17	STUB1	1535	2.1121010780334473	0.67022514	Yes	
row_18	HSPA6	1841	1.8777662515640259	0.6710463	Yes	
row_19	EP300	2164	1.672788381576538	0.6698817	Yes	
row_20	CLPB	2350	1.5847290754318237	0.6733043	Yes	
row_21	DNAJC7	2871	1.335152506828308	0.6624599	No	
row_22	GSK3B	3230	1.2021582126617432	0.65685034	No	
row_23	TRPV1	3449	1.1267825365066528	0.65602434	No	
row_24	PRKACA	3640	1.0638923645019531	0.6558413	No	
row_25	IER5	3869	0.9916498064994812	0.65375173	No	
row_26	TRPV4	4715	0.7607024908065796	0.62688583	No	
row_27	MAPT	4745	0.756955623626709	0.63075876	No	
row_28	VCP	4999	0.700782299041748	0.6258183	No	
row_29	HDAC2	6179	0.48006394505500793	0.5845193	No	
row_30	STAC	7061	0.35183951258659363	0.5536137	No	
row_31	MAPKAPK2	7313	0.3191685080528259	0.546245	No	
row_32	RBBP7	7358	0.31339511275291443	0.5466423	No	
row_33	TFEC	7906	0.24682822823524475	0.5276396	No	
row_34	IL1A	8669	0.17058126628398895	0.5000312	No	
row_35	HSBP1	9045	0.13350725173950195	0.4867695	No	
row_36	HSP90AB4P	9422	0.10327734053134918	0.4732718	No	
row_37	NF1	9949	0.05942114070057869	0.4538313	No	
row_38	CETN1	10143	0.04284706339240074	0.44683623	No	
row_39	PDCD6	10416	0.02760358527302742	0.43676287	No	
row_40	PTGS2	10498	0.0195035170763731	0.43383712	No	
row_41	SUMO1	11409	-0.04520684853196144	0.39982644	No	
row_42	TCIM	12931	-0.13981258869171143	0.3434016	No	
row_43	SIRT1	14854	-0.25890740752220154	0.27264032	No	
row_44	SLU7	16649	-0.4057310223579407	0.20766793	No	
row_45	ATXN3	17210	-0.4562627077102661	0.18954924	No	
row_46	HSBP1L1	17309	-0.4689043164253235	0.18893102	No	
row_47	ATR	17539	-0.4917477071285248	0.18352394	No	
row_48	YWHAE	17966	-0.5389649271965027	0.17099968	No	
row_49	LYN	18755	-0.6381682753562927	0.14547877	No	
row_50	ATM	19102	-0.6887415051460266	0.1369532	No	
row_51	FGF1	19364	-0.7258984446525574	0.13187593	No	
row_52	ST8SIA1	19776	-0.7900664210319519	0.12156462	No	
row_53	TPR	19789	-0.7919413447380066	0.12630801	No	
row_54	EIF2S1	20563	-0.9267935156822205	0.10324624	No	
row_55	SLC52A3	20799	-0.970111608505249	0.10075142	No	
row_56	SCARA5	21734	-1.1790680885314941	0.07327504	No	
row_57	CD34	21812	-1.1969040632247925	0.078224815	No	
row_58	THBS1	24115	-1.962699055671692	0.0043157204	No	
row_59	CXCL10	24542	-2.207533359527588	0.0027386772	No	
row_60	DNAJC2	24899	-2.4315152168273926	0.0052701626	No	
row_61	DHX36	25589	-3.0387754440307617	-7.6840783E-4	No	
row_62	ZFAND1	26482	-5.846132755279541	0.003958491	No	
