NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIRT6	1108	2.502398729324341	0.010713397	No	
row_1	CENPX	2640	1.4386491775512695	-0.016788362	No	
row_2	POGZ	2677	1.422587513923645	0.011663116	No	
row_3	RNF4	3507	1.1051256656646729	0.0036048812	No	
row_4	TRAPPC12	4299	0.8682997822761536	-0.0079847025	No	
row_5	OIP5	4652	0.773964524269104	-0.005021622	No	
row_6	MIS18A	7106	0.3464018702507019	-0.090123996	No	
row_7	CENPO	8192	0.2165861278772354	-0.12643838	No	
row_8	NASP	9252	0.11597302556037903	-0.16388193	No	
row_9	CENPV	9271	0.11413677036762238	-0.1621682	No	
row_10	CENPW	9427	0.10300218313932419	-0.1658461	No	
row_11	CENPP	9762	0.07572627812623978	-0.17683521	No	
row_12	CENPT	11517	-0.05478192865848541	-0.24172902	No	
row_13	RB1	11658	-0.06344228237867355	-0.24567102	No	
row_14	MIS12	14023	-0.20457229018211365	-0.33039406	No	
row_15	CENPN	15128	-0.2808414697647095	-0.36607754	No	
row_16	SENP6	16299	-0.37094631791114807	-0.40235808	No	
row_17	HJURP	18871	-0.6523618102073669	-0.48549274	No	
row_18	HELLS	20847	-0.9798071980476379	-0.53932595	No	
row_19	CENPA	22421	-1.3496984243392944	-0.5702728	No	
row_20	CENPF	22428	-1.3533421754837036	-0.5421427	No	
row_21	KNTC1	25314	-2.7587199211120605	-0.5929663	Yes	
row_22	CENPE	25838	-3.3553872108459473	-0.5423541	Yes	
row_23	CENPK	26071	-3.8620529174804688	-0.47016922	Yes	
row_24	CENPH	26145	-4.087581634521484	-0.38727224	Yes	
row_25	CENPC	26146	-4.088531970977783	-0.30160674	Yes	
row_26	CENPI	26167	-4.165022373199463	-0.21509163	Yes	
row_27	DLGAP5	26181	-4.209806442260742	-0.12737459	Yes	
row_28	ITGB3BP	26536	-6.806962013244629	0.0019203497	Yes	
