NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.20169309	Yes	
row_1	HSPA1B	1	18.848594665527344	0.38856065	Yes	
row_2	HSPH1	3	16.519834518432617	0.5523029	Yes	
row_3	HSPA8	36	7.950799942016602	0.6299232	Yes	
row_4	HSPE1	135	5.586165904998779	0.6816149	Yes	
row_5	GAK	331	4.187198162078857	0.7157844	Yes	
row_6	HSPA5	478	3.5938503742218018	0.7459165	Yes	
row_7	CD74	510	3.5083160400390625	0.77953106	Yes	
row_8	DNAJB1	1113	2.496710777282715	0.7816147	Yes	
row_9	HSPA7	1677	1.9997566938400269	0.7802401	Yes	
row_10	HSPA9	1739	1.9506255388259888	0.79728186	Yes	
row_11	SDF2	1805	1.905644178390503	0.813727	Yes	
row_12	HSPA6	1841	1.8777662515640259	0.8310255	Yes	
row_13	DNAJC7	2871	1.335152506828308	0.80551404	No	
row_14	SDF2L1	4257	0.8796908259391785	0.76208144	No	
row_15	TOR1A	6650	0.4070455729961395	0.67604315	No	
row_16	TOR1B	7421	0.3054048717021942	0.6500757	No	
row_17	DNAJB5	8426	0.1965172439813614	0.61421704	No	
row_18	DNAJB12	8576	0.18016821146011353	0.6103925	No	
row_19	DNAJB13	10789	5.469106254167855E-4	0.52710223	No	
row_20	ST13	10873	-0.005819282494485378	0.52403444	No	
row_21	HSPA14	11353	-0.0413469560444355	0.506407	No	
row_22	PTGES3	12564	-0.10940010100603104	0.46192753	No	
row_23	DNAJB4	13940	-0.1960715502500534	0.41209403	No	
row_24	BAG1	14294	-0.22616809606552124	0.40104362	No	
row_25	TOR2A	15224	-0.2912085950374603	0.36894804	No	
row_26	ERO1A	16522	-0.3924649953842163	0.3239988	No	
row_27	HSPA2	19644	-0.7697033286094666	0.2141045	No	
row_28	DNAJC18	19915	-0.8133599758148193	0.21200107	No	
row_29	DNAJB14	21188	-1.0512592792510986	0.17452462	No	
row_30	HSPA1L	22499	-1.3743946552276611	0.13882084	No	
row_31	HSPA13	23016	-1.521088719367981	0.13447048	No	
