NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.23089498	Yes	
row_1	HSPA4	4	15.58820629119873	0.40770108	Yes	
row_2	HSP90AB1	5	15.46628475189209	0.58323634	Yes	
row_3	HSP90AA1	11	12.175318717956543	0.7212325	Yes	
row_4	HSPD1	33	8.253303527832031	0.8141132	Yes	
row_5	STUB1	1535	2.1121010780334473	0.7815838	No	
row_6	LONP1	1818	1.8952021598815918	0.7924784	No	
row_7	NDUFAF1	5455	0.6112480759620667	0.66254914	No	
row_8	PFDN6	5676	0.5675668120384216	0.6607095	No	
row_9	TMEM35A	6761	0.38908109068870544	0.62432134	No	
row_10	PSMG3	10669	0.010030096396803856	0.47736752	No	
row_11	BBS12	11562	-0.05599005147814751	0.44442624	No	
row_12	APCS	12310	-0.10127578675746918	0.417457	No	
row_13	PTGES3	12564	-0.10940010100603104	0.40917522	No	
row_14	HOPX	12809	-0.12942805886268616	0.4014595	No	
row_15	BBS10	15158	-0.2832389771938324	0.31629047	No	
row_16	CCT2	15421	-0.30576351284980774	0.30989853	No	
row_17	MKKS	22512	-1.3776472806930542	0.05865171	No	
row_18	PTGES3L	22793	-1.4571946859359741	0.06465042	No	
row_19	PSMG2	24081	-1.944521427154541	0.03827447	No	
row_20	PSMG1	24719	-2.305607557296753	0.04046405	No	
row_21	CLU	25157	-2.626861095428467	0.053828128	No	
