NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.09694332	Yes	
row_1	HSPA1B	1	18.848594665527344	0.18676078	Yes	
row_2	HSPH1	3	16.519834518432617	0.2654435	Yes	
row_3	FKBP4	6	15.46043872833252	0.33904028	Yes	
row_4	CCT3	21	9.178403854370117	0.3822494	Yes	
row_5	DFFA	32	8.384648323059082	0.4218269	Yes	
row_6	HSPA8	36	7.950799942016602	0.45960099	Yes	
row_7	CCT6A	55	7.247432231903076	0.49345776	Yes	
row_8	DNAJC5	82	6.358529090881348	0.5227771	Yes	
row_9	HSPB1	98	6.096103668212891	0.55126065	Yes	
row_10	HSPE1	135	5.586165904998779	0.5765224	Yes	
row_11	CCT5	151	5.467867851257324	0.60201234	Yes	
row_12	CCT7	206	4.960067272186279	0.6236119	Yes	
row_13	PPID	221	4.85430383682251	0.64621574	Yes	
row_14	GAK	331	4.187198162078857	0.66205853	Yes	
row_15	CHORDC1	337	4.147711277008057	0.68163466	Yes	
row_16	HSPA5	478	3.5938503742218018	0.6934811	Yes	
row_17	TCP1	505	3.524181365966797	0.70929414	Yes	
row_18	CD74	510	3.5083160400390625	0.7258612	Yes	
row_19	FKBP5	624	3.244824171066284	0.7370625	Yes	
row_20	CCT4	738	3.0072176456451416	0.7471316	Yes	
row_21	DNAJB6	819	2.86489200592041	0.7577668	Yes	
row_22	DNAJB1	1113	2.496710777282715	0.75861585	Yes	
row_23	HSPA7	1677	1.9997566938400269	0.7469159	Yes	
row_24	HSPA9	1739	1.9506255388259888	0.75391084	Yes	
row_25	SDF2	1805	1.905644178390503	0.76054066	Yes	
row_26	HSPA6	1841	1.8777662515640259	0.76816887	Yes	
row_27	TRAP1	2266	1.6240068674087524	0.75991964	No	
row_28	FKBP11	2634	1.4418028593063354	0.7529515	No	
row_29	UNC45A	2671	1.4247134923934937	0.7583831	No	
row_30	DNAJC7	2871	1.335152506828308	0.7572416	No	
row_31	SDF2L1	4257	0.8796908259391785	0.7092088	No	
row_32	PDIA4	6270	0.4646252393722534	0.63555557	No	
row_33	TOR1A	6650	0.4070455729961395	0.6232041	No	
row_34	CRTAP	6811	0.3838837444782257	0.6190002	No	
row_35	CCT8	7269	0.3234727680683136	0.60330933	No	
row_36	PPIB	7292	0.3212122619152069	0.6040104	No	
row_37	TOR1B	7421	0.3054048717021942	0.6006392	No	
row_38	PDCL3	7981	0.23836149275302887	0.5806966	No	
row_39	DNAJB2	8112	0.22423332929611206	0.57686317	No	
row_40	DNAJB5	8426	0.1965172439813614	0.5659972	No	
row_41	DNAJB12	8576	0.18016821146011353	0.56123734	No	
row_42	DNAJB7	8687	0.16936179995536804	0.55789655	No	
row_43	DNAJB13	10789	5.469106254167855E-4	0.47867593	No	
row_44	ST13	10873	-0.005819282494485378	0.47557396	No	
row_45	HSPA14	11353	-0.0413469560444355	0.45770913	No	
row_46	PTGES3	12564	-0.10940010100603104	0.4126045	No	
row_47	DNAJB4	13940	-0.1960715502500534	0.36169118	No	
row_48	BAG1	14294	-0.22616809606552124	0.3494582	No	
row_49	TOR2A	15224	-0.2912085950374603	0.31581572	No	
row_50	CCT2	15421	-0.30576351284980774	0.30988207	No	
row_51	ERO1A	16522	-0.3924649953842163	0.27027413	No	
row_52	CSNK2A1	16949	-0.43201762437820435	0.25626943	No	
row_53	DNAJB8	17429	-0.4812321364879608	0.24050076	No	
row_54	P3H1	17826	-0.52204430103302	0.22805628	No	
row_55	UNC45B	19066	-0.6820908188819885	0.18458714	No	
row_56	HSPA2	19644	-0.7697033286094666	0.16649777	No	
row_57	DNAJC18	19915	-0.8133599758148193	0.1601926	No	
row_58	DNAJB14	21188	-1.0512592792510986	0.11723826	No	
row_59	UMOD	21893	-1.2149758338928223	0.09648187	No	
row_60	HSPA1L	22499	-1.3743946552276611	0.080218166	No	
row_61	PEX19	22717	-1.434173822402954	0.0788698	No	
row_62	HSPA13	23016	-1.521088719367981	0.0748813	No	
row_63	DNAJC24	23095	-1.5479462146759033	0.07931641	No	
row_64	PDCD5	24367	-2.0950047969818115	0.041373447	No	
row_65	CLU	25157	-2.626861095428467	0.024139851	No	
row_66	FKBP2	25259	-2.7123332023620605	0.033256233	No	
row_67	HSPB6	25921	-3.5216426849365234	0.025113005	No	
