NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAIAP2	1030	2.5947136878967285	-0.004558266	No	
row_1	TANC2	3461	1.1231176853179932	-0.08131237	No	
row_2	ARHGAP44	3679	1.05023193359375	-0.07562331	No	
row_3	DOCK10	4048	0.9323859214782715	-0.077181354	No	
row_4	DVL1	4604	0.7837958931922913	-0.08774924	No	
row_5	CDK5	5099	0.6767546534538269	-0.09743151	No	
row_6	DIP2A	5220	0.6561399102210999	-0.09329033	No	
row_7	DLG4	5606	0.5827425718307495	-0.10010587	No	
row_8	WNT7A	5973	0.5164271593093872	-0.10708096	No	
row_9	ZNF365	6155	0.48449045419692993	-0.10750531	No	
row_10	RELN	6218	0.47323349118232727	-0.10359331	No	
row_11	HDAC6	6698	0.3988789916038513	-0.116379395	No	
row_12	CFL1	6856	0.37846803665161133	-0.11729916	No	
row_13	PAK3	7812	0.2579145133495331	-0.1498865	No	
row_14	ABI3	8167	0.21860620379447937	-0.16034184	No	
row_15	DTNBP1	8295	0.2063205987215042	-0.16240402	No	
row_16	EFNA1	8623	0.17495951056480408	-0.17241807	No	
row_17	SIPA1L1	9620	0.08276577293872833	-0.20886338	No	
row_18	PAFAH1B1	9861	0.06707153469324112	-0.21702307	No	
row_19	CDK5R1	9924	0.06171096861362457	-0.21854495	No	
row_20	EEF2K	10028	0.051303617656230927	-0.22174947	No	
row_21	LRRK2	10716	0.0063398852944374084	-0.24755804	No	
row_22	CAPRIN1	10751	0.00343800475820899	-0.24879408	No	
row_23	LZTS3	11359	-0.041662994772195816	-0.2711211	No	
row_24	WASL	13271	-0.16501808166503906	-0.3409657	No	
row_25	EPHB1	14175	-0.21725094318389893	-0.37213013	No	
row_26	ARHGAP33	15159	-0.28344470262527466	-0.40543565	No	
row_27	NGEF	16080	-0.35636603832244873	-0.4354039	No	
row_28	DBN1	16307	-0.37190327048301697	-0.4390109	No	
row_29	PDLIM5	16912	-0.4280623495578766	-0.45612273	No	
row_30	ABI2	18972	-0.6675283908843994	-0.52491	No	
row_31	CDC42	19033	-0.6763298511505127	-0.51824087	No	
row_32	UBE3A	19999	-0.8280315399169922	-0.5436771	No	
row_33	ARMCX5-GPRASP2	20434	-0.9081615209579468	-0.5480425	No	
row_34	LRP8	21323	-1.0828981399536133	-0.56721133	No	
row_35	EPHB2	21646	-1.1594265699386597	-0.5640378	No	
row_36	EPHA4	22042	-1.2571399211883545	-0.5623253	No	
row_37	PPFIA2	22316	-1.322884202003479	-0.55514663	No	
row_38	SRCIN1	23260	-1.611932635307312	-0.5694029	Yes	
row_39	PTEN	23846	-1.8417543172836304	-0.5671319	Yes	
row_40	ZDHHC15	24067	-1.9375709295272827	-0.5498392	Yes	
row_41	NLGN1	24399	-2.1156980991363525	-0.534378	Yes	
row_42	PRMT3	24600	-2.2394886016845703	-0.51234496	Yes	
row_43	ARC	24604	-2.2420542240142822	-0.4828533	Yes	
row_44	KIF1A	25179	-2.644876480102539	-0.46956304	Yes	
row_45	STAU2	25188	-2.649463653564453	-0.43488032	Yes	
row_46	DHX36	25589	-3.0387754440307617	-0.40983105	Yes	
row_47	CAPRIN2	25641	-3.0986416339874268	-0.37083787	Yes	
row_48	CUX2	25654	-3.1124722957611084	-0.33019218	Yes	
row_49	SHANK1	25995	-3.675931930541992	-0.2944684	Yes	
row_50	DNM3	26225	-4.348788261413574	-0.24567655	Yes	
row_51	SHANK3	26278	-4.527301788330078	-0.18785663	Yes	
row_52	CTNND2	26369	-4.898895263671875	-0.12656227	Yes	
row_53	ITPKA	26386	-4.971590518951416	-0.06151903	Yes	
row_54	EPHB3	26423	-5.229891777038574	0.0061811036	Yes	
