NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.17713088	Yes	
row_1	HSPA1B	1	18.848594665527344	0.34124166	Yes	
row_2	HSPH1	3	16.519834518432617	0.48503876	Yes	
row_3	HSPD1	33	8.253303527832031	0.55580616	Yes	
row_4	HSPA8	36	7.950799942016602	0.6249568	Yes	
row_5	HSPE1	135	5.586165904998779	0.6699028	Yes	
row_6	GAK	331	4.187198162078857	0.69901437	Yes	
row_7	HSPA5	478	3.5938503742218018	0.7248056	Yes	
row_8	CD74	510	3.5083160400390625	0.75418407	Yes	
row_9	DNAJB1	1113	2.496710777282715	0.75324565	Yes	
row_10	HSPA7	1677	1.9997566938400269	0.74944943	Yes	
row_11	HSPA9	1739	1.9506255388259888	0.7641353	Yes	
row_12	SDF2	1805	1.905644178390503	0.7782789	Yes	
row_13	HSPA6	1841	1.8777662515640259	0.79330975	Yes	
row_14	DNAJC7	2871	1.335152506828308	0.76617324	No	
row_15	SDF2L1	4257	0.8796908259391785	0.72166085	No	
row_16	FKBP1A	4373	0.8488321900367737	0.7247195	No	
row_17	TOR1A	6650	0.4070455729961395	0.6425289	No	
row_18	TOR1B	7421	0.3054048717021942	0.6161828	No	
row_19	DNAJB5	8426	0.1965172439813614	0.58007413	No	
row_20	DNAJB12	8576	0.18016821146011353	0.57603014	No	
row_21	FKBP1B	10661	0.010452673770487309	0.49761885	No	
row_22	DNAJB13	10789	5.469106254167855E-4	0.49283963	No	
row_23	ST13	10873	-0.005819282494485378	0.4897638	No	
row_24	UGGT1	10944	-0.012075473554432392	0.4872321	No	
row_25	HSPA14	11353	-0.0413469560444355	0.47222313	No	
row_26	PTGES3	12564	-0.10940010100603104	0.4275961	No	
row_27	SELENOF	13182	-0.15739686787128448	0.40572473	No	
row_28	DNAJB4	13940	-0.1960715502500534	0.3789164	No	
row_29	BAG1	14294	-0.22616809606552124	0.36758846	No	
row_30	TOR2A	15224	-0.2912085950374603	0.3351294	No	
row_31	CCT2	15421	-0.30576351284980774	0.33040848	No	
row_32	ERO1A	16522	-0.3924649953842163	0.29238966	No	
row_33	ENTPD5	17400	-0.4797147214412689	0.26353067	No	
row_34	HSPA2	19644	-0.7697033286094666	0.18574068	No	
row_35	DNAJC18	19915	-0.8133599758148193	0.18265179	No	
row_36	DNAJB14	21188	-1.0512592792510986	0.14388986	No	
row_37	HSPA1L	22499	-1.3743946552276611	0.10650999	No	
row_38	CHCHD4	22898	-1.4877418279647827	0.10447117	No	
row_39	HSPA13	23016	-1.521088719367981	0.11330769	No	
row_40	DNAJC2	24899	-2.4315152168273926	0.06358526	No	
