NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNB1	5895	0.5295618772506714	-0.21065491	No	
row_1	RPGRIP1L	5924	0.5245823264122009	-0.20044579	No	
row_2	TP63	5966	0.517095148563385	-0.19088703	No	
row_3	WNT7A	5973	0.5164271593093872	-0.18002442	No	
row_4	CACNA1C	7191	0.33355608582496643	-0.2186987	No	
row_5	ATRX	8219	0.21354705095291138	-0.25279376	No	
row_6	HOXA11	10347	0.03384196013212204	-0.33217707	No	
row_7	NIPBL	10540	0.016796832904219627	-0.3390478	No	
row_8	RDH10	12487	-0.10253909975290298	-0.410139	No	
row_9	WNT3	13849	-0.18787699937820435	-0.4573648	No	
row_10	ALDH1A2	14872	-0.260460764169693	-0.4902642	No	
row_11	HOXD10	16112	-0.3584184944629669	-0.5292332	No	
row_12	RSPO2	16521	-0.39240264892578125	-0.5361743	No	
row_13	HOXA9	16647	-0.40553513169288635	-0.5321747	No	
row_14	FMN1	16835	-0.42066413164138794	-0.53018534	No	
row_15	CRABP2	18703	-0.6311633586883545	-0.58695066	No	
row_16	TFAP2A	19420	-0.7359084486961365	-0.5981164	No	
row_17	SHOX2	19510	-0.7486960291862488	-0.5853926	No	
row_18	OSR1	19692	-0.7762510776519775	-0.5755422	No	
row_19	SHH	20933	-0.9965196251869202	-0.6008477	Yes	
row_20	OSR2	21252	-1.0679799318313599	-0.5898933	Yes	
row_21	ALX3	22033	-1.256208896636963	-0.5922977	Yes	
row_22	RECK	22249	-1.3087313175201416	-0.57229453	Yes	
row_23	MSX2	22415	-1.3475393056869507	-0.549575	Yes	
row_24	TFAP2B	22823	-1.4673882722854614	-0.53339654	Yes	
row_25	HOXD9	22908	-1.4914311170578003	-0.5045366	Yes	
row_26	MSX1	23413	-1.665871262550354	-0.4877498	Yes	
row_27	ALX4	23857	-1.8455674648284912	-0.4648071	Yes	
row_28	TWIST1	23884	-1.8558655977249146	-0.42593762	Yes	
row_29	RUNX2	24005	-1.9093434810638428	-0.3894603	Yes	
row_30	EN1	24324	-2.074449062347412	-0.35689518	Yes	
row_31	ZNF358	24907	-2.437424898147583	-0.32647943	Yes	
row_32	HOXA13	25220	-2.673421621322632	-0.28082737	Yes	
row_33	VPS54	25476	-2.9136621952056885	-0.22787008	Yes	
row_34	LNPK	25526	-2.9650938510894775	-0.1660498	Yes	
row_35	ZBTB16	26250	-4.435482978820801	-0.0980428	Yes	
row_36	RNF165	26410	-5.155505180358887	0.006666478	Yes	
