NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC4	148	5.474649906158447	0.045852993	No	
row_1	CENPX	2640	1.4386491775512695	-0.03454275	No	
row_2	RMI1	2890	1.3263180255889893	-0.031469774	No	
row_3	KLHDC3	2915	1.3174753189086914	-0.01999731	No	
row_4	RAD51D	3604	1.0749104022979736	-0.035836656	No	
row_5	HDAC10	4170	0.900381326675415	-0.048678514	No	
row_6	C11orf80	4255	0.8799851536750793	-0.04357815	No	
row_7	RAD54L	5174	0.6637558937072754	-0.07195123	No	
row_8	MUS81	5552	0.5929875373840332	-0.0805933	No	
row_9	MLH1	5765	0.5536343455314636	-0.08338454	No	
row_10	SLX4	5834	0.5409518480300903	-0.08086608	No	
row_11	SHOC1	5952	0.5192621350288391	-0.080398716	No	
row_12	CENPS	7139	0.34063807129859924	-0.12191106	No	
row_13	REC8	7478	0.2980329096317291	-0.13185383	No	
row_14	FANCD2	10151	0.04242296516895294	-0.23219043	No	
row_15	MSH4	10221	0.03799332678318024	-0.23443481	No	
row_16	EME2	11843	-0.08055226504802704	-0.2947902	No	
row_17	RAD51C	12879	-0.13588251173496246	-0.33253345	No	
row_18	EME1	13706	-0.17573845386505127	-0.36202285	No	
row_19	MSH5	16176	-0.36355820298194885	-0.45168933	No	
row_20	HSF2BP	16448	-0.38561758399009705	-0.45828336	No	
row_21	ANKLE1	16533	-0.3935180604457855	-0.4577532	No	
row_22	RNF212	16818	-0.4195711016654968	-0.46451834	No	
row_23	C14orf39	17134	-0.4492506980895996	-0.47217336	No	
row_24	PSMC3IP	17153	-0.45078974962234497	-0.46861693	No	
row_25	MEIOB	18139	-0.5589171648025513	-0.50050086	No	
row_26	CCNB1IP1	18611	-0.6194280385971069	-0.51243836	No	
row_27	RAD51B	18638	-0.6223238110542297	-0.50757205	No	
row_28	RAD21	18652	-0.6248980760574341	-0.5021914	No	
row_29	TEX19	18760	-0.6389375329017639	-0.50022274	No	
row_30	PRDM9	18874	-0.6530318260192871	-0.49834782	No	
row_31	SPO11	18957	-0.6654314398765564	-0.49518773	No	
row_32	UBR2	19017	-0.6736413836479187	-0.49108338	No	
row_33	ATM	19102	-0.6887415051460266	-0.4877797	No	
row_34	RAD51	19380	-0.7285797595977783	-0.4913779	No	
row_35	TOP2B	20194	-0.861343502998352	-0.51393616	No	
row_36	TEX11	20484	-0.9163002967834473	-0.5162232	No	
row_37	SYCP1	21146	-1.0422675609588623	-0.5313513	No	
row_38	CNTD1	21510	-1.126744031906128	-0.5344511	No	
row_39	ANKRD31	21606	-1.1515686511993408	-0.527214	No	
row_40	NBN	21958	-1.2327388525009155	-0.5288656	No	
row_41	RAD54B	22444	-1.3570109605789185	-0.53440154	No	
row_42	TOPBP1	23199	-1.5880225896835327	-0.5479086	Yes	
row_43	TRIP13	23454	-1.6802294254302979	-0.54169923	Yes	
row_44	RNF212B	23810	-1.8263109922409058	-0.5379252	Yes	
row_45	RAD50	23903	-1.8680018186569214	-0.5238443	Yes	
row_46	UBE2B	24307	-2.067103385925293	-0.51961774	Yes	
row_47	SYCE3	24378	-2.101262331008911	-0.50251603	Yes	
row_48	RAD51AP1	24429	-2.138200521469116	-0.48431334	Yes	
row_49	BRCA1	24533	-2.203240156173706	-0.4674977	Yes	
row_50	MRE11	25062	-2.5591773986816406	-0.4633608	Yes	
row_51	TOP2A	25402	-2.8358025550842285	-0.4494997	Yes	
row_52	DMC1	25552	-2.990657329559326	-0.42702073	Yes	
row_53	BARD1	25600	-3.0524613857269287	-0.40011573	Yes	
row_54	RBBP8	26052	-3.8192715644836426	-0.3812377	Yes	
row_55	MND1	26066	-3.85219144821167	-0.34553766	Yes	
row_56	C1orf146	26138	-4.058974266052246	-0.31008157	Yes	
row_57	BRIP1	26245	-4.419863700866699	-0.27255455	Yes	
row_58	FANCM	26375	-4.920059680938721	-0.23119545	Yes	
row_59	MLH3	26435	-5.3163933753967285	-0.1834739	Yes	
row_60	PRDM7	26462	-5.609137535095215	-0.131758	Yes	
row_61	HFM1	26485	-5.90001916885376	-0.07715856	Yes	
row_62	NUCKS1	26571	-8.618306159973145	6.032199E-4	Yes	
