NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.31558993	Yes	
row_1	HSPA1B	1	18.848594665527344	0.6079823	Yes	
row_2	HSF1	398	3.8554317951202393	0.65288246	Yes	
row_3	DNAJB6	819	2.86489200592041	0.68151313	Yes	
row_4	BAG3	948	2.6859683990478516	0.718361	Yes	
row_5	DNAJB1	1113	2.496710777282715	0.7509177	Yes	
row_6	BAG5	3905	0.9801152348518372	0.6610509	No	
row_7	MAPT	4745	0.756955623626709	0.64120805	No	
row_8	VCP	4999	0.700782299041748	0.6425546	No	
row_9	PSMC5	6039	0.5041441321372986	0.61126065	No	
row_10	HDAC6	6698	0.3988789916038513	0.592677	No	
row_11	TRIM37	7736	0.2666845917701721	0.5577747	No	
row_12	UBD	7967	0.23998329043388367	0.55283886	No	
row_13	DNAJB2	8112	0.22423332929611206	0.5508962	No	
row_14	IFNB1	10309	0.03744010254740715	0.46880567	No	
row_15	PRKN	10945	-0.012194328010082245	0.4450894	No	
row_16	SORL1	11494	-0.05326230823993683	0.42528543	No	
row_17	DNAJB8	17429	-0.4812321364879608	0.2093572	No	
row_18	CDC34	17759	-0.5148806571960449	0.20495874	No	
row_19	HSPA2	19644	-0.7697033286094666	0.14597318	No	
row_20	DNAJA4	19982	-0.8247173428535461	0.14607994	No	
row_21	SACS	20441	-0.9092249274253845	0.14294243	No	
row_22	PSMC6	21855	-1.2067476511001587	0.10846804	No	
row_23	SNCAIP	23892	-1.8597394227981567	0.060669627	No	
row_24	CLU	25157	-2.626861095428467	0.05383431	No	
