NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIEZO1	2965	1.3034313917160034	-0.07542444	No	
row_1	TLN1	4312	0.8635183572769165	-0.10211781	No	
row_2	MZB1	5949	0.519963264465332	-0.14926629	No	
row_3	FERMT3	6343	0.45195141434669495	-0.15151218	No	
row_4	PTGER4	6887	0.37447741627693176	-0.16155557	No	
row_5	CX3CL1	8608	0.17670582234859467	-0.22139636	No	
row_6	JAM3	8786	0.15849098563194275	-0.22365889	No	
row_7	FARP2	11348	-0.04073753580451012	-0.3189329	No	
row_8	ITGB1BP1	11491	-0.053105052560567856	-0.32280385	No	
row_9	PLEK	16347	-0.37646162509918213	-0.49511102	No	
row_10	SKAP1	18545	-0.6108865737915039	-0.5608531	No	
row_11	CDH17	20749	-0.9610531330108643	-0.61709905	No	
row_12	CXCL13	21405	-1.102041244506836	-0.6111584	No	
row_13	SRC	23114	-1.55678391456604	-0.63223076	Yes	
row_14	CXCL12	24857	-2.395559072494507	-0.63129526	Yes	
row_15	FBLIM1	24973	-2.4810075759887695	-0.56674135	Yes	
row_16	RAP1B	25043	-2.544260263442993	-0.49869967	Yes	
row_17	FERMT2	25144	-2.6203901767730713	-0.42971128	Yes	
row_18	P2RY12	25229	-2.685321092605591	-0.35831782	Yes	
row_19	KRIT1	25498	-2.941373825073242	-0.28674173	Yes	
row_20	KIF14	25868	-3.4147326946258545	-0.20582522	Yes	
row_21	FERMT1	25949	-3.5756843090057373	-0.109561086	Yes	
row_22	SELP	26351	-4.809811115264893	0.008883899	Yes	
