NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR51E2	6149	0.4852219820022583	-0.2168067	No	
row_1	LRMDA	6314	0.4576672911643982	-0.20913367	No	
row_2	TYRP1	8565	0.18065644800662994	-0.28837207	No	
row_3	GLI3	8581	0.17990583181381226	-0.2834936	No	
row_4	RAB27A	8783	0.15892164409160614	-0.28625226	No	
row_5	BCL2	9083	0.13002848625183105	-0.29357442	No	
row_6	MEF2C	12760	-0.1234033927321434	-0.42822874	No	
row_7	ENPP1	14082	-0.20966339111328125	-0.47161606	No	
row_8	SLC24A5	14093	-0.21090036630630493	-0.4656116	No	
row_9	USP13	15095	-0.27948591113090515	-0.49483958	No	
row_10	GNA11	16293	-0.3704855144023895	-0.52869296	No	
row_11	EDN3	16925	-0.4290808141231537	-0.53946567	No	
row_12	MREG	18397	-0.5898904800415039	-0.57699597	No	
row_13	HPS4	21072	-1.0243746042251587	-0.64666915	Yes	
row_14	ADAMTS9	21286	-1.077040433883667	-0.62210125	Yes	
row_15	OCA2	21825	-1.2001333236694336	-0.6060442	Yes	
row_16	ZEB2	22131	-1.278157353401184	-0.57885486	Yes	
row_17	CITED1	22685	-1.426287055015564	-0.55652	Yes	
row_18	EDNRB	23649	-1.7551779747009277	-0.5396694	Yes	
row_19	BLOC1S6	24148	-1.9800204038619995	-0.49851045	Yes	
row_20	SOX10	24579	-2.229856252670288	-0.4472326	Yes	
row_21	KIT	24998	-2.504361152648926	-0.3871977	Yes	
row_22	ADAMTS20	25122	-2.6045780181884766	-0.31302497	Yes	
row_23	KITLG	26173	-4.191585063934326	-0.22573449	Yes	
row_24	MITF	26564	-7.974788665771484	8.659216E-4	Yes	
