NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F4	1763	1.932010293006897	-0.037702966	No	
row_1	AHI1	3987	0.9539713263511658	-0.10730661	No	
row_2	CFAP157	4802	0.7408276200294495	-0.12696543	No	
row_3	ENKD1	4818	0.73676598072052	-0.116563335	No	
row_4	DNHD1	4949	0.7112165093421936	-0.11087694	No	
row_5	IFT57	5805	0.5476227402687073	-0.13495749	No	
row_6	DNAH1	6077	0.4984760284423828	-0.1377535	No	
row_7	CENPJ	6843	0.3796631991863251	-0.16094142	No	
row_8	CFAP47	6863	0.3779083490371704	-0.15603212	No	
row_9	ZMYND10	7206	0.33180469274520874	-0.16398585	No	
row_10	CFAP44	7788	0.26075631380081177	-0.18200724	No	
row_11	TPGS1	7927	0.2449832260608673	-0.18356283	No	
row_12	RSPH9	8857	0.15159161388874054	-0.21632846	No	
row_13	BBS5	9039	0.1337791383266449	-0.2211605	No	
row_14	MNS1	9171	0.12184234708547592	-0.22428529	No	
row_15	TBC1D21	9507	0.09305579960346222	-0.23552917	No	
row_16	AKAP4	10247	0.0378933809697628	-0.26282454	No	
row_17	IQCG	10581	0.013957629911601543	-0.2751705	No	
row_18	DYNLL1	10804	-0.0014181239530444145	-0.28351852	No	
row_19	CC2D2A	10859	-0.004766609985381365	-0.2854833	No	
row_20	CFAP97D1	11148	-0.026318425312638283	-0.2959488	No	
row_21	GK2	12285	-0.10127578675746918	-0.3372671	No	
row_22	CFAP65	12513	-0.10489935427904129	-0.3442632	No	
row_23	BBS2	12671	-0.11807356774806976	-0.3484243	No	
row_24	RSPH6A	12821	-0.13021843135356903	-0.35210297	No	
row_25	KLC3	12845	-0.13266417384147644	-0.35099518	No	
row_26	TTLL1	13315	-0.16931265592575073	-0.36615553	No	
row_27	SPAG17	14184	-0.21792538464069366	-0.39563408	No	
row_28	MEIG1	14527	-0.24427101016044617	-0.40489084	No	
row_29	DNAAF3	15242	-0.29347360134124756	-0.42743915	No	
row_30	CFAP43	15250	-0.2938515543937683	-0.42332873	No	
row_31	ATMIN	15828	-0.33186009526252747	-0.44014087	No	
row_32	JHY	17661	-0.5047017931938171	-0.5016921	No	
row_33	CFAP206	18070	-0.551690399646759	-0.50886077	No	
row_34	CCDC40	18284	-0.5759453773498535	-0.508317	No	
row_35	CFAP69	18285	-0.5760055184364319	-0.49974254	No	
row_36	ARMC12	18645	-0.6232172846794128	-0.5039991	No	
row_37	BBOF1	19153	-0.6950281262397766	-0.5127662	No	
row_38	FOXJ1	19949	-0.8187222480773926	-0.53054917	No	
row_39	PFN4	20655	-0.9442695379257202	-0.5430704	No	
row_40	CFAP54	21253	-1.068568229675293	-0.5496698	Yes	
row_41	FSIP2	21270	-1.0734878778457642	-0.5342929	Yes	
row_42	CCDC39	21429	-1.1070365905761719	-0.52376986	Yes	
row_43	NOTO	21519	-1.12937593460083	-0.51031303	Yes	
row_44	IFT81	21589	-1.1475777626037598	-0.49583128	Yes	
row_45	CEP131	22629	-1.410683035850525	-0.5140008	Yes	
row_46	SPAG6	22861	-1.4771968126296997	-0.5007195	Yes	
row_47	CFAP221	23297	-1.6268547773361206	-0.49290097	Yes	
row_48	DNAAF1	23418	-1.6682593822479248	-0.47259092	Yes	
row_49	SPAG16	23507	-1.6978445053100586	-0.45063412	Yes	
row_50	MKS1	23737	-1.7895097732543945	-0.4326283	Yes	
row_51	ARMC2	23877	-1.8536174297332764	-0.41027528	Yes	
row_52	NEURL1	23941	-1.8846864700317383	-0.38459465	Yes	
row_53	UBE2B	24307	-2.067103385925293	-0.3675836	Yes	
row_54	MCIDAS	24499	-2.181507110595703	-0.34230992	Yes	
row_55	SPEF2	24814	-2.3718810081481934	-0.31883928	Yes	
row_56	INTU	25455	-2.894760847091675	-0.2998748	Yes	
row_57	DZIP1	25967	-3.622661828994751	-0.26521158	Yes	
row_58	DRC7	26014	-3.710933208465576	-0.21170434	Yes	
row_59	SPATA6	26198	-4.26492166519165	-0.15511511	Yes	
row_60	CFAP58	26308	-4.647788047790527	-0.09003679	Yes	
row_61	TTC12	26531	-6.7524027824401855	0.0021111064	Yes	
