NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDAH2	2863	1.3368992805480957	-0.06975546	No	
row_1	FPR1	5721	0.5623605847358704	-0.16131559	No	
row_2	NOS3	8394	0.19936503469944	-0.25623602	No	
row_3	VEGFA	8775	0.15973664820194244	-0.26599815	No	
row_4	CBS	9140	0.12436391413211823	-0.27616408	No	
row_5	ATP2B4	9956	0.058621060103178024	-0.3051785	No	
row_6	SPINK1	12268	-0.10127578675746918	-0.38929856	No	
row_7	NEUROD1	15461	-0.3090079128742218	-0.50067645	No	
row_8	AGT	15988	-0.34919118881225586	-0.5105462	No	
row_9	RASD1	16163	-0.3624230921268463	-0.50678813	No	
row_10	NOS1	19454	-0.7409132719039917	-0.6095705	No	
row_11	DDAH1	19871	-0.8059489130973816	-0.6023074	No	
row_12	INS	21193	-1.052540898323059	-0.6221003	Yes	
row_13	PDX1	21420	-1.105527639389038	-0.59916335	Yes	
row_14	MAFA	22769	-1.4502006769180298	-0.6086619	Yes	
row_15	NOS1AP	23610	-1.7376453876495361	-0.5908602	Yes	
row_16	THBS1	24115	-1.962699055671692	-0.554008	Yes	
row_17	KCNC2	24245	-2.0341525077819824	-0.501006	Yes	
row_18	EGFR	24340	-2.0815868377685547	-0.44533724	Yes	
row_19	NDNF	24431	-2.1388583183288574	-0.38788888	Yes	
row_20	NOS2	24590	-2.2365431785583496	-0.33022198	Yes	
row_21	CD36	25343	-2.781400442123413	-0.27941936	Yes	
row_22	PDE5A	25988	-3.667609214782715	-0.19934411	Yes	
row_23	GUCY1B1	25997	-3.6804542541503906	-0.094960414	Yes	
row_24	GUCY1A1	26154	-4.118137359619141	0.016300846	Yes	
