NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAPBPL	65	6.821756362915039	0.16857314	Yes	
row_1	CALR	244	4.7064900398254395	0.27986425	Yes	
row_2	HLA-DOB	265	4.567622661590576	0.39362052	Yes	
row_3	HLA-DPB1	309	4.2961249351501465	0.4997048	Yes	
row_4	TAPBP	597	3.3019118309020996	0.57168114	Yes	
row_5	HLA-DMB	796	2.903407335281372	0.6370167	Yes	
row_6	HLA-DQB1	1101	2.509993314743042	0.6885001	Yes	
row_7	HLA-DRB5	2022	1.7638378143310547	0.6980935	Yes	
row_8	HLA-DQB2	2129	1.6957789659500122	0.73661673	Yes	
row_9	HLA-DOA	2772	1.3738234043121338	0.7468955	Yes	
row_10	PDIA3	2934	1.3125802278518677	0.7737421	Yes	
row_11	HLA-DMA	3239	1.1994225978851318	0.7923698	Yes	
row_12	HLA-DRB1	3273	1.187347412109375	0.82089424	Yes	
row_13	HLA-DQA1	5502	0.600346565246582	0.75209075	No	
row_14	HLA-DRA	6930	0.3695187270641327	0.7076473	No	
row_15	HLA-DPA1	7456	0.3011775612831116	0.6954386	No	
row_16	HLA-DQA2	7828	0.2551826536655426	0.6878729	No	
row_17	B2M	19341	-0.722441554069519	0.27271366	No	
