NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDN1	1923	1.833277702331543	-0.024704104	No	
row_1	ATP2A2	2485	1.5128945112228394	-0.0064666877	No	
row_2	GCH1	7751	0.26540520787239075	-0.1977777	No	
row_3	RGS4	8765	0.16076304018497467	-0.23173265	No	
row_4	EDN2	11410	-0.04522485285997391	-0.33009684	No	
row_5	MIR1-1	11552	-0.05484405532479286	-0.3339784	No	
row_6	KCNQ1	12731	-0.12077304720878601	-0.37518558	No	
row_7	ADM5	12936	-0.14016684889793396	-0.3792193	No	
row_8	NPPA	14332	-0.22949643433094025	-0.4257676	No	
row_9	HEY2	14344	-0.23064689338207245	-0.42018148	No	
row_10	EDN3	16925	-0.4290808141231537	-0.50615025	No	
row_11	HRC	17609	-0.49941587448120117	-0.51887137	No	
row_12	TACR3	18689	-0.6296747922897339	-0.5431124	No	
row_13	SCN3B	20975	-1.0045596361160278	-0.60300404	No	
row_14	ADA	22530	-1.383359670639038	-0.6255207	Yes	
row_15	ADM2	22641	-1.4133009910583496	-0.59289503	Yes	
row_16	ADRA1B	23492	-1.6908360719680786	-0.5809087	Yes	
row_17	AVPR1A	24543	-2.208109140396118	-0.5629951	Yes	
row_18	ADRB1	24698	-2.2964580059051514	-0.5090507	Yes	
row_19	SLC1A1	24762	-2.3303446769714355	-0.4507988	Yes	
row_20	RYR2	24773	-2.3401856422424316	-0.39029557	Yes	
row_21	ADRA1A	24940	-2.460768222808838	-0.33252844	Yes	
row_22	ADM	25161	-2.6286425590515137	-0.27242702	Yes	
row_23	PDE4D	25227	-2.683060646057129	-0.20507456	Yes	
row_24	TRPM4	25689	-3.1484103202819824	-0.14052457	Yes	
row_25	TPM1	26526	-6.699796199798584	0.002296485	Yes	
