NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AA1	11	12.175318717956543	0.21112266	Yes	
row_1	TICAM1	129	5.657067775726318	0.30500332	Yes	
row_2	DHX9	200	4.973490238189697	0.38877752	Yes	
row_3	MAVS	445	3.7174220085144043	0.44417506	Yes	
row_4	ZBTB20	650	3.1703171730041504	0.4915736	Yes	
row_5	TLR9	666	3.1345605850219727	0.5454693	Yes	
row_6	IRF7	870	2.7976133823394775	0.58643	Yes	
row_7	TRIM56	1003	2.6236202716827393	0.6270419	Yes	
row_8	POLR3B	1381	2.249364137649536	0.6519238	Yes	
row_9	HMGB2	2285	1.6143262386322021	0.64596146	Yes	
row_10	TLR4	2339	1.5904343128204346	0.6715979	Yes	
row_11	IRF3	2539	1.4897655248641968	0.68998647	Yes	
row_12	IFIH1	3438	1.1294012069702148	0.6757872	No	
row_13	STING1	5213	0.6571580767631531	0.62039006	No	
row_14	IRF1	5507	0.5997543931007385	0.61977494	No	
row_15	RIPK2	5897	0.5288766026496887	0.61431277	No	
row_16	FLOT1	6080	0.49821150302886963	0.6161141	No	
row_17	PTPN11	6921	0.37023794651031494	0.5909094	No	
row_18	OAS3	6962	0.36561891436576843	0.5957553	No	
row_19	IRF5	7531	0.29026222229003906	0.57940555	No	
row_20	ISG15	7760	0.2641293704509735	0.5754073	No	
row_21	POLR3D	8098	0.22613051533699036	0.56664366	No	
row_22	POLR3A	8992	0.13820238411426544	0.5354114	No	
row_23	TOMM70	9794	0.07287463545799255	0.5065092	No	
row_24	TLR3	9984	0.05552777647972107	0.5003556	No	
row_25	RNF135	10326	0.03565569594502449	0.48813185	No	
row_26	OAS2	10704	0.0068855928257107735	0.4740524	No	
row_27	OAS1	11509	-0.05432470887899399	0.4447149	No	
row_28	POLR3F	13951	-0.1967339962720871	0.35619673	No	
row_29	TLR8	16594	-0.40014490485191345	0.26364234	No	
row_30	TLR2	16630	-0.40349626541137695	0.26933458	No	
row_31	DDX3X	17200	-0.455608069896698	0.25581998	No	
row_32	POLR3G	19475	-0.7452211976051331	0.18312113	No	
row_33	RIOK3	21000	-1.008948802947998	0.14325188	No	
row_34	TBK1	21621	-1.154136300086975	0.13995284	No	
row_35	POLR3C	22062	-1.262176752090454	0.14531033	No	
row_36	TLR7	22743	-1.4434349536895752	0.14477783	No	
